id,1101123@兒童哲學與故事講述@1@1,1101411@國學導讀（一）@1@1,1102615@史傳名著選讀@1@1,1101412@國學導讀（二）@2@1,1101543@中國小說選@2@1,1102613@左傳@2@1,1101211@詩選及習作（一）@1@1,1102011@文字學（一）@1@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102041@書法與篆刻美學（一）@1@1,1102711@歷代文選及習作（一）@1@1,1103111@中國思想史（一）@1@1,1103141@中國俗文學（一）@1@1,1101212@詩選及習作（二）@2@1,1102012@文字學（二）@2@1,1102042@書法與篆刻美學（二）@2@1,1102540@漢籍英譯選讀@2@1,1102712@歷代文選及習作（二）@2@1,1103112@中國思想史（二）@2@1,1101811@文學概論（一）@1@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102514@詩經@1@1,1102525@唐人小說選讀@1@1,1103311@聲韻學（一）@1@1,1103705@詞選及習作@1@1,1103830@陰陽五行文獻選讀@1@1,1101520@現代散文@2@1,1101812@文學概論（二）@2@1,1101935@書道與視覺設計@2@1,1102043@篆刻藝術@2@1,1103312@聲韻學（二）@2@1,1103703@曲選及習作@2@1,1101311@語言學概論（一）@1@1,1102052@水墨創作：山水@1@1,1103021@中國文學史（一）@1@1,1103022@中國文學史（二）@2@1
401415046,90,60,84,78,75,80,76,65,61,NaN,69,62,68,66,60,NaN,NaN,63,60,81,86,NaN,74,NaN,73,62,78,87,68,94,-1,64,73,95,95,60,-1
401415021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415031,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415049,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401415054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
