id,1101083@寫作指導@1@1,1101311@語言學概論（一）@1@1,1101411@國學導讀（一）@1@1,1101546@西遊記@1@1,1101811@文學概論（一）@1@1,1101821@儒家文獻選讀（一）@1@1,1101845@現代歐美劇場文本選讀@1@1,1101888@學系服務學習@1@1,1102028@書法美學@1@1,1102123@經學通論@1@1,1102523@現代小說@1@1,1102653@歐美漢學史@1@1,1103411@禮記（一）@1@1,1104147@紅樓夢@1@1,1104511@台灣文學史@1@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101543@中國小說選@2@1,1101812@文學概論（二）@2@1,1101822@儒家文獻選讀（二）@2@1,1101888@學系服務學習@2@1,1102029@篆刻美學@2@1,1102124@經學史@2@1,1102145@莊子@2@1,1102150@史記@2@1,1103723@樂府詩@2@1,1103815@現代成長小說選讀@2@1,1104151@深入經典－桃花扇@2@1,1104950@文物精品與文化中國@2@1,1101123@兒童哲學與故事講述@1@1,1101931@書畫與視覺設計（一）@1@1,1102011@文字學（一）@1@1,1102021@中國文學史（一）@1@1,1102041@書法與篆刻美學（一）@1@1,1102314@客家語概論@1@1,1102511@詩選及習作（一）@1@1,1102615@史傳名著選讀@1@1,1102711@歷代文選及習作（一）@1@1,1103626@文學、電影與大陸當代戲劇@1@1,1103829@陰陽五行文獻選讀@1@1,1104142@明清傳奇與崑劇@1@1,1101538@中國寓言選讀@2@1,1101932@書畫與視覺設計（二）@2@1,1102012@文字學（二）@2@1,1102022@中國文學史（二）@2@1,1102042@書法與篆刻美學（二）@2@1,1102313@閩南語概論@2@1,1102512@詩選及習作（二）@2@1,1102525@唐人小說選讀@2@1,1102613@左傳@2@1,1102653@歐美漢學史@2@1,1102712@歷代文選及習作（二）@2@1,1103200@明清小說@2@1,1103249@當代文學思潮@2@1,1103255@西方現代文學理論@2@1,1103412@禮記（二）@2@1,1104113@禪宗思想導讀@2@1,1101211@詩選及習作（一）@1@1,1102030@詩與畫：文學閱讀與圖像觀看@1@1,1102916@文學與劇場改編@1@1,1103111@中國思想史（一）@1@1,1103141@中國俗文學（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103311@聲韻學（一）@1@1,1103521@六朝志怪小說@1@1,1103613@中國戲劇選讀@1@1,1103627@西方戲劇選讀@1@1,1103705@詞選及習作@1@1,1103954@劇本寫作與搬演@1@1,1103955@社會關懷與劇場應用@1@1,1104125@韓非子@1@1,1104219@左氏春秋@1@1,1104313@訓詁學@1@1,1104611@當代文化思潮@1@1,1101083@寫作指導@2@1,1101212@詩選及習作（二）@2@1,1101312@語言學概論（二）@2@1,1102540@漢籍英譯選讀@2@1,1103112@中國思想史（二）@2@1,1103142@中國俗文學（二）@2@1,1103225@文學批評@2@1,1103312@聲韻學（二）@2@1,1103522@聊齋誌異選讀@2@1,1103626@文學、電影與大陸當代戲劇@2@1,1103703@曲選及習作@2@1,1103826@周易@2@1,1103940@文獻學@2@1,1104154@中國話劇選讀@2@1,1104761@音樂文創與文案書寫@2@1,1101613@民間文學@1@1,1101934@書法基礎入門@1@1,1102051@水墨創作@1@1,1102514@詩經@1@1,1102525@唐人小說選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102720@詞選及習作@1@1,1102823@老子@1@1,1103256@晚清文學選讀@1@1,1103417@大戴禮記@1@1,1103628@華文戲劇選讀@1@1,1103830@陰陽五行文獻選讀@1@1,1103833@宋明理學經典選讀：王陽明傳習錄@1@1,1103957@劇本寫作與搬演@1@1,1104152@畢業製作與展演@1@1,1101617@閩南俗曲@2@1,1101935@書道與視覺設計@2@1,1102043@篆刻藝術@2@1,1102510@曲選及習作@2@1,1102633@現代詩@2@1,1102917@當代戲劇文本與實驗劇場@2@1,1103151@民俗學概論@2@1,1103204@金瓶梅@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1103956@劇本創作實務@2@1,1104148@紅樓夢@2@1,1104224@楚辭@2@1,1104511@台灣文學史@2@1,1104612@張愛玲小說選讀@2@1,1103021@中國文學史（一）@1@1,1102162@孟子：雄辯身影@2@1,1103022@中國文學史（二）@2@1,1103913@書寫、影像與編輯@2@1
401110003,88,NaN,79,NaN,89,83,NaN,92,NaN,NaN,84,NaN,95,NaN,NaN,78,86,87,66,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,74,NaN,NaN,87,NaN,70,NaN,NaN,NaN,NaN,NaN,82,80,NaN,NaN,88,NaN,NaN,86,86,NaN,92,NaN,85,NaN,NaN,NaN,NaN,87,NaN,87,86,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110004,86,NaN,72,66,92,60,NaN,NaN,81,NaN,76,NaN,NaN,NaN,NaN,66,84,88,76,NaN,90,80,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,66,65,NaN,NaN,86,83,69,NaN,NaN,NaN,NaN,NaN,63,68,NaN,NaN,84,46,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,65,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,77,NaN,78,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110008,88,73,70,65,88,63,78,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,69,76,88,65,83,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,70,90,NaN,82,80,75,NaN,NaN,NaN,87,NaN,83,76,87,87,85,66,82,NaN,72,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,79,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,71,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110014,87,78,83,NaN,93,69,70,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,88,86,89,79,80,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,86,92,95,95,NaN,77,NaN,NaN,NaN,NaN,NaN,90,88,NaN,91,96,94,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,95,100,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,93,NaN,NaN,86,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110017,88,91,72,NaN,74,NaN,NaN,93,88,NaN,80,NaN,92,NaN,NaN,73,84,89,92,NaN,NaN,94,NaN,NaN,85,NaN,NaN,NaN,72,NaN,NaN,60,75,NaN,NaN,78,88,78,NaN,NaN,NaN,NaN,NaN,75,71,NaN,90,91,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,82,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,75,NaN,NaN,78,NaN,NaN,NaN,NaN,89,NaN,96,90,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110018,86,NaN,76,NaN,81,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,85,88,69,NaN,88,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,86,NaN,72,61,NaN,NaN,87,NaN,71,NaN,NaN,NaN,NaN,NaN,76,76,NaN,NaN,85,81,NaN,NaN,85,NaN,NaN,87,NaN,NaN,NaN,NaN,92,75,NaN,88,80,NaN,NaN,84,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,75,NaN,85,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
401110020,90,NaN,68,NaN,81,72,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,69,66,90,67,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,51,NaN,NaN,81,84,67,NaN,NaN,NaN,NaN,NaN,75,73,NaN,NaN,90,51,65,87,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,62,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,81,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,73,NaN,NaN,NaN
401110022,86,NaN,80,82,87,81,81,NaN,NaN,NaN,86,NaN,85,NaN,NaN,83,86,87,73,76,89,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,81,NaN,NaN,88,NaN,75,NaN,87,NaN,83,NaN,80,74,NaN,NaN,93,70,NaN,83,80,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,75,72,NaN,67,85,NaN,NaN,85,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,89,NaN,73,NaN,NaN,79,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,93,NaN,NaN,NaN,NaN
401110024,88,81,79,NaN,94,92,83,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,89,85,86,60,82,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,79,84,NaN,86,86,71,NaN,90,NaN,87,NaN,73,68,NaN,NaN,85,74,NaN,86,89,NaN,NaN,86,91,NaN,NaN,NaN,NaN,71,NaN,89,73,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401110029,85,NaN,80,NaN,84,78,NaN,92,NaN,NaN,91,NaN,NaN,NaN,NaN,80,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,73,90,NaN,85,90,78,75,NaN,NaN,83,NaN,66,60,86,86,81,80,85,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,76,NaN,NaN,81,NaN,NaN,87,84,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,81,NaN,NaN,86,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
