id,1105183@莊子的文學性與美學性專題研究@1@1,1105665@先秦道家文獻專題研究@1@1,1105755@物質文化專題研究@1@1,1105924@現代文學專題：愛慾、傷廢與暴力@1@1,1105945@近現代小說理論專題@1@1,1105973@中國傳說專題研究@1@1,1105655@宋明理學專題研究@2@1,1105726@鮑照詩研究@2@1,1105885@台灣文學中的現代主義和原始主義@2@1,1105966@清末民初小說與現代性專題研究@2@1,1106075@戰國文字專題研究@2@1,1106381@語言與文化專題研究@2@1,1106947@通俗文學與文化@2@1,1105211@漢語方言專題研究（一）@1@1,1105660@先秦諸子專題研究@1@1,1105721@中國戲劇研究專題@1@1,1105873@女性文學專題研究@1@1,1105925@現代文學專題：存在體驗與現代性@1@1,1105929@海峽兩岸現代文學與抒情傳統@1@1,1106875@中國小說史專題研究（一）@1@1,1106948@故事學專題@1@1,1105123@近現代學術思想專題@2@1,1105212@漢語方言專題研究（二）@2@1,1105262@簡牘文字專題研究@2@1,1105727@謝朓詩研究@2@1,1105994@俗曲專題研究@2@1,1106536@中國古代禮樂文明@2@1,1106876@中國小說史專題研究（二）@2@1,1105946@清代話本小說專題研究@1@1,1105968@婦女與報刊專題研究@1@1,1105995@歲時文學專題@2@1,1105849@魏晉文學批評史料研究@2@1
600110005,90,NaN,NaN,93,92,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,85
600110006,90,NaN,NaN,89,NaN,92,88,90,NaN,91,NaN,NaN,NaN,NaN,93,NaN,92,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN
600110013,90,NaN,91,87,NaN,88,86,73,88,NaN,88,NaN,NaN,NaN,90,NaN,NaN,92,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600110009,NaN,90,88,88,NaN,88,NaN,85,NaN,78,89,NaN,NaN,NaN,89,NaN,90,NaN,NaN,NaN,80,NaN,NaN,NaN,75,84,NaN,NaN,NaN,NaN,NaN,NaN
600110011,NaN,87,90,NaN,88,NaN,NaN,82,NaN,NaN,91,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,92,NaN,NaN,93,NaN,93,NaN,NaN,NaN
600110014,NaN,86,NaN,NaN,81,87,84,NaN,NaN,NaN,84,83,NaN,NaN,NaN,87,NaN,NaN,NaN,90,75,NaN,NaN,91,NaN,NaN,NaN,90,93,NaN,NaN,NaN
600110015,NaN,NaN,90,90,NaN,92,NaN,85,NaN,85,85,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,90,NaN,NaN,NaN,77,87,90,NaN,NaN,NaN,NaN,NaN
600110017,NaN,NaN,90,92,89,92,NaN,90,NaN,78,90,NaN,NaN,NaN,92,90,NaN,92,NaN,NaN,91,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600110019,NaN,NaN,85,82,81,NaN,NaN,NaN,90,NaN,NaN,NaN,88,90,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600110004,NaN,NaN,NaN,91,86,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600110007,NaN,NaN,NaN,88,81,88,NaN,88,NaN,77,NaN,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,80,85,NaN,NaN,92,NaN,84,NaN
