id,1105184@氣論與身體專題討論@1@1,1105660@先秦諸子專題研究@1@1,1105721@中國戲劇研究專題@1@1,1105873@女性文學專題研究@1@1,1105925@現代文學專題：存在體驗與現代性@1@1,1106531@禮學研究（一）@1@1,1106875@中國小說史專題研究（一）@1@1,1106948@故事學專題@1@1,1105123@近現代學術思想專題@2@1,1105262@簡牘文字專題研究@2@1,1105727@謝朓詩研究@2@1,1105967@清末民初婦女、文學與現代性專題研究@2@1,1105994@俗曲專題研究@2@1,1106532@禮學研究（二）@2@1,1106536@中國古代禮樂文明@2@1,1106876@中國小說史專題研究（二）@2@1,1105751@敘事文學專題研究（一）@1@1,1105945@近現代小說理論專題@1@1,1105946@清代話本小說專題研究@1@1,1105968@婦女與報刊專題研究@1@1,1106194@從道家思想看台灣在地藝文社會現象專題討論@1@1,1106947@通俗文學與文化@1@1,1105261@金文專題研究@2@1,1105493@經學史研究@2@1,1105728@沈約詩研究@2@1,1105752@敘事文學專題研究（二）@2@1,1105755@物質文化專題研究@2@1,1105995@歲時文學專題@2@1,1106950@西遊記專題研究@2@1,1105655@宋明理學專題研究@1@1,1105924@現代文學專題：愛慾、傷廢與暴力@1@1,1106810@中國文學史專題研究@1@1,1105024@歐美漢學文獻專題@2@1,1105753@我是誰?：自傳文學專題研究@2@1,1105846@魏晉玄學專題研究@2@1,1106948@故事學專題@2@1,1105993@民俗專題研究@1@1
601110001,93,NaN,NaN,NaN,91,NaN,NaN,94,NaN,NaN,73,89,NaN,NaN,NaN,NaN,91,91,NaN,NaN,94,NaN,NaN,NaN,NaN,92,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110011,81,NaN,83,NaN,NaN,NaN,88,NaN,85,NaN,83,NaN,86,NaN,NaN,88,NaN,86,93,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,88
601110013,85,88,88,NaN,NaN,NaN,NaN,NaN,NaN,86,86,NaN,NaN,NaN,91,NaN,NaN,NaN,92,NaN,80,NaN,88,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110017,NaN,91,NaN,90,NaN,80,NaN,NaN,NaN,88,77,NaN,NaN,80,NaN,NaN,91,80,93,NaN,NaN,84,90,90,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110004,NaN,NaN,86,NaN,90,NaN,NaN,83,83,NaN,74,70,NaN,NaN,NaN,NaN,NaN,85,92,77,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110008,NaN,NaN,86,NaN,86,NaN,NaN,84,84,NaN,70,NaN,50,NaN,NaN,NaN,91,87,92,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110016,NaN,NaN,84,NaN,89,NaN,88,84,85,NaN,83,70,NaN,NaN,NaN,88,NaN,84,92,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110002,NaN,NaN,NaN,NaN,89,NaN,91,88,86,NaN,NaN,78,NaN,NaN,NaN,92,92,90,93,NaN,NaN,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110010,NaN,NaN,NaN,NaN,87,NaN,91,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110014,NaN,NaN,NaN,NaN,89,NaN,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110015,NaN,NaN,NaN,NaN,86,NaN,88,75,82,NaN,75,NaN,NaN,NaN,NaN,85,NaN,82,93,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,84,90,NaN,NaN,90,NaN,91,70,NaN,92,84,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601110003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,85,92,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,74,91,82,88,87,87,82,NaN,NaN
