id,1105721@中國戲劇研究專題@1@1,1105751@敘事文學專題研究（一）@1@1,1105925@現代文學專題：存在體驗與現代性@1@1,1105945@近現代小說理論專題@1@1,1105946@清代話本小說專題研究@1@1,1105968@婦女與報刊專題研究@1@1,1106194@從道家思想看台灣在地藝文社會現象專題討論@1@1,1106947@通俗文學與文化@1@1,1105261@金文專題研究@2@1,1105493@經學史研究@2@1,1105728@沈約詩研究@2@1,1105752@敘事文學專題研究（二）@2@1,1105755@物質文化專題研究@2@1,1105995@歲時文學專題@2@1,1106950@西遊記專題研究@2@1,1105655@宋明理學專題研究@1@1,1105924@現代文學專題：愛慾、傷廢與暴力@1@1,1105947@紅樓夢專題研究@1@1,1106810@中國文學史專題研究@1@1,1105024@歐美漢學文獻專題@2@1,1105753@我是誰?：自傳文學專題研究@2@1,1105846@魏晉玄學專題研究@2@1,1106075@戰國文字專題研究@2@1,1106934@女性、文化與消費@2@1,1106948@故事學專題@2@1
602110009,85,NaN,NaN,NaN,93,NaN,83,85,NaN,88,82,NaN,90,NaN,87,91,NaN,NaN,NaN,NaN,NaN,90,NaN,88,80
602110010,80,NaN,NaN,NaN,NaN,NaN,75,83,NaN,NaN,NaN,NaN,NaN,60,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602110011,80,NaN,90,NaN,93,NaN,NaN,92,NaN,NaN,80,NaN,91,NaN,NaN,84,88,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
602110012,92,NaN,NaN,82,93,NaN,81,NaN,91,91,90,NaN,NaN,NaN,NaN,96,NaN,NaN,92,NaN,NaN,90,90,NaN,88
602110013,90,90,NaN,88,94,NaN,NaN,NaN,NaN,NaN,92,90,NaN,70,80,NaN,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
602110001,NaN,90,NaN,84,93,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,90,93,90,NaN,92,87,NaN,NaN,NaN,85,88
602110004,NaN,90,NaN,86,93,NaN,NaN,90,NaN,NaN,NaN,91,90,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,90,83
602110007,NaN,90,NaN,81,90,NaN,NaN,NaN,NaN,NaN,NaN,90,90,NaN,74,87,75,NaN,89,86,90,NaN,NaN,NaN,83
602110002,NaN,NaN,90,84,NaN,84,NaN,NaN,NaN,89,NaN,NaN,92,87,NaN,92,89,NaN,94,89,90,NaN,NaN,NaN,NaN
602110014,91,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,75,86,83,75,NaN,84,NaN,NaN,NaN,NaN,74
