id,1105183@莊子的文學性與美學性專題研究@1@1,1105665@先秦道家文獻專題研究@1@1,1105751@敘事文學專題研究（一）@1@1,1105755@物質文化專題研究@1@1,1105924@現代文學專題：愛慾、傷廢與暴力@1@1,1105945@近現代小說理論專題@1@1,1105973@中國傳說專題研究@1@1,1105655@宋明理學專題研究@2@1,1105726@鮑照詩研究@2@1,1105752@敘事文學專題研究（二）@2@1,1105966@清末民初小說與現代性專題研究@2@1,1106075@戰國文字專題研究@2@1,1106381@語言與文化專題研究@2@1,1106947@通俗文學與文化@2@1,1105721@中國戲劇研究專題@1@1,1105873@女性文學專題研究@1@1,1106875@中國小說史專題研究（一）@1@1,1106948@故事學專題@1@1,1105123@近現代學術思想專題@2@1,1105727@謝朓詩研究@2@1,1106876@中國小說史專題研究（二）@2@1,1105946@清代話本小說專題研究@1@1,1105262@簡牘文字專題研究@2@1,1105945@近現代小說理論專題@2@1,1105993@民俗專題研究@2@1,1105123@近現代學術思想專題@1@1,1105754@文學地景專題研究@1@1,1105785@台灣女作家小說專題研究@1@1,1105893@佛教文學專題研究（一）@1@1,1106541@敦煌吐魯番文獻研究@1@1,1105261@金文專題研究@2@1,1105663@先秦出土文獻專題研究@2@1,1105849@魏晉文學批評史料研究@2@1,1105894@佛教文學專題研究（二）@2@1,1105995@歲時文學專題@2@1,1106542@敦煌吐魯番文獻研究（二）@2@1,1106948@故事學專題@2@1
699110003,86,NaN,NaN,90,NaN,88,NaN,86,NaN,NaN,77,NaN,83,NaN,88,90,92,NaN,84,NaN,91,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699110009,89,NaN,NaN,NaN,92,91,NaN,84,84,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,87,NaN,NaN,NaN,81,93,91,NaN,NaN
699110012,91,NaN,NaN,NaN,92,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,92,NaN,NaN,83,NaN,NaN,89,92
699110008,NaN,88,NaN,89,NaN,NaN,91,NaN,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,78,79,90,91,NaN,91,82,NaN,90,NaN
699110005,NaN,NaN,90,NaN,89,85,89,NaN,82,91,NaN,NaN,92,NaN,88,91,NaN,91,86,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699110007,NaN,NaN,91,NaN,87,86,NaN,NaN,80,91,73,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,90,NaN,NaN,NaN,NaN,NaN,82,NaN,83,NaN,87
699110001,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,79,NaN,NaN,NaN,NaN,NaN,90,88,80,NaN,NaN,NaN,88,NaN
699110002,NaN,NaN,NaN,92,NaN,NaN,92,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,90,NaN,87,82,84,80,NaN,NaN,86,86,NaN,NaN,NaN,90,NaN,88,NaN
699110004,NaN,NaN,NaN,92,NaN,NaN,94,NaN,NaN,NaN,89,NaN,NaN,92,85,NaN,90,NaN,NaN,NaN,90,NaN,NaN,85,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,92
699110006,NaN,NaN,NaN,85,NaN,83,86,NaN,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,73,70,NaN,NaN,NaN,82,79,NaN,NaN,85
699110010,NaN,NaN,NaN,NaN,88,88,90,NaN,80,NaN,NaN,NaN,84,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,74,88,NaN,NaN,NaN,83,86,NaN,NaN,90
699110013,NaN,NaN,NaN,NaN,91,85,91,NaN,83,NaN,NaN,87,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,90,NaN,80,NaN,NaN,NaN,83,82,NaN,NaN,89
699110011,NaN,NaN,NaN,NaN,NaN,81,84,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,87
