id,1151021@西洋文學概論（一）@1@1,1151027@日文（一）@1@1,1151031@英語聽講（一）@1@2,1153001@美國文學（一）@1@1,1151022@西洋文學概論（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151032@英語聽講（二）@2@2,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151023@法文（一）@1@1,1151031@英語聽講（一）@1@3,1152001@語言學概論（一）@1@1,1152077@英語聽講（三）@1@2,1152101@德文（三）@1@1,1153015@英國文學：浪漫主義@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151024@法文（二）@2@1,1151032@英語聽講（二）@2@3,1152002@語言學概論（二）@2@1,1152078@英語聽講（四）@2@2,1152102@德文(四)@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154168@翻譯@2@1,1151021@西洋文學概論（一）@1@2,1151025@德文（一）@1@1,1151029@西班牙文（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152077@英語聽講（三）@1@1,1152105@法文（三）@1@1,1153011@英國文學：中世紀@1@1,1154234@電腦輔助語言學習@1@1,1154247@閱讀愛爾蘭@1@1,1151022@西洋文學概論（二）@2@2,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152106@法文(四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1154187@高階閱讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1151017@英文作文（一）@1@3,1152103@西班牙文（三）@1@1,1152107@日文（三）@1@1,1153013@英國文學：文藝復興@1@1,1154185@懸疑小說：偵探@1@1,1154223@旅遊英文@1@1,1154241@奇幻文學與電影@1@1,1154248@戲劇演出與實務@1@1,1154259@進階英語聽講@1@1,1154261@雙語數位出版實作@1@1,1151018@英文作文（二）@2@3,1152104@西班牙文(四)@2@1,1154251@第二/外語教學實作@2@1,1154255@後現代小說與電影@2@1,1154256@心理小說@2@1,1154269@文學與電影@2@1
401125002,70,90,80,92,60,NaN,NaN,60,83,NaN,64,NaN,76,83,NaN,NaN,82,NaN,71,NaN,70,88,NaN,92,NaN,80,NaN,NaN,NaN,NaN,87,NaN,NaN,89,96,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,92,NaN,NaN,83,NaN,NaN,NaN,NaN,92,83,71,NaN,NaN,92,91,NaN,NaN,96,88,NaN,-1
401125009,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125050,84,79,89,76,82,NaN,NaN,90,83,NaN,NaN,NaN,88,NaN,NaN,98,71,NaN,NaN,NaN,93,NaN,NaN,NaN,90,NaN,NaN,NaN,78,NaN,88,100,NaN,96,NaN,98,NaN,76,NaN,NaN,NaN,87,100,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,93,94,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125051,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125021,90,91,NaN,88,80,NaN,88,NaN,84,NaN,NaN,89,72,NaN,NaN,85,83,NaN,NaN,88,79,NaN,NaN,77,78,NaN,NaN,NaN,NaN,NaN,85,87,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125054,NaN,94,NaN,84,NaN,NaN,92,NaN,NaN,86,82,80,87,NaN,NaN,91,NaN,86,80,86,88,NaN,NaN,NaN,80,82,77,NaN,89,90,NaN,84,96,89,NaN,NaN,88,92,NaN,93,NaN,NaN,89,92,NaN,91,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,93,NaN,NaN,NaN
401125038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
401125003,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,67,72,78,78,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,68,89,NaN,NaN,NaN,NaN,NaN,65,-1,NaN,88,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
