id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1151021@西洋文學概論（一）@1@2,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153001@美國文學（一）@1@1,1153011@英國文學：中世紀@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154222@媒體英文@1@1,1154246@西方戲劇：易卜生@1@1,1151022@西洋文學概論（二）@2@2,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154168@翻譯@2@1,1154224@小說選讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1154185@懸疑小說：偵探@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154223@旅遊英文@1@1,1154241@奇幻文學與電影@1@1,1154248@戲劇演出與實務@1@1,1154259@進階英語聽講@1@1,1154260@英語的故事:英語演化成今日英語的故事@1@1,1154261@雙語數位出版實作@1@1,1154262@小說選讀@1@1,1154172@閱讀與討論@2@1,1154251@第二/外語教學實作@2@1,1154255@後現代小說與電影@2@1,1154263@專題：職涯發展英文@2@1,1154264@莎士比亞戲劇選讀@2@1,1154265@懸疑小說：驚悚@2@1,1154091@言談分析@1@1,1154099@戲劇與電影@1@1,1154146@英語語法@1@1,1154266@現/當代美國小說@1@1,1154267@愛爾蘭文學與電影@1@1,1154097@性別與閱讀@2@1,1154140@旅行與文學@2@1,1154187@高階閱讀@2@1,1154256@心理小說@2@1,1154259@進階英語聽講@2@1,1154260@英語的故事:英語演化成今日英語的故事@2@1,1154268@西方戲劇及劇場學@2@1,1154269@文學與電影@2@1
402115002,85,NaN,NaN,75,NaN,NaN,NaN,70,79,NaN,NaN,NaN,85,NaN,NaN,86,NaN,NaN,NaN,68,80,NaN,NaN,100,NaN,76,NaN,NaN,81,NaN,NaN,85,NaN,72,NaN,NaN,NaN,87,91,77,NaN,NaN,NaN,74,NaN,87,NaN,NaN,NaN,83,NaN,-1,NaN,NaN,70,85,NaN,NaN,NaN,NaN,92,NaN,NaN,92,91,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115006,83,NaN,NaN,81,79,NaN,92,NaN,88,NaN,NaN,NaN,85,NaN,NaN,78,70,NaN,85,NaN,88,NaN,NaN,100,NaN,77,NaN,88,NaN,92,NaN,NaN,NaN,NaN,70,90,74,NaN,78,90,NaN,NaN,NaN,65,NaN,88,NaN,91,NaN,NaN,NaN,NaN,-1,72,NaN,NaN,74,60,NaN,88,NaN,NaN,NaN,NaN,NaN,90,NaN,85,NaN,94,NaN,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115007,81,NaN,NaN,87,90,NaN,NaN,85,87,NaN,NaN,100,83,NaN,NaN,86,92,NaN,NaN,84,88,NaN,NaN,NaN,NaN,75,NaN,NaN,84,92,NaN,NaN,NaN,NaN,95,NaN,85,NaN,95,86,NaN,NaN,NaN,79,NaN,NaN,90,92,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,84,92,NaN,92,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,93,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115009,84,NaN,NaN,82,NaN,NaN,92,NaN,85,NaN,NaN,100,85,NaN,NaN,87,NaN,NaN,83,NaN,85,NaN,NaN,NaN,NaN,72,NaN,NaN,85,89,NaN,NaN,NaN,NaN,NaN,88,88,NaN,92,90,NaN,NaN,NaN,80,NaN,NaN,83,89,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,84,83,NaN,NaN,82,NaN,NaN,91,NaN,91,93,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,85,78,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402115014,84,NaN,NaN,88,NaN,92,NaN,NaN,83,NaN,NaN,NaN,84,NaN,NaN,72,NaN,86,NaN,NaN,82,NaN,NaN,100,NaN,75,NaN,83,NaN,NaN,NaN,84,83,NaN,NaN,NaN,NaN,84,79,88,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,80,95,89,NaN,NaN,NaN,NaN,94,90,NaN,94,NaN,NaN,87,88,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115019,85,NaN,NaN,74,78,NaN,NaN,81,NaN,87,NaN,100,85,NaN,NaN,85,88,NaN,NaN,79,NaN,86,NaN,NaN,NaN,77,NaN,NaN,83,85,NaN,NaN,NaN,NaN,91,NaN,74,63,88,84,83,NaN,NaN,75,NaN,NaN,84,88,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,66,-1,NaN,NaN,NaN,NaN,NaN,85,85,92,NaN,NaN,NaN,88,NaN,85,NaN,83,NaN,NaN,88,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402115020,83,NaN,NaN,75,NaN,NaN,95,NaN,NaN,85,NaN,NaN,86,NaN,NaN,79,NaN,NaN,85,NaN,NaN,87,NaN,100,NaN,79,90,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,85,89,78,NaN,NaN,71,90,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,69,NaN,82,-1,69,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,81,NaN,93,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115023,86,NaN,NaN,89,NaN,NaN,94,82,84,NaN,NaN,100,86,NaN,NaN,77,NaN,NaN,81,80,87,NaN,NaN,NaN,NaN,76,91,NaN,NaN,NaN,NaN,84,NaN,79,NaN,NaN,90,NaN,94,92,NaN,88,NaN,62,94,NaN,NaN,NaN,NaN,84,NaN,73,NaN,NaN,NaN,NaN,86,89,85,NaN,NaN,NaN,95,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,91,87,NaN,87,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115026,84,NaN,NaN,81,73,NaN,NaN,NaN,NaN,NaN,81,NaN,83,NaN,NaN,83,78,NaN,NaN,NaN,NaN,NaN,87,100,NaN,75,NaN,NaN,76,NaN,NaN,86,NaN,NaN,85,NaN,NaN,83,87,80,NaN,NaN,NaN,84,NaN,NaN,75,NaN,NaN,83,NaN,NaN,85,NaN,NaN,90,NaN,82,83,NaN,85,NaN,NaN,NaN,94,NaN,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115027,82,NaN,NaN,73,NaN,89,NaN,60,NaN,NaN,75,60,81,NaN,NaN,69,NaN,81,NaN,55,NaN,NaN,82,NaN,NaN,68,83,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,89,76,NaN,73,NaN,NaN,NaN,78,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,75,NaN,80,NaN,NaN,78,86,87,92,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,90,76,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115028,86,NaN,NaN,83,NaN,NaN,94,93,NaN,82,NaN,NaN,81,NaN,NaN,78,NaN,NaN,69,79,NaN,85,NaN,100,NaN,74,89,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,73,87,NaN,NaN,NaN,NaN,83,NaN,81,NaN,NaN,77,-1,NaN,79,NaN,-1,NaN,NaN,NaN,92,NaN,83,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115029,84,NaN,NaN,68,60,NaN,95,NaN,NaN,76,NaN,100,82,NaN,NaN,74,67,NaN,92,NaN,NaN,80,NaN,NaN,NaN,66,NaN,NaN,63,NaN,NaN,82,NaN,NaN,60,94,65,62,73,NaN,NaN,NaN,NaN,66,NaN,NaN,75,NaN,NaN,82,NaN,NaN,53,89,71,NaN,NaN,67,78,NaN,NaN,NaN,NaN,NaN,NaN,71,90,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
