id,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1152001@語言學概論（一）@1@1,1152069@德文（三）@1@1,1152071@日文（三）@1@1,1153001@美國文學（一）@1@1,1153011@英國文學：中世紀@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154198@性別與言談@1@1,1154202@短篇小說@1@1,1154240@廣播英語@1@1,1154241@奇幻文學與電影@1@1,1154242@莎士比亞與當代文化@1@1,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151036@西洋文學概論：文學導讀@2@1,1152002@語言學概論（二）@2@1,1152070@德文（四）@2@1,1152072@日文（四）@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154099@戲劇與電影@2@1,1154146@英語語法@2@1,1154187@高階閱讀@2@1,1154224@小說選讀@2@1,1154240@廣播英語@2@1,1151021@西洋文學概論（一）@1@1,1152063@英文作文（三）@1@1,1152067@法文（三）@1@1,1152075@西班牙文（三）@1@1,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1154091@言談分析@1@1,1154245@奇幻文學與電影改編@1@1,1154246@西方戲劇：易卜生@1@1,1154247@閱讀愛爾蘭@1@1,1154248@戲劇演出與實務@1@1,1152064@英文作文（四）@2@1,1152068@法文（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1154097@性別與閱讀@2@1,1154124@英語語音學@2@1,1154168@翻譯@2@1,1154228@希臘戲劇@2@1,1154250@懸疑小說與電影:偵探@2@1,1154124@英語語音學@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154235@奇幻文學選讀@1@1,1154252@多元文化主義與現代文學@1@1,1154253@驚悚小說與電影@1@1,1154243@愛爾蘭戲劇@2@1,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151033@西洋文學概論：希臘羅馬神話@1@1,1151035@西洋文學概論：歐洲文學@1@1,1152080@語言與文化@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151034@西洋文學概論：聖經文學@2@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1154187@高階閱讀@1@1,1154234@電腦輔助語言學習@1@1,1154237@日本語言與文化@1@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152076@西班牙文（四）@2@1,1152078@英語聽講（四）@2@1,1154175@大眾文化@2@1,1154206@小說選讀@2@1,1154226@英語教學與評量@2@1,1154239@高級日文@2@1
498115016,77,NaN,79,NaN,NaN,70,NaN,77,82,NaN,89,88,NaN,NaN,NaN,NaN,NaN,76,NaN,91,NaN,NaN,NaN,69,NaN,85,80,60,84,NaN,83,NaN,86,NaN,NaN,NaN,83,76,NaN,91,NaN,NaN,85,NaN,90,NaN,83,80,72,NaN,NaN,NaN,87,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,83,91,NaN,NaN,92,NaN,NaN,NaN,81,81,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN
498115023,88,NaN,NaN,82,87,82,NaN,NaN,79,76,NaN,82,NaN,80,NaN,NaN,77,NaN,NaN,NaN,88,88,NaN,86,NaN,NaN,88,78,81,NaN,NaN,88,NaN,NaN,87,NaN,86,NaN,85,NaN,87,NaN,NaN,NaN,NaN,90,86,86,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,81,NaN,NaN,95,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,76,NaN,NaN,NaN
498115025,79,NaN,94,80,81,70,NaN,83,61,72,90,NaN,NaN,72,NaN,NaN,NaN,85,NaN,90,78,84,83,45,NaN,85,77,65,NaN,90,NaN,NaN,NaN,87,NaN,NaN,84,NaN,82,NaN,80,NaN,70,NaN,NaN,78,NaN,74,NaN,80,NaN,NaN,NaN,53,NaN,60,NaN,NaN,90,43,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,70,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
498115027,73,87,NaN,NaN,88,63,78,NaN,75,67,84,NaN,NaN,NaN,88,NaN,NaN,NaN,86,NaN,NaN,90,NaN,68,87,NaN,87,77,82,NaN,NaN,NaN,86,89,NaN,NaN,81,NaN,NaN,94,NaN,NaN,84,NaN,NaN,NaN,88,79,NaN,NaN,NaN,NaN,90,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,71,NaN,NaN,94,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
498115048,76,NaN,65,80,NaN,61,NaN,NaN,66,82,77,NaN,NaN,NaN,NaN,NaN,79,85,NaN,NaN,80,NaN,NaN,68,NaN,NaN,70,60,71,NaN,NaN,NaN,NaN,86,NaN,NaN,79,NaN,83,76,NaN,NaN,78,85,83,NaN,83,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,78,NaN,81,NaN,NaN,NaN,86,NaN,84,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,73,NaN,NaN,NaN,NaN
498115044,70,95,NaN,61,NaN,47,NaN,NaN,60,61,65,70,81,NaN,NaN,NaN,NaN,75,92,NaN,20,NaN,NaN,42,NaN,NaN,60,40,66,NaN,NaN,NaN,72,0,NaN,NaN,74,74,NaN,NaN,NaN,80,NaN,84,NaN,NaN,81,61,63,NaN,79,NaN,NaN,NaN,NaN,71,NaN,82,NaN,NaN,78,NaN,NaN,NaN,88,90,NaN,NaN,75,NaN,NaN,NaN,86,85,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
498115001,NaN,NaN,75,88,NaN,61,NaN,NaN,79,66,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,72,NaN,NaN,73,NaN,76,78,68,NaN,80,86,NaN,NaN,83,NaN,85,NaN,NaN,73,78,88,NaN,NaN,84,79,NaN,NaN,74,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,87,NaN,82,NaN,NaN,NaN,NaN,91,86,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
498115005,66,NaN,82,NaN,88,74,NaN,NaN,83,77,NaN,81,NaN,86,86,NaN,NaN,80,NaN,NaN,NaN,89,NaN,82,NaN,NaN,83,NaN,80,87,92,82,89,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,83,NaN,77,NaN,85,NaN,NaN,NaN,NaN,93,NaN,NaN,88,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,78,NaN,NaN,94,NaN,NaN,NaN,NaN,83,NaN,86,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,88,NaN,NaN
498115008,NaN,96,70,NaN,86,68,88,NaN,68,76,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,81,NaN,71,90,NaN,74,60,73,NaN,82,NaN,NaN,NaN,85,NaN,83,NaN,NaN,89,NaN,NaN,NaN,94,81,NaN,85,76,NaN,NaN,NaN,NaN,89,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,78,NaN,NaN,94,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,84,NaN,87,NaN,NaN
498115015,70,NaN,69,NaN,NaN,64,NaN,NaN,77,82,NaN,80,81,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,86,83,81,NaN,78,NaN,NaN,86,86,NaN,NaN,71,NaN,93,NaN,NaN,NaN,90,87,NaN,85,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,87,NaN,NaN,71,NaN,NaN,87,NaN,92,NaN,76,87,NaN,NaN,NaN,NaN,86,NaN,NaN,94,NaN,NaN,NaN,NaN
