id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151033@西洋文學概論：希臘羅馬神話@1@1,1151035@西洋文學概論：歐洲文學@1@1,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151034@西洋文學概論：聖經文學@2@1,1151036@西洋文學概論：文學導讀@2@1,1151888@學系服務學習@2@1,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152067@法文（三）@1@1,1152069@德文（三）@1@1,1152071@日文（三）@1@1,1152075@西班牙文（三）@1@1,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152068@法文（四）@2@1,1152070@德文（四）@2@1,1152072@日文（四）@2@1,1152076@西班牙文（四）@2@1,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154224@小說選讀@2@1,1154228@希臘戲劇@2@1,1151021@西洋文學概論（一）@1@1,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153001@美國文學（一）@1@1,1153011@英國文學：中世紀@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154235@奇幻文學選讀@1@1,1154251@第二/外語教學實作@1@1,1154252@多元文化主義與現代文學@1@1,1151022@西洋文學概論（二）@2@1,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1154140@旅行與文學@2@1,1154168@翻譯@2@1,1154172@閱讀與討論@2@1,1154243@愛爾蘭戲劇@2@1,1154254@世紀末文學選讀@2@1,1154255@後現代小說與電影@2@1,1154099@戲劇與電影@1@1,1154222@媒體英文@1@1,1154223@旅遊英文@1@1,1154234@電腦輔助語言學習@1@1,1154246@西方戲劇：易卜生@1@1,1154247@閱讀愛爾蘭@1@1,1154248@戲劇演出與實務@1@1,1154091@言談分析@2@1,1154097@性別與閱讀@2@1,1154187@高階閱讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1154185@懸疑小說：偵探@1@1,1154261@雙語數位出版實作@1@1,1154091@言談分析@1@1,1154256@心理小說@2@1
400115002,88,NaN,NaN,NaN,91,83,NaN,NaN,78,NaN,60,NaN,NaN,91,NaN,NaN,NaN,91,74,NaN,NaN,76,NaN,76,NaN,90,68,77,NaN,NaN,NaN,84,NaN,NaN,88,NaN,NaN,87,76,71,82,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,63,81,NaN,NaN,87,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,89,NaN,95,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115005,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,80,85,NaN,89,89,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,83,75,NaN,NaN,72,78,NaN,NaN,NaN,84,NaN,NaN,89,NaN,NaN,89,81,72,77,NaN,NaN,NaN,87,NaN,NaN,94,NaN,NaN,78,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,81,86,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,93,NaN,NaN
400115009,89,NaN,NaN,NaN,NaN,87,80,NaN,NaN,93,88,NaN,90,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,94,84,NaN,NaN,78,78,NaN,NaN,NaN,NaN,NaN,79,NaN,95,NaN,85,81,83,86,NaN,NaN,NaN,NaN,NaN,74,NaN,95,NaN,86,92,89,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,70,88,NaN,NaN,87,NaN,NaN,NaN,82,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115011,89,NaN,NaN,NaN,NaN,86,73,84,NaN,NaN,78,NaN,89,90,NaN,NaN,NaN,NaN,90,77,85,NaN,NaN,70,NaN,NaN,66,78,NaN,NaN,NaN,NaN,74,72,NaN,NaN,86,NaN,82,70,76,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,86,71,82,85,NaN,NaN,NaN,NaN,NaN,NaN,81,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,82,88,NaN,NaN,NaN,NaN,87,NaN,87,NaN,94,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115013,84,NaN,NaN,NaN,93,93,71,NaN,66,NaN,68,NaN,88,74,NaN,NaN,NaN,88,89,NaN,NaN,69,NaN,NaN,73,NaN,77,NaN,NaN,73,NaN,95,NaN,NaN,NaN,81,NaN,87,87,81,NaN,NaN,83,NaN,98,NaN,NaN,NaN,73,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,95,76,NaN,87,89,NaN,85,NaN,NaN,NaN,NaN,87,94,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,92,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
400115014,92,NaN,NaN,NaN,NaN,94,96,86,NaN,NaN,78,NaN,NaN,93,NaN,NaN,NaN,NaN,95,NaN,86,NaN,NaN,NaN,85,89,78,83,NaN,NaN,NaN,NaN,95,NaN,NaN,91,NaN,88,NaN,84,86,NaN,NaN,NaN,NaN,92,NaN,NaN,91,NaN,84,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,89,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,94,87,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,92,NaN,NaN,85,86,NaN,NaN,NaN,NaN,NaN
400115019,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,73,75,NaN,90,87,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,86,73,NaN,NaN,75,72,NaN,NaN,NaN,NaN,78,NaN,NaN,89,NaN,NaN,80,81,76,NaN,NaN,NaN,NaN,87,NaN,NaN,91,NaN,78,89,85,NaN,NaN,NaN,NaN,NaN,NaN,74,81,NaN,87,NaN,85,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,91,NaN,NaN,84,NaN,77,NaN,NaN,NaN,NaN
400115025,91,NaN,NaN,NaN,NaN,82,78,NaN,NaN,78,77,NaN,89,91,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,84,NaN,88,NaN,80,NaN,87,NaN,NaN,NaN,NaN,86,NaN,NaN,84,86,85,79,NaN,85,NaN,NaN,NaN,NaN,86,NaN,NaN,81,83,86,90,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,91,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115030,93,NaN,NaN,83,98,94,NaN,93,NaN,NaN,NaN,88,NaN,93,NaN,NaN,70,98,95,NaN,93,NaN,NaN,84,NaN,91,87,NaN,NaN,89,NaN,NaN,89,NaN,NaN,93,NaN,90,NaN,88,NaN,NaN,87,NaN,NaN,93,NaN,NaN,97,NaN,84,97,NaN,NaN,NaN,97,NaN,NaN,NaN,90,91,89,93,NaN,NaN,NaN,98,NaN,NaN,89,NaN,NaN,85,NaN,NaN,NaN,95,NaN,NaN,89,NaN,92,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115036,87,NaN,NaN,NaN,NaN,NaN,70,83,NaN,NaN,78,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,74,80,NaN,NaN,73,NaN,88,79,NaN,NaN,78,NaN,NaN,NaN,70,95,NaN,NaN,81,NaN,76,NaN,NaN,84,NaN,NaN,NaN,77,89,NaN,NaN,69,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,76,79,86,82,NaN,NaN,NaN,NaN,NaN,NaN,81,80,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85,NaN,91,NaN,94,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115042,90,NaN,NaN,NaN,NaN,86,NaN,NaN,76,NaN,61,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,88,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115043,91,NaN,NaN,81,NaN,94,95,NaN,80,NaN,82,NaN,88,94,NaN,NaN,81,NaN,95,NaN,NaN,83,NaN,81,NaN,NaN,73,NaN,86,NaN,NaN,NaN,95,NaN,90,NaN,NaN,87,NaN,80,NaN,86,NaN,NaN,NaN,94,NaN,92,NaN,NaN,81,93,91,NaN,NaN,NaN,NaN,NaN,NaN,79,83,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,94,90,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
400115044,88,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,79,70,NaN,NaN,89,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,87,72,NaN,88,81,NaN,NaN,79,NaN,NaN,78,NaN,NaN,87,NaN,89,NaN,85,NaN,NaN,87,NaN,NaN,89,NaN,NaN,93,NaN,79,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,81,76,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,91,90,NaN,NaN,89,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,93,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
400115045,86,NaN,NaN,NaN,NaN,NaN,82,NaN,71,NaN,NaN,81,89,88,NaN,NaN,NaN,NaN,NaN,92,NaN,86,NaN,72,NaN,NaN,81,NaN,NaN,83,NaN,NaN,NaN,84,93,NaN,NaN,NaN,81,82,NaN,NaN,84,NaN,NaN,NaN,82,86,NaN,NaN,80,88,89,NaN,NaN,NaN,NaN,NaN,NaN,77,80,86,NaN,NaN,89,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,86,NaN,93,93,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115048,81,NaN,NaN,NaN,NaN,60,69,NaN,NaN,69,NaN,65,NaN,85,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,73,NaN,76,87,60,30,83,0,NaN,NaN,NaN,NaN,NaN,NaN,82,68,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,68,NaN,74,NaN,NaN,NaN,43,NaN,NaN,44,80,84,80,NaN,NaN,NaN,NaN,-1,NaN,72,68,70,NaN,NaN,67,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
400115050,87,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,81,71,NaN,NaN,88,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,87,83,NaN,89,79,NaN,NaN,74,NaN,98,NaN,NaN,NaN,NaN,90,93,86,75,NaN,NaN,86,NaN,98,NaN,NaN,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
400115004,NaN,80,NaN,NaN,99,90,79,81,NaN,NaN,67,NaN,NaN,NaN,82,NaN,NaN,NaN,88,90,79,NaN,NaN,77,NaN,88,75,74,NaN,NaN,NaN,NaN,85,87,NaN,77,NaN,85,NaN,77,77,NaN,NaN,NaN,NaN,89,88,NaN,89,NaN,NaN,83,91,NaN,NaN,NaN,NaN,NaN,NaN,86,81,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,85,94,NaN,84,NaN,86,NaN,NaN,NaN,NaN,87,NaN,91,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115006,NaN,90,NaN,75,99,NaN,82,90,NaN,NaN,87,NaN,NaN,NaN,90,NaN,80,97,NaN,62,85,NaN,NaN,73,NaN,87,75,69,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,90,NaN,84,81,NaN,79,NaN,72,NaN,NaN,NaN,NaN,NaN,87,71,94,84,84,NaN,93,65,NaN,NaN,82,86,NaN,91,NaN,NaN,NaN,91,79,NaN,84,NaN,NaN,NaN,NaN,NaN,90,91,NaN,NaN,NaN,91,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115007,NaN,85,NaN,64,NaN,NaN,93,NaN,80,NaN,70,NaN,89,NaN,90,NaN,72,NaN,NaN,87,NaN,86,NaN,NaN,88,NaN,65,NaN,NaN,76,74,NaN,NaN,NaN,NaN,NaN,85,73,NaN,69,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,74,NaN,81,NaN,NaN,NaN,78,NaN,NaN,60,73,85,82,NaN,NaN,NaN,NaN,77,NaN,73,82,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,93,80,NaN,NaN,NaN,NaN
400115008,NaN,90,NaN,NaN,99,93,NaN,NaN,86,NaN,85,NaN,NaN,NaN,91,NaN,NaN,99,95,NaN,NaN,90,NaN,77,NaN,90,92,NaN,NaN,84,NaN,NaN,95,NaN,97,NaN,NaN,91,NaN,91,NaN,NaN,86,NaN,NaN,95,NaN,97,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,NaN,NaN,80,93,NaN,94,NaN,95,NaN,NaN,NaN,NaN,89,96,96,NaN,87,NaN,NaN,90,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400115010,NaN,87,NaN,NaN,NaN,81,73,85,NaN,NaN,70,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,85,NaN,NaN,72,NaN,90,75,79,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,83,77,80,NaN,NaN,NaN,NaN,NaN,79,91,NaN,NaN,73,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,81,82,84,87,NaN,NaN,NaN,NaN,NaN,NaN,85,92,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,95,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN
