id,1155005@研究和寫作@1@1,1155048@當代文學理論@1@1,1155057@維多利亞小說@1@1,1155148@小說研究@1@1,1155208@十九世紀蘇格蘭小說@1@1,1155030@美國浪漫主義@2@1,1155209@新女性小說@2@1,1155210@二十／二十一世紀文學中的創傷與復原@2@1,1155211@尤利西斯專題@2@1,1155212@偵探小說與電影@2@1,1155096@文藝心理批評@1@1,1155213@創傷研究@1@1,1155216@中世紀英國文學專題（一）：性、權力 與 騎士文化@1@1,1155217@存在與荒謬主義@1@1,1155219@維多利亞時期至現代文學@2@1,1155117@愛爾蘭文學@1@1,1155198@英國浪漫主義與詩學@1@1,1155199@二十世紀英文小說中的創傷與復原@1@1,1155200@驚悚小說與電影@1@1,1155201@中世紀研究專題（二）：中古文學理論@1@1,1155202@後現代詩選@1@1,1155203@非小說文學@1@1,1157015@專題：美國清教徒與殖民文學@1@1,1157017@文學理論@1@1,1155004@文學批評史@2@1,1155115@二十世紀英國小說@2@1,1155132@非裔美國文學@2@1,1155188@專題：喬伊斯研究@2@1,1155204@世紀末戲劇選讀@2@1,1155205@離散文學研究@2@1,1155206@倫理批評與當代文學@2@1,1155207@電影敘事：歐、亞、美@2@1,1157018@心理小說與電影@2@1
699115009,86,88,NaN,NaN,NaN,90,NaN,NaN,88,NaN,NaN,NaN,NaN,92,87,NaN,NaN,NaN,NaN,NaN,90,93,NaN,82,91,82,78,NaN,NaN,NaN,NaN,NaN,NaN
699115001,88,86,NaN,80,85,84,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,85,83,82,NaN,NaN,NaN,NaN,NaN,NaN
699115007,90,83,NaN,78,NaN,87,NaN,90,NaN,80,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,90,84,NaN,NaN,NaN,NaN,91,85,NaN,NaN,NaN,NaN,NaN,NaN,86
699115008,87,78,73,NaN,80,80,NaN,84,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,82,NaN,NaN,NaN,NaN,NaN,NaN,81,80,NaN,NaN,NaN,NaN,84,NaN,NaN
699115010,85,75,NaN,81,83,78,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,83,NaN,NaN,86,NaN,NaN,81,NaN,NaN,NaN,85,NaN
699115011,85,84,NaN,NaN,83,NaN,82,81,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,83,NaN,NaN,76,73,NaN,NaN,NaN,NaN,NaN,83,NaN
699115012,79,77,83,NaN,80,NaN,80,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,70,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,81,83,NaN,NaN,NaN,NaN
699115013,87,84,85,70,NaN,87,83,NaN,NaN,70,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,70,85,NaN,NaN,72,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
699115014,79,70,70,NaN,81,NaN,73,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,75,NaN,77,NaN,NaN,76,72,NaN,NaN,NaN,NaN,NaN,79,NaN
699115016,91,NaN,71,78,90,88,NaN,NaN,83,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,94,NaN,87,NaN,NaN,NaN,NaN,NaN,87,NaN,82
699115005,89,NaN,NaN,85,86,NaN,NaN,88,82,85,87,84,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,85,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN
699115004,86,NaN,NaN,NaN,83,NaN,86,82,83,84,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,83,NaN,NaN,89,NaN,NaN,89,NaN,NaN,84,NaN,NaN,NaN,86,NaN
699115006,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,82,NaN,NaN,85,76,NaN,NaN,NaN,NaN,NaN,82,NaN
