id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202341@宋史（一）@1@1,1202449@美國現代文化史@1@1,1202823@日文（三）@1@1,1202901@古希臘文（一）@1@1,1203351@明史（一）@1@1,1203419@文藝復興史@1@1,1203629@北亞草原民族歷史與文化@1@1,1203691@明清文化史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202329@清史@2@1,1202342@宋史（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203532@日本史（二）@2@1,1203564@德國文化史（二）@2@1,1204612@中國藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204959@博物館學@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202151@世界現代史（一）@1@1,1202231@台灣史（一）@1@1,1202311@魏晉南北朝史（一）@1@1,1202329@清史@1@1,1202331@中國現代史（一）@1@1,1202411@世界中古史（一）@1@1,1202583@俄國史(一)@1@1,1202822@日文（二）@1@1,1203312@遼夏金史（二）@1@1,1203421@世界近世文明史（一）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1204611@中國藝術史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1204979@藝術創作技法@1@1,1202152@世界現代史（二）@2@1,1202232@台灣史（二）@2@1,1202312@魏晉南北朝史（二）@2@1,1202332@中國現代史（二）@2@1,1202412@世界中古史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1202823@日文（三）@2@1,1203322@清史(二)@2@1,1203449@古代羅馬史@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204682@台灣藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1202351@中國上古史（一）@1@1,1203161@史學方法（一）@1@1,1203371@秦漢史（一）@1@1,1203721@西洋史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204842@中國歷史地理（二）@1@1,1202821@日文（一）@2@1,1203162@史學方法（二）@2@1,1203372@秦漢史（二）@2@1,1203422@世界近世文明史（二）@2@1,1203809@三國史事與人物@2@1,1203852@滿文閱讀入門（二）@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1202141@中國近代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1203509@古代地中海史@1@1,1203513@臺灣近代史(一)@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204691@西洋藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204802@從出土資料看漢唐文明(二)@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202902@古希臘文(二)@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1204692@西洋藝術史（二）@2@1,1204872@滿文文獻閱讀進階（二）@2@1,1204999@西洋政治思想史@2@1
402120001,94,80,85,85,93,NaN,NaN,80,80,NaN,NaN,86,88,90,82,NaN,90,85,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,92,63,NaN,NaN,90,NaN,92,NaN,NaN,97,NaN,NaN,93,NaN,88,NaN,NaN,NaN,NaN,NaN,89,NaN,90,NaN,84,93,NaN,NaN,NaN,91,92,NaN,NaN,NaN,89,NaN,NaN,NaN,93,NaN,NaN,81,NaN,90,NaN,86,NaN,90,NaN,NaN,NaN,88,NaN,97,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120003,81,61,86,85,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,83,83,95,NaN,NaN,NaN,NaN,83,84,NaN,90,NaN,92,NaN,88,73,93,NaN,NaN,NaN,87,NaN,84,84,NaN,NaN,82,87,85,84,82,NaN,NaN,NaN,73,86,NaN,82,77,NaN,NaN,NaN,NaN,90,85,90,NaN,NaN,NaN,90,-1,NaN,NaN,96,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120006,82,63,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,87,90,85,NaN,NaN,NaN,88,88,NaN,84,NaN,90,NaN,86,76,NaN,NaN,88,NaN,77,NaN,85,85,NaN,NaN,83,NaN,NaN,78,87,NaN,NaN,NaN,67,NaN,83,84,NaN,NaN,75,NaN,NaN,90,88,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,91,82,82,88,NaN,76,NaN,91,87,NaN,70,NaN,NaN,NaN,87,91,NaN,68,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120007,85,68,89,85,78,NaN,NaN,NaN,80,NaN,NaN,NaN,78,79,84,NaN,NaN,76,77,-1,79,NaN,NaN,NaN,NaN,NaN,70,69,NaN,NaN,81,NaN,72,85,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,73,84,NaN,70,NaN,NaN,73,NaN,NaN,89,76,NaN,-1,NaN,NaN,-1,84,NaN,NaN,NaN,NaN,72,NaN,79,NaN,80,86,76,NaN,NaN,94,82,NaN,64,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120008,72,64,72,NaN,60,NaN,NaN,NaN,65,NaN,NaN,NaN,69,74,68,95,NaN,73,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,60,60,NaN,NaN,74,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,67,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,70,NaN,0,NaN,NaN,60,75,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,80,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120009,80,71,82,85,72,NaN,NaN,NaN,78,NaN,82,NaN,73,71,84,NaN,45,NaN,NaN,85,68,NaN,76,NaN,NaN,NaN,83,72,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,73,NaN,86,NaN,81,77,80,NaN,NaN,NaN,82,NaN,82,60,NaN,NaN,NaN,NaN,62,85,76,81,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,77,86,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,82,80,NaN,NaN,NaN,75,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402120010,80,60,84,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,84,78,74,85,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,58,60,NaN,NaN,89,NaN,NaN,NaN,86,NaN,NaN,NaN,89,NaN,85,NaN,NaN,NaN,NaN,NaN,84,NaN,83,63,NaN,NaN,NaN,NaN,NaN,87,75,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,NaN,NaN,78,NaN,81,80,NaN,88,77,NaN,NaN,NaN,74,NaN,86,88,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402120011,72,63,84,90,65,NaN,NaN,NaN,NaN,86,NaN,NaN,78,72,75,NaN,60,NaN,76,NaN,83,NaN,NaN,NaN,NaN,NaN,70,74,NaN,NaN,78,NaN,NaN,86,81,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,82,NaN,NaN,NaN,81,NaN,-1,90,NaN,NaN,-1,NaN,82,-1,NaN,NaN,81,86,89,66,NaN,64,80,NaN,NaN,NaN,62,NaN,96,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120012,92,73,89,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,77,64,93,80,NaN,80,NaN,65,NaN,NaN,82,NaN,NaN,NaN,88,76,NaN,NaN,80,NaN,NaN,NaN,82,84,NaN,83,NaN,NaN,81,77,83,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,81,82,NaN,NaN,86,NaN,NaN,87,68,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,69,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,90,NaN,88,68,NaN,NaN,74,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
402120013,64,82,82,85,NaN,NaN,NaN,80,70,NaN,NaN,NaN,66,63,77,NaN,NaN,NaN,NaN,83,84,NaN,NaN,NaN,87,NaN,58,62,88,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,82,NaN,NaN,81,72,NaN,NaN,NaN,80,80,NaN,63,NaN,88,NaN,NaN,NaN,85,73,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,82,NaN,84,80,60,NaN,NaN,95,73,NaN,60,NaN,NaN,NaN,81,82,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
