id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1203351@明史（一）@1@1,1203371@秦漢史（一）@1@1,1203439@古代希臘史@1@1,1203531@日本史（一）@1@1,1203721@西洋史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1204631@中國共產黨史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202821@日文（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203809@三國史事與人物@2@1,1204632@中國共產黨史（二）@2@1,1204949@《資治通鑑》選讀@2@1,1202231@台灣史（一）@1@1,1202331@中國現代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1202822@日文（二）@1@1,1202901@古希臘文（一）@1@1,1203161@史學方法（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203593@中南美洲史(一)@1@1,1203711@中國史學史（一）@1@1,1203809@三國史事與人物@1@1,1204611@中國藝術史（一）@1@1,1204691@西洋藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204939@歐洲建築文明史@1@1,1202232@台灣史（二）@2@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202823@日文（三）@2@1,1203162@史學方法（二）@2@1,1203372@秦漢史（二）@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204999@西洋政治思想史@2@1
404120001,71,62,89,90,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,69,85,88,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,72,NaN,73,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
404120002,87,80,89,NaN,NaN,NaN,86,NaN,95,NaN,NaN,NaN,NaN,NaN,84,92,87,90,-1,NaN,95,NaN,NaN,NaN,NaN,91,NaN,78,91,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404120003,84,87,90,90,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,88,89,NaN,NaN,-1,-1,NaN,95,NaN,NaN,66,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120004,91,82,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,91,90,NaN,NaN,-1,NaN,NaN,NaN,90,76,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,90,NaN,NaN,88,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404120005,86,76,86,90,78,72,NaN,NaN,75,NaN,NaN,NaN,90,NaN,80,84,87,NaN,NaN,-1,-1,NaN,81,NaN,NaN,75,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,89,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN
404120006,89,88,89,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,88,90,90,NaN,-1,-1,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,88,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN
404120007,72,74,88,90,70,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,65,84,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120008,84,77,88,NaN,83,NaN,NaN,87,NaN,NaN,65,80,NaN,NaN,72,80,82,90,NaN,-1,NaN,90,NaN,NaN,NaN,68,89,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120009,87,71,90,80,90,NaN,NaN,NaN,81,NaN,NaN,NaN,73,72,80,90,88,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,78,87,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404120010,91,86,91,NaN,NaN,88,88,NaN,94,NaN,NaN,NaN,91,NaN,90,94,92,90,NaN,-1,-1,NaN,NaN,NaN,NaN,87,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN
