id,1205049@近代中國史料專題研究@1@1,1205229@歷史名著選讀@1@1,1205309@歷史、小說與影像@1@1,1209519@國共關係史專題研究@1@1,1209549@人權史專題@1@1,1209651@台灣宗教史專題（一）@1@1,1209699@比較歷史專題研究@1@1,1209789@先秦道家文獻專題研究@1@1,1209839@近百年中國歷史地理學發展@1@1,1209841@宋人傳記專題討論（一）@1@1,1205219@中國近代史專題研究@2@1,1205239@歷史研究導論@2@1,1205249@西洋史學史專題研究@2@1,1208039@五胡治華專題研究@2@1,1208059@中國中古社會史專題@2@1,1209809@中國近代軍事史專題研究@2@1,1209842@宋人傳記專題討論（二）@2@1,1209861@現代性－史學、藝術與文化批評理論（一）@2@1,1205161@宋代社會專題討論（一）@1@1,1208849@英國史專題研究@1@1,1208969@中國歷史地理要籍研究@1@1,1209231@中國現代史專題研究（一）@1@1,1209652@台灣宗教史專題（二）@1@1,1209879@中共當代史觀專題研究1949-2008年@1@1,1205033@日治時期台灣史專題研究（一）@2@1,1209719@近代慈善事業專題研究@2@1,1209909@歷史與記憶專題研究@1@1,1209791@宋代荒政研究（一）@2@1,1205099@中國近代史論著選讀@1@1,1205201@先秦出土文獻專題研究（一）@1@1,1209389@台灣藝術史專題研究@1@1,1209431@東洋史學專題研究－中國篇（一）@1@1,1209649@歐洲近代文化史研究@1@1,1209792@宋代荒政研究（二）@1@1,1205202@先秦出土文獻專題研究（二）@2@1,1205319@宋代官箴研讀@2@1,1207029@「歷史理論」專題研究@2@1,1207039@明史論著選讀@2@1,1207049@漢畫專題研究@2@1,1208139@中國中古政治史專題@2@1,1208919@中國近代社會史專題研究@2@1,1209232@中國現代史專題研究（二）@2@1
699120016,85,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,75,NaN,NaN,NaN,87
699120004,NaN,84,NaN,NaN,90,92,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,90,NaN,93,94,95,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699120014,NaN,70,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,70,92,NaN,NaN,NaN,NaN,80,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,82,NaN,88,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
699120007,NaN,86,85,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,82,NaN,NaN,90,NaN,NaN,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,88
699120011,NaN,86,84,NaN,NaN,NaN,NaN,NaN,82,89,NaN,81,NaN,86,NaN,NaN,85,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,92,NaN,86,NaN,NaN,NaN,89,NaN,NaN
699120003,NaN,88,NaN,90,NaN,NaN,92,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,93,NaN,92,NaN,NaN,NaN,NaN,NaN,89
699120012,NaN,85,NaN,89,NaN,NaN,NaN,NaN,82,NaN,89,84,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,87
699120013,NaN,85,NaN,NaN,NaN,NaN,NaN,93,80,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,90,NaN,89,88,NaN,NaN,NaN,86,NaN,NaN,NaN
699120006,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,83,NaN,NaN,NaN,91,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
699120002,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
