id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251902@黑格爾@1@1,1251911@哲學史（一）@1@1,1251951@中國哲學概論@1@1,1252100@形上學@1@1,1252200@知識論@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252701@政治哲學@1@1,1254303@知覺@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252500@科學哲學@2@1,1252610@應用倫理學@2@1,1252909@羅素@2@1,1252932@海德格@2@1,1253709@全球正義理論@2@1,1254401@模態邏輯@2@1,1252517@科學推理@1@1,1252907@羅爾斯@1@1,1253919@洛克@1@1,1254406@悖論@1@1,1251903@休謨@2@1,1252305@心靈哲學@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252801@法律哲學@2@1,1252906@亞里斯多德@2@1,1252927@蒯因@2@1,1253104@二十世紀初期分析哲學@2@1,1253500@科學哲學@2@1,1254611@德性倫理學@2@1,1252305@心靈哲學@1@1,1252608@美學概論@1@1,1252914@佛列格哲學@1@1,1253609@後設倫理學@1@1,1253922@笛卡爾@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1254606@情感哲學@1@1,1251205@批判思考與論證@2@1,1252928@史賓諾沙@2@1,1253705@權利與義務@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254304@知覺哲學@2@1,1254408@條件句@2@1,1254602@演化倫理學@2@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253203@懷疑論@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1254306@概念論@1@1,1254310@自我知識@1@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252922@康德@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1251407@基礎邏輯（下）@2@2,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1253509@古代自然哲學與科學史@1@1,1254702@自由主義@1@1
400125001,71,79,85,NaN,74,NaN,87,92,91,82,NaN,NaN,87,NaN,NaN,NaN,NaN,84,76,NaN,85,74,93,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,78,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,90,NaN,87,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125002,77,83,NaN,NaN,83,NaN,90,88,NaN,97,NaN,NaN,87,NaN,NaN,NaN,NaN,85,75,85,78,NaN,88,NaN,81,NaN,NaN,NaN,NaN,55,NaN,NaN,80,94,NaN,NaN,78,80,95,85,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,86,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125003,88,75,85,NaN,70,NaN,70,66,NaN,62,NaN,NaN,NaN,NaN,80,NaN,NaN,83,66,NaN,74,NaN,73,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,85,82,NaN,NaN,60,81,NaN,NaN,NaN,67,NaN,82,84,NaN,NaN,NaN,92,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125005,77,83,87,NaN,77,89,70,74,NaN,79,80,NaN,NaN,88,NaN,NaN,NaN,92,80,NaN,85,66,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN,NaN,85,75,NaN,NaN,77,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125006,90,94,NaN,NaN,92,98,93,86,NaN,91,86,NaN,NaN,NaN,NaN,87,NaN,83,86,85,93,NaN,89,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,94,NaN,NaN,95,93,90,NaN,93,NaN,72,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125007,92,83,83,NaN,81,98,73,64,NaN,85,91,NaN,90,NaN,NaN,NaN,NaN,86,76,NaN,74,69,89,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,55,70,88,NaN,80,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125008,96,94,NaN,NaN,90,NaN,90,87,NaN,93,NaN,NaN,NaN,NaN,NaN,87,NaN,88,95,85,95,NaN,88,NaN,NaN,75,NaN,NaN,NaN,NaN,97,NaN,90,90,85,NaN,81,NaN,97,NaN,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125009,79,83,88,NaN,85,95,80,77,NaN,86,89,NaN,89,NaN,NaN,NaN,NaN,76,74,NaN,86,NaN,83,NaN,84,NaN,NaN,71,NaN,NaN,NaN,NaN,76,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125010,91,81,NaN,NaN,78,91,90,72,NaN,87,89,NaN,91,NaN,NaN,NaN,NaN,90,77,85,91,75,90,NaN,86,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,92,NaN,NaN,NaN,90,NaN,NaN,83,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400125011,78,73,86,NaN,81,73,75,64,NaN,84,89,NaN,NaN,NaN,NaN,78,NaN,76,62,NaN,81,61,81,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,90,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,40,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
