id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252100@形上學@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252305@心靈哲學@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252610@應用倫理學@2@1,1252801@法律哲學@2@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252608@美學概論@1@1,1252701@政治哲學@1@1,1252914@佛列格哲學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1251205@批判思考與論證@2@1,1252500@科學哲學@2@1,1252928@史賓諾沙@2@1,1253705@權利與義務@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254304@知覺哲學@2@1,1254408@條件句@2@1,1254602@演化倫理學@2@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253203@懷疑論@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1254306@概念論@1@1,1254310@自我知識@1@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252100@形上學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
401125001,90,100,85,94,91,NaN,NaN,NaN,90,75,97,NaN,86,NaN,88,NaN,89,NaN,86,97,75,77,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,91,93,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125002,85,73,NaN,74,NaN,NaN,80,NaN,NaN,75,62,85,60,NaN,NaN,NaN,85,NaN,43,66,NaN,NaN,NaN,NaN,80,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125003,81,71,85,84,60,91,NaN,NaN,NaN,85,79,NaN,84,NaN,NaN,NaN,85,NaN,60,68,NaN,63,NaN,NaN,NaN,76,NaN,NaN,53,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,73,NaN,73,71,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
401125004,86,80,NaN,90,95,NaN,88,NaN,NaN,95,80,90,86,NaN,NaN,NaN,97,NaN,92,93,NaN,76,90,NaN,65,NaN,NaN,NaN,76,NaN,NaN,89,98,NaN,70,NaN,88,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,97,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125005,85,100,85,94,91,NaN,NaN,88,NaN,93,100,NaN,95,85,NaN,NaN,89,NaN,87,NaN,NaN,90,73,NaN,92,NaN,NaN,NaN,67,NaN,NaN,81,98,NaN,85,NaN,85,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,95,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125006,80,72,NaN,73,60,NaN,NaN,NaN,90,78,72,85,64,NaN,72,75,NaN,NaN,76,69,NaN,80,61,NaN,85,60,65,NaN,73,NaN,NaN,52,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,60,72,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125007,78,70,85,70,84,NaN,0,NaN,NaN,80,71,NaN,70,NaN,0,NaN,84,NaN,NaN,60,51,46,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125008,75,62,NaN,73,62,NaN,NaN,NaN,90,70,78,85,70,NaN,NaN,NaN,77,NaN,61,89,NaN,78,73,NaN,NaN,77,NaN,NaN,NaN,60,NaN,74,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,80,NaN,75,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125009,80,NaN,85,78,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125010,77,66,NaN,76,79,NaN,71,5,NaN,91,70,85,70,NaN,82,NaN,NaN,NaN,84,69,NaN,82,NaN,NaN,NaN,60,NaN,NaN,70,73,NaN,NaN,NaN,50,NaN,81,NaN,88,NaN,NaN,NaN,82,83,NaN,NaN,NaN,NaN,NaN,73,70,86,NaN,48,NaN,62,NaN,NaN,NaN,60,78,74,76,NaN,73,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
