id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251406@基礎邏輯（上）@1@2,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252200@知識論@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251407@基礎邏輯（下）@2@2,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252306@語言哲學@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1252305@心靈哲學@1@1,1252306@語言哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1,1254503@生物哲學概論@2@1
404125002,93,NaN,82,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,84,NaN,84,NaN,80,83,NaN,NaN,NaN,NaN,98,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
404125003,91,NaN,75,NaN,90,82,NaN,NaN,NaN,64,NaN,NaN,88,NaN,NaN,92,NaN,70,NaN,NaN,79,NaN,NaN,NaN,NaN,67,70,71,92,NaN,60,NaN,89,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404125004,99,NaN,NaN,75,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,63,95,92,95,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404125005,72,NaN,29,55,85,33,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,46,NaN,50,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125011,99,NaN,NaN,90,90,83,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,86,NaN,81,NaN,-1,NaN,94,32,NaN,73,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404125012,96,NaN,87,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,84,NaN,83,NaN,90,78,NaN,NaN,NaN,NaN,91,NaN,85,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404125014,87,NaN,NaN,83,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,76,90,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125015,98,NaN,99,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,94,NaN,100,NaN,NaN,NaN,NaN,89,91,91,79,NaN,81,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
404125018,99,NaN,NaN,65,NaN,78,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,99,NaN,69,NaN,85,78,NaN,NaN,NaN,93,90,NaN,83,95,NaN,NaN,NaN,89,88,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN
404125019,90,NaN,NaN,77,85,68,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,82,NaN,NaN,90,NaN,65,NaN,NaN,NaN,74,75,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
