id,1305002@音韻學@1@1,1305003@語法學@1@1,1305571@言談分析@1@1,1305572@語言的變異與變遷@1@1,1307010@台灣手語專題討論@1@1,1307025@腦神經語言學導論@1@1,1308559@當代語言學議題討論@1@1,1305542@語言學與統計@2@1,1305563@口語與手語語音學@2@1,1305568@構詞學@2@1,1305574@語用學專題討論@2@1,1306558@心理語言學@2@1,1307026@臨床語言學@2@1,1307031@認知語言學專題討論：隱喻@2@1,1307650@高級語法學@2@1,1308559@當代語言學議題討論@2@1,1305004@語意學@1@1,1305570@社會語言學@1@1,1306553@漢語語法@1@1,1307041@語言共性與先天性@1@1,1307568@韻律音韻學專題討論@1@1,1305005@形式語意學@2@1,1305559@閩南語的語音與音韻@2@1,1305573@手勢、表情與溝通@2@1,1307651@語法學專題討論@2@1,1308552@研究與寫作@2@1,1305569@語用學@1@1,1307001@認知語言學@1@1,1307553@音韻習得專題討論（一）@1@1,1307658@微言句法學議題討論@1@1,1307023@台灣手語語意學@2@1,1307042@語言習得、發展與衰退@2@1,1307550@高級音韻學專題討論@2@1
600130001,85,82,NaN,NaN,NaN,80,95,93,NaN,81,84,NaN,82,NaN,NaN,85,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130002,92,85,82,NaN,NaN,NaN,85,NaN,NaN,87,NaN,83,NaN,NaN,89,87,NaN,NaN,93,88,NaN,91,NaN,NaN,89,94,NaN,NaN,NaN,86,NaN,NaN,NaN
600130003,90,80,NaN,NaN,NaN,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,86,83,86,NaN,NaN,82,89
600130005,84,82,NaN,NaN,NaN,84,92,92,88,NaN,92,NaN,NaN,NaN,NaN,87,NaN,91,NaN,NaN,87,NaN,NaN,85,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130006,81,86,NaN,NaN,NaN,81,86,NaN,NaN,75,90,NaN,NaN,NaN,70,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130007,80,85,NaN,NaN,NaN,72,88,92,NaN,NaN,88,NaN,NaN,83,NaN,88,NaN,88,NaN,NaN,NaN,NaN,84,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130010,86,80,NaN,88,NaN,NaN,92,94,90,NaN,92,NaN,NaN,NaN,NaN,87,NaN,92,NaN,NaN,NaN,NaN,NaN,86,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130011,84,85,82,NaN,NaN,83,89,NaN,NaN,NaN,85,NaN,NaN,84,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,87,86,NaN,NaN,85,NaN,NaN
600130012,77,85,NaN,16,NaN,79,75,90,80,NaN,39,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,74,NaN,89,NaN,NaN,73,75,NaN,NaN,NaN,NaN,83,NaN
600130015,88,85,NaN,NaN,NaN,79,93,93,NaN,NaN,84,81,NaN,85,NaN,87,NaN,91,NaN,84,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130016,89,78,NaN,NaN,83,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130017,83,80,NaN,NaN,NaN,80,90,92,NaN,NaN,89,NaN,75,NaN,NaN,88,85,NaN,NaN,NaN,81,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600130018,80,78,80,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
