id,1305568@構詞學@2@1,1305574@語用學專題討論@2@1,1308559@當代語言學議題討論@2@1,1305002@音韻學@1@1,1305003@語法學@1@1,1305004@語意學@1@1,1306553@漢語語法@1@1,1307022@聾人的語言與文化@1@1,1307041@語言共性與先天性@1@1,1307568@韻律音韻學專題討論@1@1,1308559@當代語言學議題討論@1@1,1305005@形式語意學@2@1,1305542@語言學與統計@2@1,1305559@閩南語的語音與音韻@2@1,1305573@手勢、表情與溝通@2@1,1306558@心理語言學@2@1,1306564@數理語言學@2@1,1306570@南島語語言學@2@1,1307015@手語研究導論@2@1,1307651@語法學專題討論@2@1,1305569@語用學@1@1,1305571@言談分析@1@1,1305572@語言的變異與變遷@1@1,1307001@認知語言學@1@1,1307553@音韻習得專題討論（一）@1@1,1307654@語意學專題討論@1@1,1307658@微言句法學議題討論@1@1,1305564@華語與英語語音學@2@1,1306556@計算語言學@2@1,1307023@台灣手語語意學@2@1,1307042@語言習得、發展與衰退@2@1,1307550@高級音韻學專題討論@2@1,1307650@高級語法學@2@1,1307665@高級語意學@2@1,1308552@研究與寫作@2@1,1305559@閩南語的語音與音韻@1@1,1306558@心理語言學@1@1,1307027@語言與老化專題討論：理解與產出@1@1,1307033@隱喻導論@1@1,1307034@應用語言學@1@1,1307660@比較句法學@1@1,1307666@高級語意學專題討論@1@1,1305566@語法學（二）@2@1,1307002@語言與認知@2@1,1306574@南島語結構與語言教學@2@1
601130001,78,89,90,91,87,88,87,NaN,NaN,NaN,90,93,NaN,NaN,NaN,84,NaN,92,NaN,85,NaN,NaN,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,NaN,89,92,93,NaN,NaN,NaN,NaN,NaN,92,90,90,NaN,NaN
601130002,NaN,NaN,86,81,75,86,NaN,NaN,NaN,NaN,82,88,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130003,89,NaN,87,91,85,85,NaN,86,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,84,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130004,NaN,NaN,90,87,78,84,NaN,NaN,NaN,NaN,94,92,89,NaN,NaN,86,NaN,NaN,88,NaN,NaN,NaN,NaN,90,90,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130005,NaN,NaN,90,88,84,85,NaN,NaN,NaN,NaN,89,92,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,80,NaN,NaN,90,NaN,NaN,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
601130006,84,NaN,89,86,86,NaN,NaN,NaN,NaN,86,91,90,88,83,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,91,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130012,NaN,NaN,92,82,92,84,NaN,NaN,NaN,93,84,NaN,87,86,82,NaN,NaN,NaN,86,NaN,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130013,NaN,NaN,89,87,77,90,NaN,NaN,NaN,NaN,92,91,78,NaN,NaN,85,86,88,NaN,NaN,NaN,82,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130014,NaN,NaN,88,89,85,84,NaN,NaN,NaN,NaN,92,91,88,84,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601130016,86,NaN,86,84,79,84,NaN,NaN,NaN,NaN,87,85,85,NaN,NaN,NaN,NaN,NaN,88,NaN,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
