id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@8,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2103102@複變函數論（二）@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2104553@線性規劃導論@1@1,2102002@高等微積分（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103001@點集拓樸@2@1,2103521@數值線性代數導論@2@1,2103711@統計方法@2@1,2101017@基礎生物數學@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103521@數值線性代數導論@1@1,2103524@初等數論@1@1,2104201@偏微分方程導論@1@1,2101002@微積分（二）@2@5,2103522@微分方程數值方法@2@1,2103525@初等數論（二）@2@1,2103701@統計科學@2@1,2104402@近代數學專題（二）@2@1,2101003@微積分（一）@1@4,2102002@高等微積分（二）@1@1,2103401@近世代數（一）@1@1,2104701@統計推論@1@1,2101002@微積分（二）@2@10,2103404@離散數學@2@1,2104401@近代數學專題（一）@2@1,2103711@統計方法@1@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1
401210001,86,86,82,NaN,67,NaN,69,61,NaN,NaN,NaN,60,69,86,68,66,61,70,71,72,73,76,NaN,NaN,80,60,NaN,84,82,NaN,NaN,86,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210002,74,61,NaN,NaN,71,NaN,NaN,60,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210003,76,78,82,NaN,80,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN
401210004,28,7,NaN,NaN,NaN,7,NaN,NaN,50,NaN,NaN,NaN,22,80,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210005,94,60,80,50,76,NaN,60,67,NaN,NaN,NaN,90,60,87,77,74,88,70,-1,76,60,NaN,60,NaN,42,20,75,NaN,41,NaN,61,NaN,20,-1,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1,NaN
401210006,76,60,NaN,NaN,70,NaN,62,60,82,NaN,NaN,62,71,78,72,63,54,78,60,74,66,NaN,64,NaN,NaN,NaN,74,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,74,78,NaN,NaN,NaN
401210007,71,74,82,NaN,62,NaN,67,79,NaN,NaN,NaN,66,60,75,78,78,55,63,71,74,65,NaN,76,NaN,82,NaN,70,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
401210008,85,60,NaN,NaN,72,NaN,61,68,90,NaN,NaN,62,80,92,72,74,65,77,86,96,50,NaN,60,NaN,60,77,85,80,NaN,NaN,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401210009,63,60,82,NaN,71,NaN,64,61,NaN,NaN,NaN,60,60,83,76,86,60,64,67,91,NaN,NaN,75,NaN,70,75,73,NaN,77,NaN,NaN,NaN,46,88,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
401210010,62,60,NaN,NaN,70,NaN,75,62,83,NaN,NaN,50,60,87,70,61,70,63,80,82,NaN,NaN,35,NaN,85,70,78,67,62,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN
