id,2101001@微積分（一）@1@1,2101002@微積分（二）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2102201@微分方程（一）@2@1,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103521@數值線性代數導論@1@1,2104553@線性規劃導論@1@1,2102002@高等微積分（二）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103302@幾何學(二)@2@1,2103522@微分方程數值方法@2@1,2104402@近代數學專題（二）@2@1
404210002,88,NaN,83,NaN,NaN,98,73,80,90,-1,67,60,76,80,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210003,95,NaN,70,90,NaN,84,-1,71,NaN,-1,60,69,87,60,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210004,93,NaN,69,NaN,NaN,73,61,-1,90,-1,60,62,72,38,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210005,81,NaN,72,90,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210006,96,NaN,77,NaN,NaN,96,81,70,90,-1,66,72,86,88,NaN,71,-1,-1,-1,NaN,NaN,-1
404210007,98,NaN,81,90,NaN,94,62,71,NaN,-1,60,64,86,76,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210008,84,NaN,73,NaN,NaN,80,60,70,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210009,99,NaN,78,90,NaN,94,-1,82,NaN,-1,46,64,87,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210010,81,NaN,74,NaN,NaN,-1,-1,-1,90,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210011,65,75,72,90,NaN,54,60,66,NaN,-1,NaN,68,72,71,NaN,NaN,-1,-1,-1,NaN,-1,NaN
404210012,63,67,75,NaN,NaN,NaN,64,33,90,-1,36,60,61,46,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210013,70,64,77,90,NaN,56,71,63,NaN,-1,44,26,76,36,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210014,72,NaN,60,NaN,NaN,67,-1,60,90,-1,1,60,60,28,NaN,60,-1,-1,-1,NaN,NaN,NaN
404210015,91,NaN,76,90,NaN,71,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210016,19,NaN,41,NaN,-1,-1,67,46,90,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404210018,67,43,60,NaN,NaN,-1,60,-1,90,-1,NaN,60,40,25,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210019,79,10,46,90,NaN,38,NaN,NaN,NaN,NaN,0,37,0,12,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210020,65,NaN,71,NaN,NaN,65,66,60,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210021,63,NaN,64,90,NaN,-1,-1,60,NaN,-1,NaN,63,65,39,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210023,92,88,86,90,NaN,NaN,98,81,NaN,-1,98,88,67,82,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210024,88,NaN,79,NaN,NaN,87,75,80,90,-1,60,70,84,60,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210025,77,NaN,71,90,NaN,69,60,60,NaN,-1,60,60,82,37,NaN,73,-1,-1,-1,NaN,NaN,NaN
404210026,90,NaN,63,NaN,NaN,74,-1,60,90,79,28,37,70,42,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210027,79,NaN,67,90,NaN,77,61,68,NaN,72,31,65,86,45,NaN,NaN,-1,-1,-1,-1,NaN,NaN
404210028,75,NaN,72,NaN,NaN,76,82,80,90,-1,65,85,87,79,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210029,57,42,60,90,-1,-1,-1,56,NaN,-1,NaN,60,85,43,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210030,60,32,60,NaN,NaN,NaN,-1,26,90,-1,NaN,24,75,45,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404210032,75,NaN,60,NaN,NaN,60,60,53,90,-1,35,60,82,60,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210033,65,NaN,60,90,NaN,56,66,60,NaN,-1,28,60,87,46,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210034,70,NaN,60,NaN,NaN,-1,-1,17,90,NaN,NaN,0,0,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210035,98,NaN,88,90,NaN,99,70,96,NaN,-1,73,65,87,84,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210037,33,NaN,37,90,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210038,61,NaN,63,NaN,NaN,-1,-1,52,90,-1,NaN,37,70,43,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210039,53,NaN,60,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,9,40,21,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN
404210040,79,NaN,71,NaN,NaN,57,-1,60,90,-1,23,60,60,29,NaN,70,-1,-1,-1,NaN,NaN,NaN
404210041,74,NaN,66,90,NaN,34,-1,51,NaN,-1,NaN,17,40,29,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210043,89,NaN,88,90,NaN,65,-1,87,NaN,-1,60,81,86,73,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210044,64,NaN,66,NaN,NaN,60,62,61,90,-1,17,60,88,42,NaN,72,-1,-1,-1,NaN,NaN,-1
404210046,74,NaN,70,NaN,NaN,80,71,73,90,-1,60,93,87,60,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210047,91,NaN,70,90,NaN,60,-1,63,NaN,-1,NaN,60,72,28,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
404210048,81,NaN,60,NaN,NaN,76,60,61,90,-1,27,70,71,25,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210049,66,NaN,62,90,NaN,56,NaN,40,NaN,-1,34,39,75,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210050,88,NaN,66,NaN,NaN,74,62,64,90,89,60,60,83,43,NaN,70,-1,-1,-1,NaN,NaN,NaN
404210001,NaN,NaN,23,90,NaN,1,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210036,NaN,25,60,NaN,NaN,NaN,-1,22,90,-1,NaN,60,72,28,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404210017,60,NaN,44,90,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210052,87,98,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,75,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404210051,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,85,68,60,80,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404210053,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,66,66,50,40,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
