id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101002@微積分（二）@2@1,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2102201@微分方程（一）@2@1
405210001,60,45,85,-1,-1,-1,NaN,NaN
405210002,78,40,NaN,-1,-1,NaN,-1,-1
405210003,83,75,91,-1,-1,-1,NaN,-1
405210004,72,55,NaN,-1,-1,-1,-1,-1
405210005,61,47,85,-1,-1,-1,NaN,NaN
405210006,61,50,NaN,-1,NaN,-1,-1,NaN
405210007,66,52,87,-1,NaN,-1,NaN,NaN
405210009,80,74,87,-1,-1,-1,NaN,NaN
405210010,83,79,NaN,-1,-1,-1,-1,NaN
405210011,92,100,92,-1,-1,-1,NaN,NaN
405210012,91,82,NaN,-1,-1,-1,-1,NaN
405210013,70,45,93,-1,NaN,NaN,NaN,NaN
405210014,68,51,NaN,-1,-1,-1,-1,NaN
405210015,36,28,88,-1,-1,-1,NaN,NaN
405210016,33,18,NaN,-1,NaN,-1,-1,NaN
405210017,49,69,87,-1,-1,-1,NaN,NaN
405210018,62,46,NaN,-1,-1,-1,-1,NaN
405210020,40,50,NaN,-1,-1,-1,-1,NaN
405210021,81,61,87,-1,NaN,-1,NaN,NaN
405210022,49,44,NaN,-1,NaN,-1,-1,NaN
405210024,78,93,NaN,-1,-1,-1,-1,NaN
405210025,60,30,87,-1,-1,-1,NaN,NaN
405210026,37,39,NaN,-1,-1,-1,-1,NaN
405210027,65,60,90,-1,-1,-1,NaN,NaN
405210028,60,42,NaN,-1,-1,-1,-1,-1
405210029,85,67,90,-1,-1,-1,NaN,NaN
405210030,73,38,NaN,-1,NaN,-1,-1,NaN
405210031,71,72,88,-1,NaN,-1,NaN,NaN
405210032,64,71,NaN,-1,-1,-1,-1,NaN
405210033,43,46,87,-1,-1,-1,NaN,NaN
405210034,41,20,NaN,-1,-1,-1,-1,NaN
405210035,22,40,87,-1,NaN,-1,NaN,NaN
405210036,51,46,NaN,-1,NaN,-1,-1,NaN
405210037,74,60,88,-1,-1,-1,NaN,NaN
405210038,91,84,NaN,-1,-1,-1,-1,-1
405210039,61,74,88,-1,-1,-1,NaN,NaN
405210040,67,68,NaN,-1,-1,-1,-1,NaN
405210041,48,34,88,-1,-1,-1,NaN,NaN
405210042,46,35,NaN,-1,-1,-1,-1,NaN
405210043,65,52,90,-1,NaN,NaN,NaN,NaN
405210044,68,61,NaN,-1,-1,-1,-1,NaN
405210045,60,37,90,-1,-1,-1,NaN,NaN
405210046,88,68,NaN,-1,-1,-1,-1,NaN
405210047,67,21,87,-1,-1,-1,NaN,NaN
405210048,77,73,NaN,-1,NaN,-1,-1,NaN
405210049,33,17,87,-1,-1,-1,NaN,NaN
405210008,NaN,12,NaN,-1,-1,-1,-1,NaN
