id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2202060@近代物理@2@1,2201011@普通物理（一）@1@2,2201011@普通物理（一）@1@5,2201025@程式語言@1@1,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2204001@固態物理導論（一）@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203005@進階光學實驗學@2@1,2203022@量子物理（二）@2@1,2203071@應用電子學（一）@2@1,2203090@物理專題（一）@2@1,2204021@進階光學@2@1,2204040@原子分子物理導論@2@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2203006@近代物理實驗學@2@1,2203041@熱統計物理學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1
403220001,83,70,80,74,70,61,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,74,65,84,33,60,NaN,NaN,NaN,81,83,78,-1,-1,NaN,-1,NaN,-1,-1,80,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220002,95,70,NaN,95,75,82,70,66,NaN,NaN,NaN,NaN,NaN,89,65,64,50,62,62,NaN,NaN,84,NaN,-1,-1,-1,-1,-1,NaN,77,-1,NaN,NaN,90,85,NaN,NaN,-1,NaN,NaN
403220003,88,60,80,80,41,72,NaN,-1,NaN,NaN,NaN,NaN,89,NaN,50,33,20,NaN,54,NaN,NaN,NaN,76,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,NaN
403220004,94,85,NaN,83,70,78,70,NaN,NaN,NaN,NaN,NaN,NaN,83,75,77,66,71,83,NaN,NaN,92,NaN,79,80,75,-1,-1,NaN,80,-1,NaN,NaN,90,85,NaN,NaN,-1,NaN,-1
403220005,66,60,80,87,43,60,NaN,60,NaN,NaN,NaN,NaN,64,NaN,61,60,31,54,60,NaN,68,NaN,60,70,67,-1,-1,-1,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220006,89,80,NaN,86,65,62,70,NaN,NaN,NaN,NaN,NaN,NaN,84,76,66,73,64,71,NaN,NaN,78,NaN,72,-1,60,NaN,-1,-1,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,NaN
403220007,68,44,80,61,61,70,NaN,75,50,70,NaN,NaN,60,NaN,65,69,NaN,60,55,NaN,NaN,NaN,64,79,81,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220008,91,60,NaN,87,65,48,70,66,NaN,NaN,NaN,75,NaN,66,87,66,8,68,74,NaN,NaN,78,NaN,75,70,-1,NaN,-1,-1,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,-1,NaN,NaN
403220009,71,65,80,73,60,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403220010,87,75,NaN,77,70,85,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
