id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201025@程式語言@1@1,2201888@學系服務學習@1@1,2202060@近代物理@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2202004@基礎物理實驗學（二）@2@1,2203022@量子物理（二）@2@1,2201011@普通物理（一）@1@5,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2203050@光學@1@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@1,2203006@近代物理實驗學@2@1,2203041@熱統計物理學@2@1,2203090@物理專題（一）@2@1
404220001,89,75,68,80,72,75,75,71,NaN,-1,NaN,NaN,NaN,86,NaN,61,60,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404220002,79,70,96,75,73,84,70,60,NaN,NaN,NaN,NaN,NaN,NaN,84,72,62,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1
404220003,67,60,68,85,28,83,70,60,NaN,-1,NaN,NaN,NaN,88,NaN,50,27,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404220004,71,43,50,80,NaN,71,70,24,NaN,NaN,NaN,NaN,NaN,NaN,52,42,60,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404220005,67,70,78,85,69,73,75,60,NaN,-1,NaN,NaN,NaN,69,NaN,68,73,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404220006,81,75,65,NaN,78,90,70,46,85,NaN,NaN,NaN,NaN,NaN,86,71,63,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN
404220007,79,60,50,75,29,62,65,61,NaN,-1,NaN,NaN,NaN,89,NaN,50,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404220008,70,60,60,NaN,NaN,72,43,60,70,NaN,NaN,NaN,NaN,NaN,76,37,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
404220009,84,75,88,75,40,83,70,61,NaN,-1,NaN,NaN,NaN,91,NaN,40,46,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404220010,85,65,62,NaN,69,62,75,65,65,NaN,NaN,NaN,NaN,NaN,72,67,72,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404220011,87,70,62,70,NaN,80,75,63,NaN,-1,NaN,NaN,NaN,88,NaN,45,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404220012,73,80,60,NaN,NaN,76,75,60,85,NaN,NaN,NaN,NaN,NaN,60,76,60,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404220013,88,70,72,70,53,67,75,72,NaN,-1,NaN,NaN,NaN,68,NaN,55,24,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404220014,81,70,92,NaN,53,76,75,81,85,NaN,NaN,NaN,NaN,NaN,91,66,60,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404220015,79,75,92,70,62,87,80,68,NaN,-1,NaN,NaN,NaN,84,NaN,71,60,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404220016,86,80,68,NaN,NaN,72,75,60,70,NaN,NaN,NaN,NaN,NaN,74,60,60,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404220017,83,85,60,75,65,83,75,72,NaN,-1,NaN,NaN,NaN,88,NaN,64,60,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
