id,2201011@普通物理（一）@1@3,2201031@基礎物理數學@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2203005@進階光學實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203071@應用電子學（一）@1@1,2203090@物理專題（一）@1@1,2204040@原子分子物理導論@1@1,2204091@物理專題（二）@1@1,2204092@物理專題（三）@1@1,2201002@普通物理實驗（二）@2@10,2201012@普通物理（二）@2@2,2201012@普通物理（二）@2@7,2201031@基礎物理數學@2@1,2202011@應用數學（一）@2@1,2202012@應用數學（二）@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@1,2202060@近代物理@2@2,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203090@物理專題（一）@2@1,2204001@固態物理導論（一）@2@1,2204021@進階光學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1,2204093@物理專題（四）@2@1,2201011@普通物理（一）@1@2,2202060@近代物理@1@1,2204010@基本粒子物理導論@1@1,2204093@物理專題（四）@1@1,2201011@普通物理（一）@1@4,2201001@普通物理實驗（一）@1@1,2201001@普通物理實驗（一）@1@3,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@1,2201002@普通物理實驗（二）@2@3,2201012@普通物理（二）@2@1,2202003@基礎物理實驗學（一）@1@1,2202020@理論力學@1@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2203072@應用電子學（二）@2@1
498220038,69,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,11,NaN,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN
498220008,76,52,69,60,60,NaN,60,64,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,38,NaN,46,44,NaN,50,70,90,64,70,NaN,NaN,0,NaN,NaN,NaN,NaN,66,75,NaN,NaN,90,NaN,51,80,NaN,62,NaN,60,82,NaN,NaN
498220028,NaN,74,73,NaN,61,75,60,68,60,90,70,NaN,NaN,NaN,60,NaN,NaN,80,73,67,NaN,60,69,75,72,83,NaN,NaN,61,90,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,76,NaN,NaN,70,84,NaN,NaN
498220033,NaN,69,NaN,21,50,NaN,60,60,81,85,NaN,NaN,NaN,NaN,63,NaN,NaN,69,90,69,NaN,60,83,NaN,65,78,NaN,NaN,66,NaN,NaN,NaN,66,NaN,86,NaN,NaN,NaN,67,NaN,NaN,89,NaN,74,60,NaN,72,80
498220034,NaN,65,82,NaN,61,77,71,74,NaN,90,NaN,NaN,NaN,91,60,NaN,50,75,76,66,NaN,60,61,70,60,80,NaN,NaN,62,90,NaN,NaN,46,NaN,74,NaN,NaN,NaN,62,NaN,NaN,58,NaN,NaN,63,86,NaN,NaN
498220036,NaN,63,74,47,54,73,69,65,NaN,NaN,68,NaN,NaN,NaN,60,NaN,49,74,73,39,NaN,70,NaN,85,60,80,NaN,NaN,68,NaN,NaN,NaN,65,NaN,78,NaN,NaN,NaN,90,NaN,NaN,82,NaN,NaN,80,85,NaN,NaN
498220050,NaN,68,74,23,67,66,60,45,60,80,55,NaN,NaN,NaN,60,NaN,42,47,65,54,NaN,50,NaN,NaN,60,73,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,62,NaN,NaN,NaN,79,NaN,NaN,68,NaN,NaN,60,78,NaN,NaN
498220021,NaN,NaN,NaN,65,17,NaN,70,63,66,NaN,NaN,NaN,NaN,NaN,60,NaN,60,NaN,60,60,NaN,40,69,80,60,76,NaN,NaN,60,NaN,NaN,NaN,65,NaN,78,NaN,NaN,NaN,84,NaN,NaN,63,NaN,71,65,NaN,60,NaN
498220020,NaN,NaN,76,35,24,70,18,39,NaN,80,NaN,92,NaN,NaN,47,NaN,62,49,40,47,NaN,40,76,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,72,NaN,70,NaN,93,NaN,NaN,79,NaN,NaN,60,90,NaN,60
498220026,NaN,66,73,0,14,74,60,69,79,NaN,66,NaN,NaN,NaN,60,NaN,26,74,65,62,NaN,50,NaN,NaN,61,70,85,60,NaN,NaN,NaN,NaN,65,NaN,63,NaN,NaN,NaN,68,NaN,NaN,79,NaN,NaN,60,82,NaN,NaN
498220029,NaN,61,NaN,0,19,81,60,66,NaN,88,35,NaN,NaN,NaN,60,NaN,42,50,66,65,NaN,40,75,NaN,66,90,NaN,64,65,NaN,NaN,NaN,60,NaN,82,NaN,NaN,NaN,79,NaN,NaN,74,NaN,81,60,NaN,90,NaN
