id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205182@固態物理（二）@2@1,2205274@書報討論（二）@2@1,2205300@表面物理@2@1,2205010@古典力學@1@1,2205020@統計力學@1@1,2205051@量子力學（一）@1@1,2205101@非線性光學@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205301@表面磁學@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205919@專題：磁性物理@1@1,2205921@專題：晶體物理@1@1,2205943@專題：超導體物理@1@1,2205945@高等物理數學@1@1,2205120@雷射物理@2@1,2205380@電漿物理導論@2@1,2205958@專題：奈米光電@2@1,2205961@專題:磁性材料@2@1,2206902@專題：合金物理@2@1,2205042@電動力學（二）@1@1,2205080@相對論@1@1,2205950@專題：X-光繞射與應用@1@1,2205061@計算物理@2@1,2205070@理論物理@2@1,2205931@專題：凝聚態物理@2@1
603220016,90,98,83,86,80,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220044,61,16,NaN,80,NaN,0,81,53,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220051,92,57,NaN,95,NaN,85,95,42,NaN,78,NaN,87,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,84,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
603220062,71,23,70,80,NaN,77,80,40,NaN,50,NaN,77,NaN,NaN,NaN,NaN,NaN,82,NaN,70,NaN,NaN,NaN,72,NaN,NaN,NaN,65,NaN
603220066,NaN,87,78,NaN,NaN,96,94,80,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220067,NaN,NaN,NaN,NaN,NaN,23,81,56,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220071,-1,0,NaN,70,NaN,77,86,0,NaN,1,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
603220003,80,70,NaN,80,NaN,NaN,91,80,NaN,NaN,75,79,84,NaN,NaN,NaN,NaN,NaN,77,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220005,99,83,NaN,95,NaN,NaN,92,92,NaN,80,93,85,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220006,93,70,NaN,80,92,NaN,92,75,NaN,70,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220008,81,73,NaN,85,NaN,74,86,91,NaN,87,NaN,79,NaN,NaN,NaN,NaN,NaN,86,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220011,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220013,85,76,NaN,85,NaN,NaN,82,83,NaN,78,NaN,79,NaN,80,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
603220015,84,81,NaN,90,89,NaN,88,92,NaN,87,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220018,89,71,NaN,85,NaN,NaN,86,82,NaN,78,NaN,76,NaN,NaN,NaN,NaN,NaN,84,NaN,75,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
603220019,86,NaN,80,95,NaN,NaN,81,77,NaN,73,NaN,76,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220024,86,NaN,70,80,NaN,NaN,87,85,NaN,74,NaN,84,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220027,81,NaN,72,90,NaN,NaN,87,73,NaN,70,NaN,84,80,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220028,71,NaN,70,85,NaN,NaN,82,58,NaN,73,NaN,76,77,71,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220030,70,NaN,70,85,NaN,NaN,78,52,NaN,71,NaN,76,74,70,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220032,92,NaN,90,90,NaN,NaN,86,77,NaN,92,NaN,75,NaN,NaN,NaN,NaN,92,NaN,70,NaN,NaN,NaN,92,NaN,NaN,94,NaN,NaN,94
603220033,71,56,70,70,NaN,80,85,63,NaN,70,NaN,80,NaN,83,NaN,NaN,NaN,NaN,60,75,NaN,NaN,NaN,78,NaN,NaN,0,NaN,NaN
603220034,70,NaN,82,80,NaN,71,81,38,NaN,80,NaN,75,NaN,NaN,NaN,NaN,89,NaN,61,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,NaN
603220035,71,NaN,76,80,NaN,70,79,12,NaN,70,NaN,89,76,NaN,NaN,85,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220036,74,NaN,70,85,NaN,NaN,83,57,NaN,72,NaN,84,80,NaN,NaN,82,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603220037,70,NaN,78,80,NaN,70,73,42,NaN,80,NaN,75,NaN,NaN,NaN,NaN,89,NaN,56,NaN,NaN,NaN,90,NaN,NaN,92,NaN,NaN,93
603220038,98,87,NaN,85,91,NaN,90,96,NaN,76,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
