id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205182@固態物理（二）@2@1,2205274@書報討論（二）@2@1,2205300@表面物理@2@1,2205380@電漿物理導論@2@1,2205958@專題：奈米光電@2@1,2205020@統計力學@1@1,2205042@電動力學（二）@1@1,2205051@量子力學（一）@1@1,2205101@非線性光學@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205381@流體力學@1@1,2205921@專題：晶體物理@1@1,2205945@高等物理數學@1@1,2205061@計算物理@2@1,2205070@理論物理@2@1,2205940@專題：介電物質的特性@2@1,2205960@專題：雷射冷卻與捕獲@2@1
605220013,96,-1,70,88,NaN,NaN,86,NaN,90,44,87,NaN,82,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605220014,86,NaN,71,80,NaN,75,NaN,72,80,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
605220008,-1,NaN,70,-1,70,NaN,NaN,NaN,84,87,NaN,95,78,91,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
605220015,NaN,NaN,78,79,NaN,NaN,NaN,81,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,89,-1,NaN,NaN,NaN
605220003,-1,NaN,NaN,-1,NaN,NaN,NaN,70,NaN,16,NaN,NaN,NaN,89,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605220004,NaN,NaN,-1,-1,-1,NaN,NaN,83,NaN,59,NaN,90,80,90,NaN,NaN,90,NaN,-1,NaN,-1,NaN
605220016,-1,-1,NaN,-1,NaN,NaN,NaN,92,81,NaN,91,NaN,80,90,88,NaN,NaN,NaN,-1,NaN,NaN,NaN
605220017,-1,NaN,NaN,-1,-1,NaN,NaN,80,NaN,29,79,NaN,NaN,93,NaN,85,NaN,NaN,NaN,-1,NaN,NaN
605220018,-1,-1,NaN,-1,NaN,NaN,NaN,75,NaN,1,NaN,40,NaN,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
605220019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,20,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605220021,-1,NaN,NaN,-1,NaN,NaN,NaN,70,NaN,56,92,NaN,NaN,89,72,NaN,NaN,NaN,-1,-1,NaN,NaN
605220022,NaN,-1,NaN,-1,NaN,NaN,NaN,88,93,75,94,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605220024,NaN,NaN,-1,-1,-1,NaN,NaN,72,NaN,70,NaN,90,81,88,NaN,NaN,92,NaN,NaN,NaN,-1,NaN
605220028,-1,NaN,NaN,-1,-1,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,93,NaN,95,NaN,89,-1,NaN,NaN,NaN
605220030,-1,-1,NaN,-1,NaN,NaN,-1,86,86,62,95,NaN,NaN,93,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605220031,NaN,NaN,-1,-1,-1,NaN,NaN,80,NaN,74,NaN,80,83,88,NaN,NaN,90,NaN,NaN,NaN,-1,NaN
605220033,-1,NaN,NaN,-1,-1,NaN,NaN,74,NaN,78,NaN,70,79,90,NaN,70,NaN,NaN,NaN,-1,NaN,NaN
605220034,-1,-1,NaN,-1,NaN,NaN,NaN,79,NaN,42,NaN,70,NaN,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
605220037,-1,NaN,NaN,-1,NaN,NaN,NaN,81,82,NaN,77,NaN,78,93,70,NaN,NaN,NaN,-1,NaN,NaN,NaN
605220038,-1,-1,NaN,-1,NaN,NaN,-1,91,85,94,92,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605220006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,-1
605220020,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,74,NaN,NaN,80,79,90,NaN,75,NaN,NaN,NaN,-1,NaN,NaN
