id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205101@非線性光學@2@1,2205182@固態物理（二）@2@1,2205274@書報討論（二）@2@1,2205956@專題： X光科技@2@1,2205020@統計力學@1@1,2205042@電動力學（二）@1@1,2205051@量子力學（一）@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205300@表面物理@1@1,2205301@表面磁學@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205919@專題：磁性物理@1@1,2205940@專題：介電物質的特性@1@1,2205943@專題：超導體物理@1@1,2205945@高等物理數學@1@1,2205010@古典力學@2@1,2205120@雷射物理@2@1,2205400@原子物理與雷射光譜學@2@1,2205921@專題：晶體物理@2@1,2205958@專題：奈米光電@2@1,2205960@專題：雷射冷卻與捕獲@2@1,2205070@理論物理@1@1,2205081@相變與臨界現象導論@1@1,2205950@專題：X-光繞射與應用@1@1,2205956@專題： X光科技@1@1,2205957@專題：自旋電子學@1@1,2205080@相對論@2@1,2205240@X－光繞射與應用@2@1,2205931@專題：凝聚態物理@2@1,2205940@專題：介電物質的特性@2@1,2205961@專題:磁性材料@2@1,2205010@古典力學@1@1,2205960@專題：雷射冷卻與捕獲@1@1,2205143@量子光學導論@2@1,2206902@專題：合金物理@2@1,2205301@表面磁學@2@1
601220001,90,85,NaN,NaN,80,88,94,NaN,94,83,NaN,84,NaN,NaN,85,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220007,90,81,78,NaN,80,85,78,NaN,86,61,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220017,78,85,NaN,83,85,NaN,NaN,NaN,NaN,86,80,75,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220015,NaN,83,NaN,73,80,NaN,NaN,NaN,NaN,NaN,NaN,77,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220004,50,80,NaN,85,95,NaN,40,NaN,75,76,76,82,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220005,NaN,95,NaN,NaN,98,NaN,89,NaN,97,79,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220008,50,NaN,NaN,NaN,86,NaN,87,83,78,70,76,82,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220009,50,72,NaN,NaN,90,NaN,83,NaN,75,75,89,83,NaN,80,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN
601220010,50,87,NaN,NaN,88,NaN,88,NaN,90,79,95,78,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220011,50,85,NaN,NaN,95,NaN,75,NaN,73,74,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220012,50,NaN,NaN,NaN,78,NaN,84,80,77,77,75,75,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220013,22,87,NaN,83,70,NaN,70,0,75,73,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,93,87,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
