id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501101@基礎醫學導論@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502116@組織學@1@1,2503001@普通病毒學@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2502007@分子生物學@2@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502102@人體生理學@2@1,2502114@生物資訊概論@2@1,2503110@結構生物學@2@1
404250001,67,72,74,NaN,63,90,65,71,60,72,NaN,NaN,60,63,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1
404250002,78,81,89,84,89,NaN,86,86,84,93,91,84,74,80,71,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250003,75,85,92,NaN,79,91,83,95,84,89,NaN,NaN,60,87,77,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250004,69,76,73,NaN,74,NaN,82,89,73,84,NaN,83,49,75,77,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250005,94,87,99,74,NaN,89,90,83,99,85,NaN,NaN,99,87,79,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250006,85,88,80,NaN,78,NaN,94,87,68,77,81,84,61,79,81,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250007,60,69,51,NaN,60,90,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404250008,95,86,89,NaN,82,NaN,97,91,82,88,92,84,87,86,93,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250009,33,67,51,NaN,62,81,34,78,47,60,67,NaN,14,63,37,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250010,72,76,76,79,NaN,NaN,83,81,84,85,72,84,66,75,65,62,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250011,57,81,61,84,75,89,54,81,44,48,NaN,NaN,11,60,40,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250012,63,90,65,NaN,79,NaN,60,85,-1,52,67,84,48,80,60,68,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
404250013,81,76,90,NaN,64,81,66,87,85,71,NaN,NaN,60,75,61,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250014,63,73,71,76,NaN,NaN,52,84,60,70,77,84,45,68,60,45,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250015,66,78,86,76,NaN,90,60,83,60,68,65,NaN,37,73,60,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1
404250016,71,80,91,90,NaN,NaN,79,89,78,91,NaN,84,62,83,73,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250017,73,77,82,NaN,62,89,85,84,81,90,NaN,NaN,48,77,76,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250018,84,81,94,90,NaN,NaN,87,90,92,80,86,83,65,88,72,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250019,54,81,49,NaN,60,89,60,89,-1,55,60,NaN,24,78,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
404250020,81,83,78,NaN,NaN,NaN,94,92,85,93,NaN,84,35,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404250021,73,88,82,90,NaN,89,64,87,60,72,NaN,NaN,9,35,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404250022,60,71,69,NaN,67,NaN,69,85,71,79,NaN,84,44,67,41,61,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250023,74,78,70,NaN,NaN,89,68,84,65,69,NaN,NaN,60,66,60,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250024,98,85,94,NaN,NaN,NaN,99,96,97,92,NaN,84,95,82,85,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250025,82,87,69,92,NaN,89,81,88,60,84,NaN,NaN,60,82,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404250026,45,74,57,NaN,60,NaN,19,72,20,38,NaN,75,NaN,62,60,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404250028,72,83,92,NaN,71,NaN,84,89,81,NaN,NaN,84,67,79,NaN,NaN,66,NaN,-1,-1,-1,-1,-1,-1,NaN
404250029,78,81,76,64,NaN,89,82,93,96,77,NaN,NaN,60,84,83,69,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250030,52,81,68,NaN,81,NaN,60,73,69,66,76,83,23,60,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250031,61,81,71,NaN,74,89,56,78,84,NaN,NaN,NaN,60,77,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250032,88,86,97,84,NaN,NaN,94,91,81,94,89,84,60,84,71,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250033,72,70,76,64,67,89,62,70,65,65,NaN,NaN,NaN,72,60,43,NaN,76,-1,-1,-1,-1,-1,NaN,NaN
404250035,71,86,83,87,NaN,89,68,92,NaN,70,NaN,NaN,60,83,NaN,75,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250036,60,77,60,NaN,NaN,NaN,69,81,60,NaN,NaN,84,46,70,NaN,43,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
404250037,74,83,88,90,76,89,78,95,88,85,NaN,NaN,60,83,70,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250038,75,86,88,NaN,74,NaN,83,91,78,88,NaN,84,45,81,67,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250039,87,81,90,NaN,80,89,79,91,87,85,80,NaN,69,84,70,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250041,83,87,94,NaN,89,89,87,92,99,NaN,NaN,NaN,74,75,60,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
404250042,47,81,85,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404250043,71,79,95,NaN,76,89,85,85,71,89,NaN,NaN,63,85,79,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250044,64,NaN,NaN,NaN,NaN,NaN,34,NaN,40,NaN,NaN,20,60,83,60,68,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1
404250046,60,71,60,NaN,NaN,NaN,NaN,75,-1,68,NaN,84,5,58,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404250047,64,70,76,78,NaN,90,71,80,62,65,67,NaN,40,74,64,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250048,85,86,85,NaN,86,NaN,88,88,84,74,92,83,62,87,60,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN
404250049,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,74,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404250051,88,89,NaN,NaN,NaN,82,NaN,-1,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN
