id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1
405250001,60,85,54,NaN,65,-1,-1,-1,-1,NaN,NaN
405250002,80,85,99,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250003,81,93,99,NaN,88,-1,-1,-1,-1,NaN,NaN
405250004,91,90,96,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250005,60,80,70,NaN,80,-1,-1,-1,-1,NaN,NaN
405250006,70,80,77,NaN,NaN,-1,-1,-1,NaN,NaN,-1
405250007,63,86,83,88,85,-1,-1,-1,-1,NaN,NaN
405250008,89,88,94,92,NaN,-1,-1,-1,-1,NaN,-1
405250009,93,90,99,82,85,-1,-1,-1,-1,NaN,NaN
405250010,97,92,99,74,NaN,-1,-1,-1,-1,-1,-1
405250011,79,94,84,NaN,95,-1,-1,-1,-1,NaN,NaN
405250012,62,83,72,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250013,76,87,94,73,85,-1,-1,-1,-1,NaN,NaN
405250014,79,90,84,85,NaN,-1,-1,-1,-1,NaN,-1
405250015,96,93,99,67,88,-1,-1,-1,-1,NaN,NaN
405250016,79,93,93,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250017,72,79,86,72,75,-1,-1,-1,-1,-1,NaN
405250018,77,88,95,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250019,79,89,96,NaN,88,-1,-1,-1,-1,NaN,NaN
405250020,76,94,98,84,NaN,-1,-1,-1,-1,NaN,-1
405250021,86,87,99,NaN,70,-1,-1,-1,-1,NaN,NaN
405250022,91,86,88,79,NaN,-1,-1,-1,-1,NaN,-1
405250023,69,87,93,NaN,75,-1,-1,-1,-1,NaN,NaN
405250024,90,88,78,NaN,NaN,-1,-1,-1,-1,NaN,-1
405250026,53,86,71,74,NaN,NaN,NaN,NaN,NaN,NaN,-1
405250031,77,86,99,NaN,85,-1,-1,-1,-1,NaN,NaN
405250032,66,89,86,NaN,NaN,-1,-1,-1,-1,-1,-1
405250034,70,84,83,NaN,NaN,-1,-1,-1,-1,-1,-1
405250038,52,79,90,64,NaN,-1,-1,NaN,-1,NaN,-1
405250039,60,90,83,NaN,88,-1,-1,-1,-1,NaN,NaN
405250041,93,86,99,90,85,-1,-1,-1,-1,NaN,NaN
405250042,65,89,85,83,NaN,-1,-1,-1,-1,NaN,-1
405250043,96,90,99,NaN,95,-1,-1,-1,-1,-1,NaN
405250044,70,86,82,87,NaN,-1,-1,-1,-1,NaN,-1
405250045,60,79,78,NaN,77,-1,-1,-1,-1,NaN,NaN
405250047,62,81,89,NaN,75,-1,-1,-1,-1,NaN,NaN
405250048,82,90,97,NaN,NaN,-1,-1,-1,-1,NaN,-1
