id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501101@基礎醫學導論@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501888@學系服務學習@2@1,2501102@生物醫學導讀（一）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502015@生物統計導論@1@1,2502105@生物醫學應用@1@1,2502112@有機化學（二）@1@1,2503001@普通病毒學@1@1,2503113@基礎藥理學@1@1,2501008@生物統計導論@2@1,2502007@分子生物學@2@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502111@動植物形態發生學@2@1,2502114@生物資訊概論@2@1,2503101@幹細胞學@2@1,2502111@動植物形態發生學@1@1,2502115@生態學概論@1@1,2503002@遺傳學@1@1,2503007@微生物學@1@1,2503008@生命科學實驗（三）@1@1,2503106@專題研究實驗（一）@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2501103@生物醫學導讀(二)@2@1,2502102@人體生理學@2@1,2502107@生活科技概論@2@1,2502113@生物物理化學@2@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503107@專題研究實驗（二）@2@1,2503113@基礎藥理學@2@1,2503112@系統生物學概論@1@1,2504002@專題討論（一）@1@1,2504002@專題討論（一）@1@2,2504107@訊息傳遞@1@1,2504108@專題研究實驗（三）@1@1,2504115@基因技術產業實習@1@1,2503102@分子癌症學@2@1,2504003@專題討論（二）@2@1,2504003@專題討論（二）@2@2,2504109@專題研究實驗（四）@2@1,2504116@神經科學探索@2@1,2502116@組織學@1@1,2503110@結構生物學@2@1,2503123@模式生物之生物醫學研究@2@1
401250001,82,79,77,NaN,85,84,88,72,NaN,NaN,78,75,70,74,76,77,NaN,NaN,65,67,80,80,75,NaN,NaN,NaN,NaN,78,75,83,85,NaN,85,NaN,73,64,NaN,71,60,NaN,62,NaN,85,NaN,85,NaN,NaN,74,NaN,86,NaN,80,NaN,NaN,NaN
401250002,87,87,89,86,NaN,90,85,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250003,63,78,70,66,82,71,86,60,NaN,NaN,60,79,64,75,81,74,NaN,NaN,72,84,83,60,NaN,NaN,NaN,NaN,76,69,83,83,NaN,NaN,NaN,NaN,60,NaN,NaN,81,65,NaN,60,NaN,85,NaN,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401250004,78,84,67,80,NaN,87,85,86,85,NaN,73,84,79,75,73,82,NaN,NaN,84,74,85,76,NaN,NaN,NaN,NaN,93,81,92,82,NaN,NaN,NaN,NaN,77,NaN,NaN,90,88,NaN,79,91,NaN,95,NaN,NaN,89,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401250005,61,80,71,82,85,79,87,79,NaN,NaN,69,69,66,75,NaN,60,NaN,NaN,64,60,87,77,62,NaN,NaN,NaN,89,60,71,83,80,74,NaN,NaN,66,84,NaN,66,77,86,69,NaN,82,NaN,NaN,86,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,-1
401250006,87,85,83,NaN,NaN,89,91,86,85,NaN,64,75,79,NaN,93,90,NaN,NaN,83,67,80,60,NaN,94,NaN,NaN,96,81,95,85,90,NaN,89,NaN,NaN,93,NaN,93,85,90,89,NaN,NaN,90,NaN,90,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
401250007,69,79,72,74,88,75,90,67,NaN,NaN,90,77,69,NaN,63,70,NaN,NaN,73,81,89,75,NaN,NaN,NaN,93,99,72,81,90,90,NaN,NaN,NaN,78,NaN,NaN,83,83,90,79,NaN,84,NaN,NaN,90,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
401250008,76,77,67,NaN,NaN,71,87,49,90,65,35,76,61,92,NaN,60,NaN,NaN,60,60,80,66,NaN,NaN,NaN,NaN,82,62,60,82,NaN,75,86,NaN,NaN,NaN,NaN,60,60,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,76,NaN,NaN,NaN
401250009,78,84,82,NaN,88,89,91,79,NaN,NaN,75,75,88,78,87,91,NaN,NaN,90,69,86,95,NaN,80,NaN,NaN,92,81,91,89,87,NaN,NaN,NaN,83,NaN,NaN,86,95,NaN,91,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
401250010,68,84,75,78,NaN,82,91,84,90,88,78,82,73,NaN,85,93,NaN,NaN,87,72,91,96,NaN,NaN,NaN,NaN,89,74,94,82,88,NaN,85,NaN,74,NaN,NaN,76,80,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401250011,82,76,73,NaN,80,79,91,88,NaN,NaN,73,76,83,NaN,84,77,NaN,NaN,77,75,89,68,NaN,NaN,NaN,NaN,84,75,86,85,NaN,87,NaN,NaN,70,88,NaN,73,63,NaN,78,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
401250012,86,77,87,NaN,NaN,89,86,88,90,NaN,90,83,90,NaN,96,96,NaN,NaN,92,87,88,96,NaN,NaN,NaN,NaN,83,76,85,82,NaN,78,NaN,NaN,NaN,89,NaN,80,80,NaN,75,NaN,83,NaN,NaN,95,NaN,NaN,85,NaN,95,NaN,NaN,NaN,NaN
401250013,68,85,66,74,88,74,91,79,NaN,NaN,65,91,76,NaN,89,65,NaN,NaN,75,82,90,70,NaN,NaN,NaN,93,95,69,92,91,90,NaN,NaN,NaN,80,89,NaN,77,70,90,85,NaN,85,NaN,NaN,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401250014,62,77,61,64,NaN,83,89,70,85,NaN,66,78,72,NaN,76,97,NaN,NaN,91,97,81,90,NaN,85,NaN,NaN,96,82,97,85,90,NaN,85,NaN,80,NaN,NaN,87,90,90,NaN,NaN,NaN,90,NaN,NaN,NaN,94,83,NaN,NaN,NaN,NaN,NaN,NaN
401250015,70,68,79,68,90,79,86,80,NaN,NaN,72,82,72,84,79,71,80,NaN,78,61,85,68,NaN,NaN,NaN,NaN,NaN,62,73,85,NaN,NaN,NaN,NaN,77,NaN,NaN,63,65,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
401250016,79,70,68,58,NaN,74,87,81,85,NaN,67,75,75,NaN,NaN,60,NaN,NaN,73,70,78,67,67,NaN,NaN,NaN,NaN,68,74,88,NaN,80,NaN,67,NaN,NaN,NaN,72,75,NaN,72,NaN,NaN,80,71,NaN,NaN,NaN,83,NaN,NaN,70,NaN,NaN,NaN
401250018,63,76,70,NaN,NaN,94,87,71,95,88,86,83,71,82,99,94,NaN,NaN,92,91,87,98,NaN,NaN,NaN,99,NaN,94,95,88,NaN,96,89,NaN,88,NaN,NaN,93,85,NaN,93,92,NaN,85,91,NaN,NaN,NaN,86,NaN,NaN,82,NaN,NaN,NaN
401250019,68,75,66,68,90,71,91,71,NaN,NaN,79,74,82,NaN,73,93,NaN,NaN,89,66,87,92,NaN,NaN,NaN,NaN,74,74,87,83,NaN,NaN,NaN,NaN,71,89,NaN,77,65,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401250025,68,81,75,NaN,85,73,90,65,NaN,NaN,64,84,61,NaN,79,80,NaN,NaN,65,98,89,60,NaN,81,NaN,87,NaN,81,94,87,85,NaN,90,NaN,76,87,NaN,81,80,NaN,69,NaN,83,NaN,NaN,NaN,85,NaN,NaN,80,NaN,91,NaN,NaN,NaN
401250027,91,91,89,80,89,95,90,92,NaN,NaN,88,78,88,83,86,94,NaN,NaN,99,80,84,96,NaN,NaN,NaN,NaN,NaN,85,90,87,90,NaN,NaN,NaN,84,NaN,NaN,84,85,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
401250028,72,90,78,86,NaN,83,87,79,95,NaN,62,86,80,78,89,87,NaN,NaN,71,60,84,90,79,87,NaN,NaN,89,67,92,84,NaN,88,90,NaN,81,85,NaN,76,70,NaN,74,77,NaN,88,77,NaN,NaN,NaN,84,NaN,NaN,78,NaN,NaN,NaN
