id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602401@物理化學（一）@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2603402@物理化學（二）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603301@無機化學（一）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603902@專題研究(二)@2@1,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2601601@生物學@2@1,2603711@材料化學導論@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
402260002,62,79,68,NaN,61,85,85,94,68,86,NaN,NaN,93,61,71,60,60,73,NaN,NaN,NaN,NaN,80,NaN,81,64,77,NaN,NaN,61,60,60,NaN,-1,61,75,71,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,-1
402260003,71,74,71,80,76,80,NaN,77,60,86,NaN,NaN,93,65,78,60,71,76,NaN,NaN,NaN,NaN,76,NaN,84,67,78,NaN,NaN,61,60,72,NaN,60,67,78,74,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260005,84,75,69,80,68,74,NaN,60,63,86,NaN,NaN,95,63,68,36,71,66,NaN,NaN,NaN,NaN,82,71,NaN,73,75,NaN,NaN,48,61,60,NaN,63,86,74,67,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,-1
402260006,93,89,87,NaN,93,93,85,99,82,88,NaN,NaN,97,87,83,84,93,84,NaN,NaN,NaN,NaN,98,88,NaN,88,80,NaN,NaN,86,90,90,NaN,90,95,86,87,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402260007,74,74,71,80,66,81,NaN,89,67,86,NaN,NaN,92,75,75,60,66,82,NaN,NaN,NaN,NaN,90,NaN,87,82,81,NaN,NaN,61,60,74,NaN,66,69,86,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260008,65,74,78,NaN,64,76,75,64,64,82,NaN,NaN,80,65,81,81,72,74,NaN,NaN,NaN,NaN,90,82,NaN,66,76,NaN,NaN,60,68,69,NaN,70,71,77,72,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260009,72,81,85,80,68,84,NaN,76,69,81,NaN,NaN,94,78,80,68,75,66,NaN,NaN,NaN,NaN,99,85,NaN,71,81,NaN,NaN,83,84,84,85,72,75,85,72,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1
402260010,85,84,83,NaN,88,94,85,85,70,87,NaN,NaN,98,94,89,95,77,87,NaN,NaN,NaN,NaN,97,89,NaN,85,84,NaN,NaN,99,87,93,NaN,96,78,87,85,80,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN
402260011,77,87,86,80,84,91,NaN,86,73,89,NaN,NaN,99,96,87,80,90,90,NaN,NaN,NaN,NaN,97,91,NaN,82,81,NaN,NaN,67,85,97,NaN,88,82,84,87,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402260012,87,82,79,NaN,99,90,85,NaN,NaN,NaN,75,89,NaN,NaN,NaN,NaN,NaN,NaN,65,90,90,85,NaN,NaN,NaN,NaN,NaN,96,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260014,63,76,80,NaN,61,79,85,65,79,79,NaN,NaN,67,65,72,72,-1,75,NaN,NaN,NaN,NaN,64,74,NaN,72,77,NaN,NaN,60,74,76,NaN,68,-1,80,80,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260015,61,61,60,80,66,65,NaN,75,75,70,NaN,NaN,72,54,70,25,67,65,NaN,NaN,NaN,NaN,-1,68,NaN,56,75,60,NaN,56,69,68,NaN,-1,-1,74,61,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402260016,80,86,77,NaN,77,87,85,93,69,68,NaN,NaN,90,67,83,60,67,73,NaN,NaN,NaN,NaN,79,81,NaN,77,74,NaN,NaN,47,60,69,NaN,79,77,73,70,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402260017,73,75,NaN,80,81,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260018,82,84,77,NaN,69,84,85,74,68,75,NaN,NaN,64,76,70,62,-1,62,NaN,NaN,NaN,NaN,63,75,NaN,70,74,NaN,NaN,NaN,79,78,NaN,-1,-1,-1,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260019,62,79,68,80,72,79,NaN,81,64,76,NaN,NaN,88,75,78,60,71,78,NaN,NaN,NaN,NaN,95,NaN,83,68,75,NaN,NaN,60,62,66,NaN,73,61,78,77,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,-1
402260020,77,84,82,NaN,96,89,85,78,90,88,NaN,NaN,100,98,88,88,93,89,NaN,NaN,NaN,NaN,99,93,NaN,99,83,NaN,NaN,98,98,93,87,92,81,88,90,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402260021,94,86,76,80,81,91,NaN,71,65,82,NaN,NaN,92,87,86,69,72,82,NaN,NaN,NaN,NaN,88,NaN,87,78,80,NaN,NaN,80,65,90,86,76,84,84,NaN,85,80,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN
402260022,85,82,81,NaN,90,87,85,93,89,79,NaN,NaN,98,88,80,73,98,85,NaN,NaN,NaN,NaN,94,88,NaN,89,78,NaN,NaN,83,100,78,NaN,88,82,82,83,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260023,64,64,NaN,80,57,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260024,9,48,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260025,75,75,NaN,80,69,65,NaN,90,64,68,NaN,NaN,76,60,74,73,62,66,NaN,NaN,NaN,NaN,63,72,NaN,60,75,NaN,NaN,60,82,61,NaN,61,67,80,70,NaN,NaN,NaN,NaN,NaN,92,-1,NaN,NaN,NaN,NaN,-1
402260026,78,78,75,NaN,84,80,85,-1,60,79,NaN,NaN,60,60,76,62,60,76,NaN,NaN,NaN,NaN,-1,78,NaN,54,75,NaN,NaN,60,62,60,NaN,-1,-1,79,68,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260027,92,74,NaN,80,99,69,NaN,67,65,62,NaN,NaN,72,52,64,33,74,63,NaN,NaN,NaN,NaN,60,60,NaN,57,71,NaN,NaN,60,36,NaN,NaN,41,20,73,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260028,77,75,62,NaN,44,76,85,NaN,41,70,NaN,NaN,88,10,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260029,71,78,75,80,78,78,NaN,85,68,64,NaN,NaN,87,63,66,60,69,71,NaN,NaN,NaN,NaN,80,NaN,75,92,74,NaN,NaN,60,60,63,NaN,-1,67,76,65,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN
402260030,92,85,76,NaN,88,80,85,NaN,55,81,NaN,NaN,90,83,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260031,73,77,56,80,67,65,NaN,74,60,78,NaN,NaN,77,64,68,68,60,60,NaN,NaN,NaN,NaN,79,NaN,62,66,73,NaN,NaN,60,72,60,NaN,-1,-1,80,NaN,NaN,NaN,NaN,NaN,84,NaN,-1,NaN,NaN,NaN,NaN,-1
402260032,69,65,60,NaN,48,60,85,73,62,68,NaN,NaN,69,60,69,36,-1,60,NaN,NaN,NaN,NaN,79,64,NaN,44,75,38,NaN,48,73,NaN,NaN,-1,-1,62,-1,NaN,NaN,NaN,67,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
402260033,74,84,71,80,67,86,NaN,62,60,89,NaN,NaN,83,63,80,60,67,82,NaN,NaN,NaN,NaN,90,85,NaN,71,81,NaN,NaN,NaN,81,60,NaN,68,67,86,67,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN
402260034,79,82,85,NaN,88,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260035,79,83,79,80,79,83,NaN,62,70,83,NaN,NaN,89,67,76,63,76,75,NaN,NaN,NaN,NaN,90,NaN,85,83,78,NaN,NaN,68,69,89,NaN,77,79,82,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260036,79,82,67,NaN,76,85,85,87,62,86,NaN,NaN,85,61,83,43,-1,80,NaN,NaN,NaN,NaN,60,85,NaN,60,80,NaN,NaN,61,87,60,NaN,-1,60,83,60,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260037,85,77,70,80,88,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260038,79,84,66,NaN,78,82,85,96,62,78,NaN,NaN,88,70,75,69,64,79,NaN,NaN,NaN,NaN,74,NaN,85,82,78,NaN,NaN,60,80,74,NaN,66,64,82,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,NaN
402260039,73,74,71,80,57,91,NaN,21,49,79,NaN,NaN,77,12,75,NaN,31,72,NaN,NaN,NaN,NaN,63,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260040,73,80,78,NaN,91,84,85,68,73,75,NaN,NaN,97,75,79,72,75,79,NaN,NaN,NaN,NaN,93,NaN,76,66,75,NaN,NaN,71,80,63,NaN,71,-1,80,69,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,NaN,NaN
402260041,75,80,77,80,82,86,NaN,67,81,81,NaN,NaN,94,77,78,87,84,83,NaN,NaN,NaN,NaN,95,NaN,82,86,77,NaN,NaN,75,87,86,NaN,89,82,82,80,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,-1,NaN
402260042,57,75,NaN,NaN,70,74,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
