id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2601601@生物學@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2
404260001,80,66,NaN,80,67,81,66,59,NaN,-1,-1,-1,85,72,82,NaN,-1,-1,NaN
404260002,92,93,NaN,NaN,84,97,90,87,80,-1,-1,-1,97,89,95,-1,-1,-1,NaN
404260003,69,72,76,80,81,85,83,72,NaN,-1,-1,-1,60,64,77,NaN,-1,-1,NaN
404260004,68,83,84,NaN,66,92,67,79,80,-1,-1,-1,65,80,85,NaN,-1,NaN,-1
404260005,74,79,72,80,75,81,67,76,NaN,-1,-1,85,80,76,86,NaN,-1,-1,NaN
404260006,63,72,NaN,NaN,60,78,73,69,80,-1,-1,-1,66,45,72,-1,-1,NaN,-1
404260007,92,84,82,80,79,90,79,86,NaN,-1,-1,-1,94,99,86,NaN,-1,NaN,-1
404260008,71,84,72,NaN,63,82,68,74,80,-1,-1,-1,70,65,79,NaN,-1,-1,NaN
404260009,65,73,NaN,80,61,90,-1,67,NaN,-1,-1,79,65,57,69,-1,-1,-1,NaN
404260010,46,68,NaN,NaN,41,80,-1,61,80,-1,-1,-1,7,15,65,-1,-1,-1,NaN
404260011,84,75,NaN,80,95,88,71,75,NaN,-1,-1,-1,90,86,84,-1,-1,-1,NaN
404260012,67,75,NaN,NaN,64,87,64,62,80,-1,-1,90,76,69,79,-1,-1,-1,NaN
404260013,73,89,NaN,80,68,89,60,82,NaN,-1,-1,-1,70,66,84,-1,-1,-1,NaN
404260014,64,66,80,NaN,58,76,78,69,80,-1,-1,88,73,50,75,NaN,-1,NaN,-1
404260015,64,73,NaN,80,66,90,80,77,NaN,-1,-1,-1,75,76,87,-1,-1,NaN,-1
404260016,68,76,64,NaN,60,88,62,70,80,-1,-1,85,24,53,78,NaN,-1,-1,NaN
404260017,60,81,70,85,68,86,57,73,NaN,-1,-1,-1,70,74,83,NaN,-1,NaN,-1
404260018,60,73,80,NaN,52,73,65,67,80,-1,-1,-1,26,40,71,NaN,-1,-1,NaN
404260019,73,82,NaN,80,82,91,64,80,NaN,-1,-1,-1,75,67,85,-1,-1,NaN,-1
404260020,73,75,82,NaN,95,85,94,71,80,-1,-1,92,99,97,85,NaN,-1,-1,NaN
404260021,68,75,NaN,80,NaN,NaN,76,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404260024,20,60,NaN,NaN,NaN,NaN,-1,61,80,-1,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN
404260026,42,63,NaN,NaN,56,90,43,NaN,80,NaN,NaN,NaN,62,49,76,NaN,NaN,NaN,NaN
404260027,58,67,67,80,62,82,-1,68,NaN,-1,-1,74,60,39,71,NaN,-1,-1,NaN
404260028,42,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404260029,85,74,81,80,71,81,81,71,NaN,-1,-1,-1,76,74,84,NaN,-1,-1,NaN
404260030,81,79,68,NaN,85,89,79,81,80,-1,-1,-1,83,87,83,NaN,-1,NaN,-1
404260031,61,75,NaN,80,60,80,60,68,NaN,-1,-1,-1,48,20,79,-1,-1,-1,NaN
404260032,77,74,NaN,NaN,60,75,80,72,80,-1,-1,86,51,65,76,-1,-1,NaN,-1
404260033,77,77,73,80,74,91,68,76,NaN,-1,-1,-1,98,78,85,NaN,-1,NaN,-1
404260034,82,73,75,NaN,75,88,78,71,80,-1,-1,-1,76,83,78,NaN,-1,-1,NaN
404260035,72,69,70,80,60,85,60,70,NaN,-1,-1,-1,48,55,82,NaN,-1,NaN,-1
404260036,71,68,NaN,NaN,NaN,NaN,75,70,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404260037,63,75,65,80,68,82,73,69,NaN,-1,-1,-1,68,58,85,NaN,-1,NaN,-1
404260038,50,60,69,NaN,27,65,36,61,80,-1,-1,-1,NaN,NaN,62,NaN,-1,NaN,-1
404260039,68,68,54,80,66,90,68,75,NaN,-1,-1,-1,60,65,76,-1,-1,-1,NaN
404260040,73,73,81,NaN,78,77,58,64,NaN,78,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404260041,79,81,72,80,81,84,64,76,NaN,-1,-1,-1,80,92,86,NaN,-1,NaN,-1
404260042,83,84,82,NaN,76,93,78,82,80,-1,-1,94,99,96,89,NaN,-1,NaN,-1
