id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601601@生物學@2@1,2601888@學系服務學習@2@1
405260001,41,72,80,-1,-1,-1,NaN
405260002,62,79,NaN,-1,-1,-1,-1
405260003,71,70,80,-1,-1,-1,NaN
405260004,77,82,NaN,-1,-1,-1,-1
405260005,87,83,80,-1,-1,-1,NaN
405260006,88,71,NaN,-1,-1,-1,-1
405260007,81,79,80,-1,-1,-1,NaN
405260008,49,68,NaN,-1,-1,-1,-1
405260009,61,66,80,-1,-1,-1,NaN
405260010,67,70,NaN,-1,-1,-1,-1
405260011,80,67,80,-1,-1,-1,NaN
405260012,75,81,NaN,-1,-1,-1,-1
405260013,55,77,80,-1,-1,-1,NaN
405260014,63,74,NaN,-1,-1,-1,-1
405260015,81,75,80,-1,-1,-1,NaN
405260016,74,71,NaN,-1,-1,-1,-1
405260017,96,78,80,-1,-1,-1,NaN
405260018,62,74,NaN,-1,-1,-1,-1
405260019,41,75,80,-1,-1,-1,NaN
405260020,60,71,NaN,-1,-1,-1,-1
405260021,68,70,80,-1,-1,-1,NaN
405260024,51,74,NaN,-1,-1,-1,-1
405260027,70,68,80,-1,-1,-1,NaN
405260028,74,77,NaN,-1,-1,-1,-1
405260029,71,69,80,-1,-1,-1,NaN
405260030,79,82,NaN,-1,-1,-1,-1
405260031,67,78,80,-1,-1,-1,NaN
405260032,80,82,NaN,-1,-1,NaN,-1
405260033,68,77,80,-1,-1,-1,NaN
405260034,24,18,NaN,-1,-1,NaN,-1
405260035,72,77,80,-1,-1,-1,NaN
405260036,69,68,NaN,-1,-1,-1,-1
405260038,64,77,NaN,-1,-1,-1,-1
405260039,76,76,80,-1,-1,-1,NaN
405260040,76,73,NaN,-1,-1,-1,-1
405260042,85,77,NaN,-1,-1,-1,-1
405260043,71,75,80,-1,-1,-1,NaN
405260044,76,77,NaN,-1,-1,-1,-1
405260045,57,77,80,-1,-1,-1,NaN
405260046,61,73,NaN,-1,-1,-1,-1
405260047,62,75,80,-1,-1,-1,NaN
405260048,79,71,NaN,-1,-1,-1,-1
405260049,80,75,80,-1,-1,-1,NaN
405260050,68,70,NaN,-1,-1,-1,-1
405260051,63,78,80,-1,-1,-1,NaN
405260052,81,75,NaN,-1,-1,-1,-1
405260053,94,76,80,-1,-1,NaN,NaN
405260054,70,69,NaN,-1,-1,-1,-1
405260055,60,76,80,-1,-1,-1,NaN
