id,3105001@社會福利專題討論（一）@1@1,3105076@貧窮理論與研究@1@1,3105088@社會計量@1@1,3105180@勞動市場理論與就業政策@1@1,3105182@政策評估與機構評鑑@1@1,3105183@福利多元與私有化@1@1,3105236@生命歷程與社會政策@1@1,3105514@全民健康保險的理論與實務@1@1,3105521@經濟成長，所得不均與社會保障：比較福利國家專題@1@1,3105523@新社會風險下東亞福利國家的結構重組@1@1,3105524@身心障礙研究：理論、概念測量與政策@1@1,3105002@社會福利專題討論（二）@2@1,3105004@社會福利專題討論（四）@2@1,3105067@社會福利理論@2@1,3105075@社會安全@2@1,3105087@社會救助@2@1,3105154@全球化下的福利國家@2@1,3105199@質性研究法特論@2@1,3105203@社會階層與社會福利@2@1,3105223@長期照顧：制度設計與政策管理@2@1,3105003@社會福利專題討論（三）@1@1,3105087@社會救助@1@1,3105512@社會不均與社會保障@1@1,3105526@OECD國家年金制度的公私混合議題@1@1,3105527@福利多元主義@1@1,3105528@家庭政策@1@1,3106440@國家理論與社會政策（一）@1@1,3106455@人口老化與貧窮（一）@1@1,3106475@社區政策專題討論（一）@1@1,3106476@婦女與健康政策專題討論（一）@1@1,3106477@醫療照護政策規劃與評估（一）@1@1,3105219@社會企業專題@2@1,3105532@健康資料量化分析與應用@2@1,3106438@全民健康保險財務問題特論@2@1,3106445@社會理論與政策（二）@2@1,3106458@人口老化與貧窮（二）@2@1,3106467@社區政策專題討論二@2@1,3106470@性別角色與健康專題討論@2@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3106444@社會理論與政策（一）@1@1,3105236@生命歷程與社會政策@2@1,3106441@國家理論與社會政策（二）@2@1,3106478@社會階層「性別與家庭」專題@2@1,3105223@長期照顧：制度設計與政策管理@1@1,3106465@權利與文化研究一@1@1
600310001,85,NaN,90,NaN,NaN,NaN,NaN,90,84,NaN,NaN,87,85,85,NaN,84,NaN,NaN,NaN,87,86,NaN,NaN,87,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310002,80,NaN,86,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,84,85,80,90,NaN,NaN,90,NaN,NaN,87,81,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310003,85,NaN,92,NaN,89,86,NaN,NaN,NaN,NaN,NaN,85,85,83,93,90,NaN,93,NaN,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310005,72,90,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,77,81,89,NaN,87,NaN,NaN,NaN,88,83,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310006,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,78,84,NaN,93,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310007,85,85,92,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,84,86,93,NaN,NaN,NaN,NaN,87,89,72,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310008,85,85,93,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,82,85,84,83,NaN,NaN,NaN,96,83,87,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310009,84,80,72,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,82,84,83,80,NaN,NaN,NaN,91,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310010,85,NaN,83,NaN,NaN,NaN,NaN,90,NaN,85,NaN,85,83,85,90,NaN,NaN,NaN,NaN,87,85,NaN,NaN,85,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600310011,85,NaN,70,90,NaN,NaN,84,85,NaN,NaN,NaN,84,85,84,90,NaN,NaN,NaN,NaN,87,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
