id,3105001@社會福利專題討論（一）@1@1,3105085@社會政策@1@1,3105087@社會救助@1@1,3105088@社會計量@1@1,3105182@政策評估與機構評鑑@1@1,3105512@社會不均與社會保障@1@1,3105514@全民健康保險的理論與實務@1@1,3105526@OECD國家年金制度的公私混合議題@1@1,3105527@福利多元主義@1@1,3105528@家庭政策@1@1,3105002@社會福利專題討論（二）@2@1,3105067@社會福利理論@2@1,3105075@社會安全@2@1,3105180@勞動市場理論與就業政策@2@1,3105199@質性研究法特論@2@1,3105219@社會企業專題@2@1,3105223@長期照顧：制度設計與政策管理@2@1,3105529@社會保險財務：原則與改革@2@1,3105003@社會福利專題討論（三）@1@1,3105226@低生育率與社會政策@1@1,3105534@勞動市場與就業安全@1@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3106440@國家理論與社會政策（一）@1@1,3106444@社會理論與政策（一）@1@1,3106447@醫療照護政策規劃與評估@1@1,3106455@人口老化與貧窮（一）@1@1,3106465@權利與文化研究一@1@1,3106475@社區政策專題討論（一）@1@1,3106476@婦女與健康政策專題討論（一）@1@1,3105004@社會福利專題討論（四）@2@1,3105076@貧窮理論與研究@2@1,3105236@生命歷程與社會政策@2@1,3106441@國家理論與社會政策（二）@2@1,3106445@社會理論與政策（二）@2@1,3106458@人口老化與貧窮（二）@2@1,3106466@權利與文化研究二@2@1,3106467@社區政策專題討論二@2@1,3106470@性別角色與健康專題討論@2@1,3105223@長期照顧：制度設計與政策管理@1@1,3105087@社會救助@2@1,3106483@高齡社會之健康不平等@2@1,3106481@性別角色與健康專題討論一@1@1,3106493@健康之社會不平等及社區介入策略@1@1,3106486@性別角色與健康專題討論二@2@1
601310001,84,NaN,NaN,70,NaN,93,90,NaN,NaN,NaN,85,90,NaN,96,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310003,85,NaN,80,84,NaN,95,NaN,NaN,NaN,NaN,89,80,NaN,NaN,NaN,NaN,NaN,NaN,85,86,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,86,91,82,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310004,87,NaN,NaN,70,NaN,NaN,80,NaN,80,74,81,81,85,NaN,NaN,79,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310005,88,NaN,73,92,NaN,NaN,NaN,NaN,NaN,88,86,82,NaN,NaN,85,86,NaN,NaN,87,95,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310009,84,NaN,78,92,NaN,NaN,90,NaN,NaN,NaN,85,85,95,NaN,NaN,NaN,NaN,NaN,84,87,NaN,87,NaN,NaN,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310011,86,NaN,71,70,NaN,NaN,NaN,NaN,NaN,76,85,80,NaN,NaN,NaN,NaN,86,80,85,91,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310012,85,80,NaN,70,NaN,NaN,87,NaN,90,NaN,85,81,NaN,NaN,NaN,84,88,NaN,85,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310013,85,NaN,NaN,77,85,NaN,NaN,NaN,NaN,76,85,78,90,NaN,NaN,NaN,86,NaN,85,NaN,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310016,85,NaN,70,78,NaN,NaN,NaN,NaN,NaN,82,85,80,NaN,NaN,NaN,NaN,89,82,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
601310017,85,NaN,75,91,NaN,NaN,85,NaN,NaN,NaN,86,81,NaN,NaN,NaN,NaN,83,77,85,NaN,95,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310019,86,NaN,75,82,NaN,93,NaN,NaN,NaN,NaN,84,88,92,95,85,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310020,85,83,NaN,75,NaN,NaN,NaN,NaN,NaN,78,85,84,NaN,NaN,88,NaN,NaN,NaN,85,83,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,81,NaN,85,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310022,85,NaN,71,70,NaN,NaN,NaN,NaN,NaN,84,85,82,NaN,NaN,NaN,NaN,89,86,85,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
601310023,85,87,NaN,70,87,NaN,78,NaN,NaN,NaN,85,82,NaN,94,NaN,NaN,NaN,74,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310006,83,NaN,NaN,88,88,NaN,NaN,87,NaN,NaN,86,85,93,NaN,NaN,NaN,87,90,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601310010,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,83,84,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,80,94,87,NaN,85
