id,3105002@社會福利專題討論（二）@2@1,3105067@社會福利理論@2@1,3105075@社會安全@2@1,3105531@福利國家的制度轉型：東西方的對話@2@1,3105001@社會福利專題討論（一）@1@1,3105087@社會救助@1@1,3105088@社會計量@1@1,3105514@全民健康保險的理論與實務@1@1,3105534@勞動市場與就業安全@1@1,3105535@照顧與福利國家@1@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3105076@貧窮理論與研究@2@1,3105085@社會政策@2@1,3105182@政策評估與機構評鑑@2@1,3105199@質性研究法特論@2@1,3105236@生命歷程與社會政策@2@1,3105527@福利多元主義@2@1,3106478@社會階層「性別與家庭」專題@2@1,3105003@社會福利專題討論（三）@1@1,3105085@社會政策@1@1,3105154@全球化下的福利國家@1@1,3105223@長期照顧：制度設計與政策管理@1@1,3105226@低生育率與社會政策@1@1,3106440@國家理論與社會政策（一）@1@1,3106444@社會理論與政策（一）@1@1,3106455@人口老化與貧窮（一）@1@1,3106481@性別角色與健康專題討論一@1@1,3106482@全民健康保險財務問題特論一@1@1,3105004@社會福利專題討論（四）@2@1,3105219@社會企業專題@2@1,3106445@社會理論與政策（二）@2@1,3106458@人口老化與貧窮（二）@2@1,3106467@社區政策專題討論二@2@1,3106483@高齡社會之健康不平等@2@1,3106486@性別角色與健康專題討論二@2@1,3106487@全民健康保險財務問題特論二@2@1,3106489@社會福利全球溝通能力建構@2@1,3106490@福利社會專題@1@1,3105087@社會救助@2@1,3106441@國家理論與社會政策（二）@2@1
602310006,85,87,88,NaN,NaN,81,72,NaN,NaN,NaN,86,88,NaN,87,NaN,NaN,NaN,NaN,81,NaN,NaN,87,85,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602310003,90,91,93,90,85,NaN,99,90,NaN,NaN,87,NaN,NaN,NaN,95,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
602310005,-1,83,NaN,NaN,80,NaN,70,75,NaN,85,NaN,NaN,84,NaN,NaN,NaN,NaN,85,81,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
602310007,90,80,92,NaN,85,77,70,NaN,NaN,NaN,87,87,NaN,NaN,NaN,80,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602310008,90,81,89,NaN,85,79,77,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,87,83,NaN,NaN,NaN,NaN,NaN
602310009,60,NaN,70,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602310010,90,87,89,NaN,85,82,99,NaN,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
602310011,90,86,89,NaN,85,NaN,81,91,NaN,80,NaN,NaN,NaN,NaN,85,79,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602310012,90,88,93,NaN,85,NaN,99,90,NaN,86,NaN,NaN,NaN,NaN,95,NaN,NaN,95,85,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,95,86,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN
602310013,90,87,87,NaN,84,NaN,87,89,NaN,NaN,85,NaN,NaN,88,90,NaN,88,NaN,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
