id,3105075@社會安全@2@1,3106485@身心障礙人口與政策@2@1,3105001@社會福利專題討論（一）@1@1,3105003@社會福利專題討論（三）@1@1,3105085@社會政策@1@1,3105088@社會計量@1@1,3105514@全民健康保險的理論與實務@1@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3106455@人口老化與貧窮（一）@1@1,3106493@健康之社會不平等及社區介入策略@1@1,3105002@社會福利專題討論（二）@2@1,3105004@社會福利專題討論（四）@2@1,3105067@社會福利理論@2@1,3105087@社會救助@2@1,3105199@質性研究法特論@2@1,3105223@長期照顧：制度設計與政策管理@2@1,3106458@人口老化與貧窮（二）@2@1,3106496@處遇方案的實證與執行研究@2@1,3105236@生命歷程與社會政策@1@1,3105517@高級社區工作@1@1,3106444@社會理論與政策（一）@1@1,3106465@權利與文化研究一@1@1,3106475@社區政策專題討論（一）@1@1,3106481@性別角色與健康專題討論一@1@1,3106482@全民健康保險財務問題特論一@1@1,3106500@老年與家庭照顧@1@1,3106501@全球化下的就業風險與工作不安全@1@1,3106502@地方政府與社會政策執行@1@1,3106445@社會理論與政策（二）@2@1,3106467@社區政策專題討論二@2@1,3106487@全民健康保險財務問題特論二@2@1,3106507@社會福利學術實務@2@1,3106509@照顧與社會政策 (二)@2@1,3106510@福利社會專題@2@1
604310008,81,85,NaN,84,NaN,72,NaN,86,NaN,NaN,86,-1,80,NaN,NaN,-1,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,-1
604310001,81,NaN,88,86,92,77,93,NaN,NaN,90,88,-1,81,NaN,91,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
604310004,NaN,NaN,88,85,88,87,NaN,87,NaN,NaN,84,-1,82,84,91,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
604310005,83,NaN,87,86,NaN,78,90,86,NaN,NaN,84,-1,83,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,86,NaN,NaN,80,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
604310007,NaN,NaN,88,88,84,78,90,NaN,NaN,NaN,86,-1,82,NaN,92,NaN,NaN,83,83,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604310009,NaN,NaN,68,NaN,80,70,NaN,NaN,NaN,NaN,88,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604310010,-1,NaN,87,86,85,77,92,NaN,NaN,NaN,88,-1,84,NaN,92,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604310011,NaN,NaN,84,82,81,88,90,84,NaN,NaN,74,-1,85,NaN,91,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
604310015,82,NaN,87,86,NaN,72,87,84,NaN,NaN,86,-1,80,78,NaN,86,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
604310016,NaN,NaN,88,86,86,80,90,NaN,NaN,88,88,-1,80,NaN,92,NaN,NaN,82,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
604310017,NaN,NaN,87,85,NaN,70,90,87,NaN,NaN,86,-1,84,82,90,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
604310018,85,NaN,87,88,NaN,80,NaN,NaN,90,NaN,88,-1,85,88,NaN,NaN,-1,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604310020,NaN,NaN,84,86,79,76,88,85,NaN,NaN,84,-1,83,78,NaN,NaN,NaN,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
604310021,83,NaN,88,88,NaN,88,90,87,NaN,NaN,86,-1,82,NaN,91,NaN,NaN,NaN,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
604310002,NaN,NaN,NaN,88,NaN,NaN,NaN,86,90,NaN,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604310019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
