id,3105002@社會福利專題討論（二）@2@1,3105067@社會福利理論@2@1,3105087@社會救助@2@1,3105223@長期照顧：制度設計與政策管理@2@1,3105001@社會福利專題討論（一）@1@1,3105085@社會政策@1@1,3105088@社會計量@1@1,3105236@生命歷程與社會政策@1@1,3105514@全民健康保險的理論與實務@1@1,3105536@社會投資與社會企業：政策創新與跨界管理@1@1,3106500@老年與家庭照顧@1@1,3106502@地方政府與社會政策執行@1@1,3105004@社會福利專題討論（四）@2@1,3105075@社會安全@2@1,3105199@質性研究法特論@2@1,3105219@社會企業專題@2@1,3106506@照顧、性別、社會政策@2@1,3106507@社會福利學術實務@2@1,3106510@福利社會專題@2@1
605310004,84,82,NaN,NaN,80,90,70,82,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
605310006,84,81,87,-1,68,NaN,56,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
605310003,-1,82,NaN,89,84,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
605310001,-1,-1,NaN,NaN,86,NaN,70,84,NaN,NaN,82,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
605310005,-1,-1,NaN,-1,85,NaN,70,NaN,NaN,NaN,87,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310007,-1,-1,NaN,-1,86,NaN,89,81,NaN,88,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
605310008,-1,-1,NaN,NaN,88,87,70,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310009,-1,-1,NaN,-1,86,87,76,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310010,-1,-1,NaN,NaN,85,NaN,78,NaN,88,86,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
605310011,-1,-1,NaN,-1,85,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
605310013,-1,-1,NaN,NaN,86,94,98,NaN,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605310014,-1,-1,NaN,NaN,84,92,77,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605310015,-1,-1,NaN,NaN,85,NaN,63,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,-1,-1
605310016,-1,-1,NaN,NaN,86,89,78,82,NaN,86,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310017,-1,-1,NaN,NaN,84,NaN,72,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1
605310019,-1,-1,NaN,-1,86,80,78,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310021,-1,-1,NaN,-1,86,NaN,70,NaN,NaN,NaN,80,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605310012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
