id,3151505@解剖與生理學@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3153503@心理藥物學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151503@生理學（二）@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3151504@認識動物行為實驗@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153963@行為改變技術@2@1,3153003@心理測驗學理論@1@1,3152013@資料分析@2@1,3153008@神經行銷學專題@2@1,3153311@情緒心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153261@語言心理學@1@1,3153907@臨床心理學見習@1@1,3153302@青少年發展@2@1
401250006,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250012,NaN,86,84,74,NaN,81,NaN,84,80,NaN,88,92,NaN,87,NaN,NaN,85,89,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250032,NaN,79,88,77,NaN,91,NaN,72,87,NaN,97,91,NaN,90,80,84,82,89,NaN,89,91,97,NaN,82,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250048,90,89,87,74,79,67,NaN,78,65,76,70,75,79,69,61,78,78,91,NaN,70,69,80,NaN,68,NaN,89,62,NaN,NaN,77,NaN,-1
401250014,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250003,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250019,NaN,92,91,NaN,NaN,80,NaN,78,84,NaN,91,92,NaN,87,85,86,85,89,NaN,84,84,98,NaN,80,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN
401250038,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250016,76,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250015,NaN,88,86,65,NaN,84,NaN,76,87,NaN,NaN,91,NaN,78,NaN,NaN,85,NaN,NaN,79,76,NaN,83,NaN,89,NaN,NaN,74,NaN,NaN,NaN,NaN
