id,3151002@普通心理學（二）@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3152301@發展心理學@1@1,3152701@社會心理學@1@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153751@組織行為學@2@1,3153965@諮商理論@2@1,3152004@心理學實驗法@1@1,3152505@生理心理學（一）@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153902@變態心理學@1@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153261@語言心理學@1@1,3153965@諮商理論@1@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
402125011,66,NaN,NaN,NaN,73,61,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,79,-1,NaN
402125013,62,NaN,67,64,67,64,NaN,72,68,67,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,80,NaN,74,75,NaN,NaN,NaN,NaN,NaN,NaN
402125021,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125026,91,67,85,92,72,66,NaN,85,92,73,NaN,75,89,NaN,NaN,86,75,86,80,85,80,NaN,NaN,NaN,NaN,NaN,-1,NaN
402125027,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125029,71,NaN,NaN,NaN,NaN,67,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN
402125030,65,NaN,79,61,63,NaN,NaN,NaN,68,-1,NaN,35,NaN,NaN,NaN,NaN,63,NaN,64,85,70,NaN,NaN,NaN,NaN,NaN,NaN,-1
402125039,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125041,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125049,61,NaN,NaN,NaN,50,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125052,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125037,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125019,76,73,69,92,68,69,NaN,NaN,72,-1,NaN,74,77,-1,NaN,NaN,60,NaN,80,85,68,NaN,88,NaN,NaN,NaN,NaN,NaN
402125023,79,74,78,90,72,70,86,76,80,69,75,67,85,NaN,NaN,72,76,71,77,88,86,NaN,NaN,67,82,NaN,NaN,NaN
