id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151503@生理學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152702@性格心理學@2@1,3151512@生理學實驗@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152506@生理心理學（二）@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153963@行為改變技術@2@1,3154502@睡眠管理@2@1,3153003@心理測驗學理論@1@1,3153005@情緒與認知@1@1,3153031@高齡學：多元面向探討@1@1,3153103@認知心理學專題研究@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153302@青少年發展@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153104@設計心理學@1@1,3153261@語言心理學@1@1,3153704@人類關係導論@1@1,3153907@臨床心理學見習@1@1,3153965@諮商理論@1@1,3154918@領導心理學@1@1,3153104@設計心理學@2@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
402315002,60,61,60,NaN,NaN,NaN,75,74,60,NaN,NaN,100,-1,NaN,60,66,70,65,88,NaN,NaN,NaN,64,NaN,60,76,60,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,-1,NaN,-1
402315003,94,85,84,97,90,NaN,83,78,85,85,86,NaN,80,88,92,85,99,93,84,92,NaN,NaN,99,67,84,86,91,NaN,-1,NaN,NaN,88,74,89,81,NaN,NaN,NaN,NaN,NaN,93,78,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN
402315005,92,91,75,NaN,90,NaN,92,90,89,NaN,90,NaN,90,NaN,96,88,88,97,94,89,NaN,NaN,89,90,96,91,81,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,91,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315006,77,79,70,93,NaN,NaN,97,86,78,NaN,NaN,100,84,NaN,92,76,80,80,89,NaN,NaN,NaN,91,82,84,86,77,NaN,NaN,NaN,NaN,85,89,NaN,80,NaN,NaN,NaN,NaN,86,87,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315007,89,88,74,93,90,NaN,73,73,85,NaN,NaN,NaN,88,NaN,87,79,80,90,88,67,NaN,NaN,87,NaN,93,81,72,NaN,NaN,NaN,NaN,NaN,88,NaN,81,NaN,82,NaN,NaN,NaN,94,NaN,NaN,99,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315008,92,85,84,86,NaN,NaN,96,91,95,NaN,NaN,100,87,NaN,95,96,96,96,89,86,NaN,NaN,99,92,94,88,80,NaN,NaN,NaN,NaN,89,91,NaN,88,NaN,NaN,NaN,89,NaN,95,84,NaN,NaN,NaN,97,91,NaN,NaN,NaN,NaN,NaN
402315009,86,83,83,89,90,NaN,94,88,95,NaN,86,NaN,98,NaN,87,94,98,98,94,NaN,NaN,91,93,84,82,85,76,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,99,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315010,70,77,60,80,NaN,NaN,77,69,88,NaN,NaN,80,66,NaN,75,75,70,81,88,NaN,NaN,78,82,NaN,70,72,72,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
402315011,80,74,60,NaN,90,NaN,89,68,78,NaN,NaN,NaN,65,NaN,82,87,71,89,94,53,NaN,NaN,83,72,68,84,61,NaN,73,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,73,88,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315012,72,76,61,87,NaN,87,61,65,78,NaN,NaN,100,61,NaN,76,60,60,64,92,60,NaN,NaN,75,62,63,76,73,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN,85,NaN,NaN,NaN,67,NaN,NaN,-1,NaN
402315013,75,85,71,86,90,75,78,73,63,73,NaN,NaN,84,NaN,75,91,78,88,88,NaN,NaN,NaN,90,NaN,85,81,62,NaN,NaN,NaN,NaN,NaN,77,NaN,86,82,82,90,NaN,NaN,87,NaN,NaN,96,92,90,NaN,NaN,NaN,NaN,NaN,NaN
402315014,86,83,64,91,NaN,71,73,71,93,NaN,NaN,100,87,NaN,76,72,72,85,88,66,NaN,NaN,82,NaN,63,-1,62,NaN,77,NaN,66,62,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315015,70,83,61,92,90,NaN,65,61,80,NaN,67,NaN,64,NaN,75,74,62,87,88,62,NaN,NaN,79,NaN,60,82,81,NaN,NaN,NaN,73,70,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315016,76,89,66,NaN,NaN,NaN,90,85,89,NaN,NaN,100,-1,NaN,84,95,89,92,88,NaN,NaN,NaN,92,NaN,74,82,80,89,91,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN
402315017,61,71,60,85,90,NaN,62,60,71,NaN,NaN,NaN,61,NaN,73,60,60,60,94,NaN,NaN,NaN,73,36,60,73,60,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,64,66,50,NaN,86,76,NaN,NaN,67,NaN,NaN,NaN,-1
402315018,69,84,64,86,NaN,NaN,73,67,69,60,NaN,100,71,NaN,78,60,70,80,88,NaN,NaN,72,81,NaN,62,77,60,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,77,83,NaN,NaN,NaN,NaN,81,NaN,NaN,88,NaN,NaN,NaN
402315019,80,93,76,NaN,90,NaN,NaN,84,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315020,91,88,82,88,NaN,85,100,77,91,60,NaN,100,78,NaN,96,98,90,92,94,78,NaN,NaN,89,76,93,85,77,NaN,NaN,NaN,NaN,82,90,NaN,NaN,NaN,NaN,NaN,89,NaN,93,88,NaN,NaN,93,NaN,85,85,NaN,NaN,-1,NaN
402315021,74,92,64,91,90,NaN,74,68,67,NaN,NaN,NaN,79,NaN,75,74,68,73,86,NaN,NaN,88,77,57,74,80,70,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,87,81,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315022,73,82,65,86,NaN,NaN,91,73,67,NaN,NaN,100,89,NaN,83,75,72,81,88,NaN,NaN,71,81,NaN,65,82,66,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,78,91,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN
402315023,81,91,63,NaN,90,NaN,82,81,64,73,NaN,NaN,80,NaN,89,87,81,85,94,77,NaN,NaN,85,40,60,80,63,NaN,78,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,66,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN
402315024,79,76,60,NaN,NaN,72,67,67,-1,NaN,NaN,100,66,NaN,65,65,74,NaN,88,66,NaN,70,72,NaN,60,80,60,NaN,-1,NaN,61,NaN,64,70,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315025,83,83,71,89,90,72,76,71,60,NaN,NaN,NaN,83,NaN,68,71,73,79,88,NaN,NaN,NaN,74,NaN,61,63,60,NaN,NaN,NaN,60,70,69,NaN,NaN,NaN,NaN,NaN,NaN,62,81,50,NaN,NaN,79,NaN,NaN,80,NaN,NaN,NaN,NaN
402315026,70,79,64,93,NaN,NaN,67,71,69,78,NaN,100,67,NaN,75,76,68,70,88,71,NaN,NaN,86,64,78,82,75,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,85,NaN,88,NaN,NaN,77,63,NaN,NaN,87,83,NaN,79,NaN,NaN,NaN,NaN
402315027,81,96,60,94,90,87,74,80,80,NaN,NaN,NaN,80,NaN,85,77,75,91,91,NaN,NaN,NaN,85,NaN,71,89,90,NaN,NaN,NaN,NaN,80,77,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,74,NaN,84,NaN,95,NaN,NaN,87,NaN,NaN,NaN
