id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3152505@生理心理學（一）@1@1,3152508@生理學(一)@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151888@學系服務學習@2@1,3151910@心理學閱讀技巧@2@1,3152101@人類學習與認知@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3153751@組織行為學@2@1
405315001,97,79,85,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315002,63,27,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315003,71,76,92,90,NaN,NaN,69,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315004,18,26,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405315005,85,86,90,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
405315007,78,45,91,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405315008,83,27,89,NaN,NaN,NaN,91,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315009,83,90,88,95,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405315010,78,72,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
405315011,88,76,92,95,NaN,NaN,85,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405315012,98,69,95,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405315013,100,89,90,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1
405315014,61,60,92,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315017,80,60,87,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN
405315018,74,65,88,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405315019,79,63,NaN,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315020,77,64,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405315021,96,54,91,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405315023,80,69,90,70,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN
405315025,86,69,90,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1
405315026,73,48,83,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
405315027,84,68,89,90,NaN,NaN,72,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315028,73,76,94,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315029,82,63,93,70,NaN,NaN,75,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315031,92,79,89,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315033,95,68,90,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
405315034,73,69,96,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
405315035,72,48,91,0,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN
405315036,96,71,93,NaN,NaN,NaN,91,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315037,71,75,85,90,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN
405315039,93,77,93,90,NaN,NaN,90,-1,-1,NaN,NaN,-1,NaN,-1,NaN
405315040,71,38,92,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN
405315041,89,80,93,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315042,72,72,93,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN
405315043,69,63,90,90,NaN,NaN,68,-1,-1,NaN,-1,NaN,-1,-1,NaN
405315044,66,72,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405315047,95,74,93,95,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN
405315048,82,73,91,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315049,69,44,95,90,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405315050,64,69,89,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN
405315051,84,62,88,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1
405315052,70,70,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN
405315054,83,89,90,NaN,80,85,63,-1,-1,-1,-1,NaN,-1,NaN,NaN
405315055,98,76,97,90,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN
