id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3151510@睡眠管理@2@1,3151888@學系服務學習@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153309@道德發展@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153963@行為改變技術@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152904@壓力調適：理論與實務@2@1,3153127@視聽覺心理學@2@1,3153261@語言心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153003@心理測驗學理論@1@1,3153031@高齡學：多元面向探討@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3153104@設計心理學@2@1,3153302@青少年發展@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153912@台灣銀髮族照護政策與照護組織管理@2@1,3153913@補救教學專題@2@1,3153963@行為改變技術@2@1,3153965@諮商理論@2@1,3154502@睡眠管理@2@1,3153005@情緒與認知@1@1,3153103@認知心理學專題研究@1@1,3153907@臨床心理學見習@1@1,3154103@青年發展與探索@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153311@情緒心理學@2@1,3153104@設計心理學@1@1,3153965@諮商理論@1@1
401315001,95,74,62,86,94,NaN,98,95,96,NaN,78,NaN,87,100,95,85,87,93,89,NaN,85,98,NaN,86,95,99,81,NaN,97,NaN,77,98,88,NaN,94,83,NaN,NaN,NaN,NaN,80,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315002,95,88,67,79,NaN,NaN,98,96,100,NaN,NaN,89,87,100,95,89,82,83,89,NaN,89,NaN,NaN,83,66,99,NaN,NaN,92,NaN,85,91,85,NaN,89,93,NaN,NaN,93,NaN,NaN,NaN,NaN,83,85,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
401315003,100,86,68,79,81,NaN,98,99,95,NaN,79,NaN,91,100,100,90,86,94,91,NaN,80,NaN,82,90,93,99,87,NaN,96,NaN,NaN,98,NaN,NaN,91,95,NaN,NaN,NaN,NaN,NaN,92,NaN,91,NaN,92,90,NaN,NaN,NaN,92,NaN,NaN,NaN
401315004,94,93,72,79,NaN,NaN,84,96,97,NaN,NaN,96,91,92,100,87,90,94,91,NaN,NaN,NaN,NaN,NaN,98,99,NaN,NaN,91,NaN,NaN,95,NaN,NaN,94,95,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN
401315005,86,80,60,78,81,NaN,90,90,76,NaN,73,NaN,84,94,93,73,80,90,89,NaN,83,NaN,NaN,80,82,92,78,NaN,NaN,NaN,78,92,86,NaN,85,NaN,NaN,NaN,90,85,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN
401315006,95,68,72,NaN,NaN,74,70,80,71,NaN,NaN,87,68,76,81,77,70,71,88,NaN,69,NaN,NaN,35,74,70,40,NaN,NaN,84,64,75,64,NaN,82,70,NaN,NaN,61,64,NaN,NaN,NaN,76,73,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401315007,98,90,83,NaN,90,NaN,95,94,95,NaN,79,NaN,92,92,91,80,94,94,87,NaN,NaN,80,86,NaN,92,90,84,NaN,NaN,NaN,NaN,98,90,96,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315008,77,60,61,87,NaN,NaN,62,71,67,74,NaN,71,72,67,76,66,60,61,89,NaN,60,60,60,42,60,63,40,NaN,NaN,68,NaN,69,60,NaN,60,90,NaN,NaN,57,NaN,NaN,NaN,NaN,61,62,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401315009,95,84,60,81,92,90,88,82,85,NaN,70,NaN,70,79,85,71,70,79,88,NaN,79,NaN,71,72,74,97,NaN,NaN,79,NaN,NaN,88,NaN,NaN,88,83,NaN,NaN,87,NaN,NaN,88,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315011,99,86,60,87,97,NaN,84,95,98,NaN,91,NaN,82,84,93,77,75,90,89,NaN,NaN,NaN,NaN,85,69,98,NaN,NaN,83,NaN,NaN,84,83,NaN,90,80,NaN,NaN,NaN,NaN,NaN,87,NaN,49,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
401315012,98,87,66,79,NaN,NaN,91,88,90,NaN,NaN,97,98,99,100,82,83,92,91,85,NaN,NaN,NaN,87,90,99,NaN,NaN,100,NaN,NaN,97,88,NaN,90,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401315014,91,86,77,95,NaN,99,72,79,89,87,NaN,88,84,78,100,73,82,83,89,NaN,78,NaN,80,88,75,97,88,NaN,NaN,NaN,80,87,86,NaN,84,93,NaN,87,82,NaN,NaN,88,NaN,83,69,NaN,NaN,90,NaN,92,NaN,NaN,NaN,NaN
401315015,90,84,65,80,91,NaN,90,92,83,NaN,75,NaN,71,100,92,74,70,70,89,NaN,77,NaN,NaN,66,64,74,NaN,NaN,81,NaN,70,74,NaN,NaN,64,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,95,NaN,92,NaN,NaN,NaN,NaN
401315017,76,80,60,80,93,NaN,68,84,83,NaN,68,NaN,76,93,60,76,73,86,89,NaN,NaN,NaN,NaN,76,81,90,NaN,NaN,75,NaN,68,74,84,NaN,82,90,92,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
401315018,95,81,60,NaN,NaN,88,98,85,72,NaN,NaN,97,88,95,93,84,86,96,88,NaN,NaN,NaN,89,82,87,99,91,NaN,NaN,94,NaN,90,86,NaN,90,NaN,NaN,NaN,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
