id,3155311@利社會行為發展@2@1,3155910@試題反應理論@2@1,3157503@認知神經科學導讀@2@1,3155017@高等統計學@1@1,3155106@高等認知當代文獻導讀@1@1,3155108@認知研究方法的應用@1@1,3155417@當代發展心理學專論@1@1,3155510@神經心理病理學@1@1,3155704@社會認知專論@1@1,3156407@獨立研究：社會認知發展專題研究@1@1,3157704@結構方程模型@1@1,3157710@高等性格心理學@1@1,3155203@文字辨識專題@2@1,3155527@實驗動物管理@2@1,3155705@態度心理學@2@1,3155716@本土社會科學理論的建構@2@1,3155717@跨文化心理學專題@2@1,3155817@大腦功能性磁振造影與研究(專論)@2@1,3155833@心理及社會學量化模式@2@1,3156706@獨立研究：性格歷程專題研究@2@1,3157304@家庭發展專題研究@2@1,3157504@演化心理學@2@1,3155023@多變量統計分析@1@1,3155107@人因工程介紹@1@1,3155187@動物認知專題@1@1,3155313@父母教養與青少年發展@1@1,3155505@神經解剖學@1@1,3155709@知識論與方法論@1@1,3156105@獨立研究：遺忘與記憶@1@1,3156502@獨立研究：生理心理學專題研究（二）@1@1,3156703@獨立研究：社會認知專題研究@1@1,3156704@獨立研究：態度心理學專題研究@1@1,3156705@獨立研究：工商心理學@1@1,3158138@獨立研究：臉孔處理與辨識@1@1,3155123@視覺認知專論@2@1,3156107@獨立研究：人因工程@2@1,3156310@獨立研究：青少年發展@2@1,3156703@獨立研究：社會認知專題研究@2@1,3156704@獨立研究：態度心理學專題研究@2@1,3157707@社會心理學研究法@2@1,3157805@測驗編製與分析@2@1,3157911@科學論文寫作@2@1,3156701@獨立研究：社會心理學專題研究@1@1
602315001,54,78,84,49,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602315004,NaN,NaN,NaN,81,NaN,80,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,84,NaN,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,94,NaN,NaN
602315006,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,92,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,93,NaN,NaN,93,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602315007,NaN,NaN,NaN,86,NaN,80,NaN,94,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
602315008,NaN,NaN,NaN,73,NaN,79,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,80,0,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,90,NaN,NaN
602315012,NaN,NaN,NaN,88,84,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,91,NaN,NaN,87,NaN,NaN,89,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
602315017,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,91,90,NaN,NaN,NaN,85,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602315021,NaN,NaN,NaN,92,88,92,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
602315022,NaN,NaN,NaN,89,NaN,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,73,NaN,88,88,90,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602315023,83,NaN,NaN,89,NaN,84,NaN,NaN,89,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,74,91,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
