id,3155311@利社會行為發展@2@1,3157131@視覺科學導論@2@1,3157503@認知神經科學導讀@2@1,3155017@高等統計學@1@1,3155105@實驗設計@1@1,3155107@人因工程介紹@1@1,3155108@認知研究方法的應用@1@1,3155202@E-Prime 實驗設計與資料分析@1@1,3155527@實驗動物管理@1@1,3155528@學習與記憶生理學@1@1,3155704@社會認知專論@1@1,3155910@試題反應理論@1@1,3156175@獨立研究：記憶提取歷程@1@1,3156501@獨立研究：生理心理學專題@1@1,3157701@工商心理學專題研究（一）@1@1,3157704@結構方程模型@1@1,3155109@記憶心理學專論@2@1,3155313@父母教養與青少年發展@2@1,3155510@神經心理病理學@2@1,3155705@態度心理學@2@1,3155706@高等組織行為學@2@1,3155833@心理及社會學量化模式@2@1,3156702@獨立研究：態度與說服專題研究@2@1,3157504@演化心理學@2@1,3157703@工商心理學專題研究（二）@2@1,3157805@測驗編製與分析@2@1,3158514@專題獨立研究：睡眠與日夜節律（二）@2@1,3155032@健康傳播@1@1,3155110@論文讀寫的認知歷程@1@1,3155315@社會認知發展專論@1@1,3155505@神經解剖學@1@1,3156703@獨立研究：社會認知專題研究@1@1,3156705@獨立研究：工商心理學@1@1,3157106@情緒心理病理學@1@1,3157505@呼吸神經生物學@1@1,3157710@高等性格心理學@1@1,3158000@專題獨立研究：高等心理計量@1@1,3155105@實驗設計@2@1,3155202@E-Prime 實驗設計與資料分析@2@1,3155528@學習與記憶生理學@2@1,3155910@試題反應理論@2@1,3156408@專題獨立研究:社會認知發展之神經科學研究@2@1,3156701@獨立研究：社會心理學專題研究@2@1,3157707@社會心理學研究法@2@1,3157712@性格測量與衡鑑@2@1,3158001@專題獨立研究：高等測量理論@2@1
604315001,90,95,91,98,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,89,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604315002,NaN,NaN,NaN,78,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604315003,NaN,NaN,NaN,88,NaN,NaN,80,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604315004,NaN,NaN,87,71,NaN,NaN,NaN,NaN,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604315007,NaN,NaN,88,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,94,NaN,NaN,84,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604315008,NaN,NaN,NaN,52,NaN,NaN,80,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,82,-1,NaN,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
604315009,NaN,NaN,NaN,83,NaN,NaN,NaN,93,NaN,95,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604315010,NaN,NaN,83,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
604315012,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,83,NaN,89,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
604315013,NaN,NaN,NaN,70,NaN,NaN,80,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
