id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201888@學系服務學習@2@1,3203033@勞工政策@2@1,3201025@勞動市場與就業專題討論@1@1,3202021@組織行為@1@1,3202034@組織理論@1@1,3202035@勞動法概論@1@1,3202039@總體經濟學@1@1,3203032@勞資談判@1@1,3203053@國際人力資源管理@1@1,3203054@行政法@1@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202031@就業安全理論與實務@2@1,3202037@統計學@2@1,3203001@集體協商@2@1,3203029@薪資福利管理@2@1,3203050@全球化與勞動@2@1,3202031@就業安全理論與實務@1@1,3203001@集體協商@1@1,3203031@勞資爭議處理@1@1,3203040@工會法@1@1,3203041@社會科學統計應用@1@1,3203043@國際勞工運動@1@1,3203047@績效考核與管理@1@1,3203051@比較勞工關係@1@1,3201027@勞工關係實用英語@2@1,3202026@勞工運動理論@2@1,3202032@性別與工作@2@1,3202035@勞動法概論@2@1,3202040@職業安全衛生法規@2@1,3202041@企業倫理@2@1,3203002@勞動經濟學@2@1,3203044@研究方法@2@1,3202038@人力資源發展@1@1,3203002@勞動經濟學@1@1,3203055@勞保給付、爭議與救濟@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3201025@勞動市場與就業專題討論@2@1,3201026@就業諮商與輔導@2@1,3203031@勞資爭議處理@2@1,3203047@績效考核與管理@2@1,3203056@人力資源經濟分析@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1
400320001,60,75,66,78,88,64,65,79,63,NaN,95,NaN,76,84,60,NaN,68,NaN,NaN,60,56,88,60,NaN,75,85,NaN,81,89,NaN,78,NaN,NaN,94,NaN,91,86,NaN,NaN,NaN,60,85,87,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320002,63,77,75,68,NaN,61,76,70,80,78,84,NaN,67,73,60,NaN,55,71,NaN,61,52,87,60,NaN,50,74,NaN,67,77,NaN,70,80,65,NaN,77,56,NaN,55,NaN,76,45,86,70,80,NaN,NaN,83,80,85,NaN,NaN,90,NaN,NaN
400320003,87,78,66,60,75,62,78,63,54,NaN,90,NaN,77,75,60,NaN,75,77,60,60,60,77,60,NaN,NaN,84,NaN,81,79,83,77,NaN,66,NaN,NaN,87,NaN,NaN,NaN,NaN,64,84,NaN,NaN,NaN,91,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN
400320004,66,67,63,66,NaN,73,65,67,72,82,80,NaN,69,79,54,60,71,72,NaN,60,70,79,60,NaN,73,NaN,NaN,62,76,NaN,68,80,69,70,NaN,NaN,NaN,66,NaN,NaN,NaN,84,NaN,62,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320005,73,86,91,83,80,67,64,88,87,NaN,80,NaN,75,NaN,55,78,NaN,86,NaN,62,74,86,62,NaN,NaN,87,NaN,78,79,NaN,66,NaN,79,NaN,NaN,87,NaN,66,NaN,NaN,73,85,87,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320006,67,83,78,71,NaN,66,77,80,65,75,82,NaN,88,81,62,NaN,76,72,NaN,66,82,85,84,NaN,88,45,NaN,84,75,80,83,NaN,NaN,75,NaN,NaN,NaN,NaN,71,NaN,70,84,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320007,65,86,79,75,88,76,75,78,79,NaN,91,NaN,92,NaN,72,74,NaN,82,62,65,79,87,71,NaN,NaN,89,NaN,88,80,NaN,82,NaN,NaN,77,NaN,NaN,NaN,NaN,83,NaN,83,85,89,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,88,NaN,NaN
400320008,78,87,93,86,NaN,65,81,81,90,90,95,NaN,84,NaN,67,78,84,86,NaN,67,73,90,79,NaN,82,86,NaN,90,89,NaN,92,NaN,NaN,70,NaN,90,NaN,NaN,79,NaN,91,89,94,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320009,71,90,87,76,89,78,82,80,89,NaN,84,NaN,86,NaN,73,85,NaN,85,NaN,77,81,85,68,NaN,88,88,NaN,90,87,NaN,92,92,87,NaN,NaN,NaN,NaN,NaN,85,82,91,88,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320010,78,84,91,86,NaN,72,85,89,96,90,95,NaN,90,85,72,80,83,87,NaN,70,95,87,82,NaN,78,86,NaN,88,87,NaN,83,NaN,NaN,NaN,NaN,93,NaN,NaN,86,NaN,88,87,NaN,NaN,88,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320011,62,89,83,77,92,70,63,77,86,NaN,80,NaN,85,64,60,75,NaN,NaN,NaN,63,90,84,76,NaN,70,NaN,NaN,90,84,74,73,NaN,NaN,85,NaN,90,NaN,NaN,84,NaN,82,87,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400320012,73,88,69,85,NaN,75,68,87,88,86,80,NaN,84,NaN,69,68,NaN,78,NaN,60,80,82,60,NaN,79,81,NaN,87,NaN,79,86,91,80,NaN,NaN,NaN,NaN,NaN,77,NaN,78,86,NaN,NaN,NaN,89,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN
400320013,60,75,76,70,89,62,60,74,82,NaN,74,NaN,73,NaN,69,60,85,70,66,66,68,83,76,NaN,68,NaN,NaN,88,84,77,81,NaN,NaN,NaN,NaN,87,NaN,56,76,NaN,63,87,88,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,84,NaN,80
