id,3201001@勞工關係@1@1,3201007@民法概論@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3202021@組織行為@1@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3202039@總體經濟學@1@1,3203053@國際人力資源管理@1@1,3201025@勞動市場與就業專題討論@2@1,3202004@勞動基準法@2@1,3202030@勞工保險理論與實務@2@1,3202037@統計學@2@1,3203050@全球化與勞動@2@1,3203001@集體協商@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203041@社會科學統計應用@1@1,3203051@比較勞工關係@1@1,3201008@政治學@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203044@研究方法@2@1,3203047@績效考核與管理@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3201015@企業概論@1@1,3202040@職業安全衛生法規@1@1,3203043@國際勞工運動@1@1,3204001@論文撰寫@1@2,3202041@企業倫理@2@1
402310038,81,70,79,91,87,73,82,90,89,NaN,71,79,87,NaN,86,95,87,90,92,68,83,82,91,NaN,83,NaN,88,89,90,NaN
402310036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402310011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310019,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310025,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
402310051,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310050,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN
402310014,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
