id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202030@勞工保險理論與實務@2@1,3203050@全球化與勞動@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3202039@總體經濟學@1@1,3203001@集體協商@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203051@比較勞工關係@1@1,3203054@行政法@1@1,3201025@勞動市場與就業專題討論@2@1,3202004@勞動基準法@2@1,3202026@勞工運動理論@2@1,3202037@統計學@2@1,3202041@企業倫理@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203047@績效考核與管理@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1,3202043@勞工互助與合作@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203041@社會科學統計應用@1@1,3203053@國際人力資源管理@1@1,3203055@勞保給付、爭議與救濟@1@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202039@總體經濟學@2@1,3203043@國際勞工運動@2@1,3203044@研究方法@2@1,3203056@人力資源經濟分析@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3202032@性別與工作@2@1,3203058@高齡社會導論@2@1,3203059@國際遷移與勞動人權@2@1
402320001,0,0,0,50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402320002,77,80,85,80,NaN,64,86,83,NaN,81,82,96,NaN,83,NaN,77,87,NaN,84,87,NaN,95,NaN,NaN,71,NaN,91,92,86,90,NaN,NaN,NaN,NaN,100,NaN,92,89,NaN,88,NaN,NaN,90,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
402320003,77,81,65,73,71,66,80,77,NaN,82,NaN,NaN,87,69,84,69,80,NaN,81,79,NaN,85,NaN,87,65,76,60,-1,81,82,71,NaN,73,86,84,NaN,60,82,NaN,80,NaN,NaN,NaN,85,NaN,NaN,67,84,NaN,83,NaN,NaN,NaN
402320004,75,82,78,75,NaN,60,84,80,NaN,84,86,NaN,90,79,87,69,85,NaN,84,85,NaN,NaN,NaN,86,66,77,81,NaN,80,81,76,NaN,89,NaN,93,NaN,85,NaN,NaN,73,NaN,NaN,NaN,89,NaN,NaN,91,NaN,NaN,86,NaN,NaN,NaN
402320005,77,86,72,75,84,71,69,69,80,77,NaN,90,NaN,78,87,70,NaN,90,87,22,NaN,NaN,NaN,NaN,61,NaN,68,78,60,58,NaN,NaN,NaN,NaN,60,83,75,NaN,NaN,NaN,NaN,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402320006,77,87,90,77,NaN,69,77,85,NaN,83,86,NaN,85,91,NaN,65,NaN,NaN,88,NaN,80,84,NaN,NaN,64,87,81,NaN,-1,82,81,92,NaN,NaN,89,83,91,NaN,NaN,78,NaN,-1,NaN,88,NaN,NaN,73,NaN,89,NaN,NaN,NaN,NaN
402320007,73,83,74,79,88,66,70,74,75,85,NaN,NaN,NaN,88,87,64,NaN,84,87,NaN,NaN,87,NaN,87,70,79,88,88,71,84,84,NaN,83,NaN,83,NaN,78,83,NaN,86,NaN,NaN,NaN,91,NaN,NaN,NaN,86,NaN,86,NaN,NaN,NaN
402320008,87,86,91,78,NaN,76,87,89,NaN,86,82,86,NaN,90,NaN,73,83,NaN,89,NaN,NaN,95,NaN,NaN,74,NaN,93,92,84,90,92,NaN,NaN,NaN,97,NaN,93,87,NaN,NaN,NaN,NaN,88,89,NaN,82,NaN,NaN,NaN,91,NaN,NaN,NaN
402320009,74,87,87,71,94,64,84,80,70,NaN,NaN,74,NaN,71,87,63,NaN,NaN,79,80,NaN,NaN,NaN,83,60,NaN,60,79,82,85,78,NaN,NaN,NaN,83,84,90,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402320010,68,75,60,71,NaN,62,80,-1,NaN,NaN,87,NaN,75,74,88,60,NaN,NaN,86,83,90,NaN,NaN,74,66,79,74,75,80,71,NaN,NaN,79,NaN,65,NaN,69,80,73,80,NaN,NaN,NaN,87,66,NaN,NaN,NaN,85,NaN,NaN,-1,NaN
