id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3303642@當代社會分析@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303643@當前國際情勢@2@1,3304301@民主觀察@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302401@政治意識型態@1@1,3304311@國際政治經濟@1@1,3304333@環境政治@1@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302442@政策網絡與政策變遷@2@1,3302910@全球化下的跨國人口流動@2@1,3303392@英國政府與政治@2@1,3303644@當前國際情勢@2@1,3304321@國際談判與協商@2@1,3304340@台灣政經發展@2@1,3302411@國際人權與女權@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303440@政策執行與評估@1@1,3303460@公共人事行政導論@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304331@行政倫理@1@1,3304370@公共管理@1@1,3304390@全球化@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301511@政治社會學@2@1,3302394@危機管理@2@1,3302930@初級政治學德語(一)@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303502@公共人力資源管理@2@1,3304302@民主理論@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3303361@組織理論與行為@1@1,3303641@當代中國社會@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302411@國際人權與女權@2@1,3302940@公民教育@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304641@危機管理@2@1
401330001,81,91,93,NaN,76,90,100,81,88,NaN,80,87,NaN,89,84,100,NaN,NaN,NaN,NaN,95,82,71,86,NaN,94,NaN,NaN,NaN,90,84,72,82,NaN,88,93,NaN,NaN,NaN,88,NaN,NaN,NaN,91,83,88,91,NaN,89,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,88,67,NaN,NaN,NaN,NaN,89,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330002,83,89,NaN,88,75,85,85,NaN,NaN,NaN,86,90,NaN,85,84,90,88,NaN,NaN,NaN,94,87,78,80,NaN,92,NaN,NaN,NaN,94,82,76,90,NaN,81,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,88,91,94,NaN,92,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,85,66,NaN,NaN,85,93,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,94,NaN,NaN,NaN
401330003,86,97,88,NaN,79,84,85,78,89,NaN,84,87,NaN,89,79,100,NaN,87,NaN,NaN,92,77,79,84,NaN,81,NaN,NaN,NaN,94,76,69,82,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,80,NaN,85,NaN,93,88,NaN,96,92,NaN,NaN,NaN,NaN,NaN,90,NaN,68,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95
401330004,80,84,90,NaN,79,65,95,NaN,NaN,NaN,70,82,NaN,79,71,90,87,NaN,NaN,NaN,83,75,81,83,NaN,97,NaN,NaN,NaN,93,76,78,77,NaN,100,94,86,NaN,NaN,84,NaN,NaN,NaN,70,86,84,NaN,NaN,91,NaN,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,62,64,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330005,93,83,NaN,78,71,78,85,80,NaN,NaN,86,NaN,80,82,69,100,NaN,NaN,NaN,NaN,83,85,98,91,NaN,99,NaN,NaN,NaN,94,88,93,82,NaN,100,NaN,96,NaN,NaN,85,NaN,NaN,79,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330006,82,86,86,NaN,77,79,95,NaN,89,NaN,89,85,NaN,90,85,100,85,83,NaN,NaN,82,72,78,73,NaN,NaN,NaN,NaN,NaN,94,81,76,76,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,79,72,90,89,NaN,92,NaN,NaN,93,NaN,NaN,NaN,NaN,92,NaN,NaN,82,85,95,NaN,NaN,92,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330007,78,98,NaN,70,74,69,95,76,86,NaN,65,NaN,75,82,63,100,NaN,90,NaN,NaN,87,80,88,77,NaN,87,NaN,NaN,NaN,94,86,91,82,NaN,83,94,NaN,NaN,NaN,89,NaN,79,NaN,80,87,87,92,NaN,NaN,NaN,NaN,NaN,89,NaN,94,NaN,94,NaN,NaN,81,80,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330009,83,88,NaN,69,78,74,95,83,82,NaN,73,NaN,62,84,67,70,NaN,NaN,NaN,NaN,80,70,84,68,NaN,89,NaN,NaN,NaN,94,84,67,80,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,86,67,NaN,80,85,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,71,NaN,68,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330010,85,66,76,NaN,73,70,95,NaN,79,NaN,78,60,NaN,83,68,90,87,NaN,NaN,NaN,77,78,71,82,NaN,84,NaN,NaN,78,94,81,71,80,NaN,92,94,NaN,NaN,NaN,83,NaN,NaN,85,NaN,87,NaN,86,NaN,NaN,NaN,NaN,93,88,NaN,NaN,NaN,NaN,NaN,NaN,70,71,94,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
401330011,81,91,95,NaN,75,88,95,84,NaN,NaN,92,97,NaN,94,80,90,NaN,NaN,NaN,NaN,94,74,76,80,NaN,94,NaN,NaN,NaN,92,80,75,80,NaN,80,NaN,NaN,NaN,NaN,86,NaN,80,80,NaN,86,85,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,81,NaN,77,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
