id,3305020@社會科學統計@2@1,3305850@人事管理@2@1,3306480@兩岸關係與大陸政策@2@1,3305010@政治學方法論@1@1,3305300@公共行政理論@1@1,3305310@國際關係理論@1@1,3305320@比較政治理論@1@1,3306561@環境政策專題@1@1,3306562@能源政策與氣候變化@1@1,3306640@亞洲區域主義@1@1,3305420@國際政治經濟學@2@1,3305490@政治經濟學@2@1,3306401@公共政策專題研究@2@1,3306402@財務行政專題研究@2@1,3306410@台灣政經發展專題研究@2@1,3306632@人權與女權@2@1,3305850@人事管理@1@1,3306420@國際組織專題研究@1@1
601330001,73,94,94,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601330002,87,NaN,NaN,90,NaN,92,88,NaN,95,NaN,NaN,92,NaN,NaN,87,NaN,NaN,92
601330003,84,NaN,NaN,90,NaN,92,87,NaN,95,NaN,89,NaN,NaN,NaN,NaN,94,NaN,92
601330004,90,NaN,NaN,90,NaN,95,85,NaN,95,NaN,NaN,90,NaN,NaN,89,NaN,NaN,92
601330005,78,NaN,NaN,86,91,90,NaN,NaN,90,NaN,87,NaN,NaN,NaN,NaN,88,NaN,92
601330006,88,NaN,NaN,88,92,90,85,NaN,NaN,NaN,NaN,89,NaN,NaN,82,NaN,NaN,88
601330007,97,NaN,NaN,92,93,95,NaN,NaN,96,NaN,NaN,NaN,93,86,NaN,NaN,NaN,95
601330008,90,NaN,NaN,88,94,NaN,NaN,88,96,NaN,NaN,NaN,92,88,NaN,NaN,NaN,88
601330010,80,NaN,NaN,86,91,NaN,NaN,85,91,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN
601330014,82,NaN,NaN,88,NaN,90,86,NaN,95,NaN,NaN,88,NaN,NaN,82,NaN,95,NaN
601330015,81,NaN,NaN,86,NaN,90,NaN,NaN,94,92,92,NaN,NaN,NaN,NaN,90,NaN,88
601330016,85,NaN,NaN,88,89,NaN,87,NaN,95,NaN,NaN,89,NaN,NaN,58,88,NaN,88
601330017,80,NaN,NaN,92,89,90,NaN,NaN,92,NaN,NaN,NaN,90,NaN,NaN,94,94,NaN
601330019,84,NaN,NaN,90,90,90,NaN,86,93,NaN,NaN,NaN,91,84,NaN,NaN,NaN,92
601330009,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601330018,86,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,90,87,88
