id,3305010@政治學方法論@1@1,3305300@公共行政理論@1@1,3305310@國際關係理論@1@1,3305320@比較政治理論@1@1,3305430@公共組織與管理@1@1,3306410@台灣政經發展專題研究@1@1,3306562@能源政策與氣候變化@1@1,3306632@人權與女權@1@1,3305020@社會科學統計@2@1,3305420@國際政治經濟學@2@1,3305490@政治經濟學@2@1,3305710@類別資料分析@2@1,3305850@人事管理@2@1,3306401@公共政策專題研究@2@1,3306420@國際組織專題研究@2@1,3306480@兩岸關係與大陸政策@2@1,3306710@政治社會化@2@1,3305670@民意調查方法@1@1,3306561@環境政策專題@1@1,3306640@亞洲區域主義@1@1,3306001@研究設計與論文寫作@2@1,3306632@人權與女權@2@1,3306570@政治傳播@1@1
600330002,84,93,NaN,NaN,84,NaN,92,NaN,76,NaN,NaN,NaN,95,92,NaN,94,NaN,NaN,87,NaN,NaN,NaN,NaN
600330004,83,90,95,NaN,83,NaN,95,NaN,70,NaN,NaN,NaN,94,89,96,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
600330005,80,NaN,90,89,NaN,90,93,NaN,70,NaN,86,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,90
600330006,89,NaN,90,86,NaN,90,NaN,NaN,70,NaN,84,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,NaN,94,NaN
600330007,92,93,NaN,NaN,84,NaN,NaN,NaN,70,NaN,NaN,NaN,94,91,NaN,NaN,88,94,86,NaN,NaN,NaN,NaN
600330008,98,NaN,NaN,92,NaN,92,NaN,NaN,76,NaN,88,80,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
600330010,84,NaN,92,NaN,NaN,90,98,NaN,88,91,NaN,NaN,NaN,NaN,96,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600330011,89,NaN,88,NaN,NaN,96,95,NaN,73,90,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,93,NaN,NaN,NaN
600330013,78,90,84,NaN,80,NaN,92,NaN,70,NaN,NaN,NaN,93,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600330015,84,93,86,NaN,NaN,NaN,96,NaN,70,NaN,NaN,NaN,94,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN
600330016,76,NaN,90,87,NaN,90,NaN,NaN,36,NaN,83,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,92,NaN
600330017,74,NaN,88,86,NaN,88,NaN,NaN,42,NaN,85,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,88,NaN
600330019,89,NaN,90,NaN,NaN,90,96,NaN,73,91,NaN,NaN,NaN,87,92,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN
600330020,79,NaN,86,NaN,NaN,90,95,NaN,70,89,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,91,NaN,NaN,NaN
600330018,NaN,NaN,NaN,85,NaN,86,NaN,90,NaN,NaN,85,NaN,NaN,NaN,88,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
