id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352023@廣告概論@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352026@科普媒體實習@2@1,3352027@科普媒體設計@2@1,3352028@廣告心理與行銷@2@1,3353005@虛擬傳播專題@2@1,3352022@流行音樂與社會@1@1,3352029@影像寫作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353004@數位整合媒介專題@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354013@另類媒體研究@1@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353018@音樂、影像與展演@2@1,3353020@公共關係實務@2@1,3353021@紀錄片與專題製作@2@1,3354002@推廣製作專題@1@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3352032@國際傳播@2@1,3354016@畢業製作@2@1,3353022@華人電影專題研究@1@1
400335002,82,NaN,84,87,89,83,88,NaN,91,80,83,85,NaN,92,88,80,88,NaN,88,NaN,85,88,88,84,87,89,87,82,NaN,NaN,NaN,NaN,93,NaN,NaN,94,94,NaN,84,NaN,NaN,NaN,NaN,91,96,NaN,88,NaN,96,NaN,87,NaN,NaN,90,NaN,NaN,NaN
400335005,73,82,NaN,87,80,NaN,84,80,88,75,73,NaN,84,NaN,71,NaN,74,NaN,81,NaN,84,NaN,NaN,68,75,NaN,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,93,72,NaN,87,NaN,NaN,88,89,96,85,NaN,NaN,96,NaN,NaN,86,86,NaN,NaN,88,NaN
400335006,85,78,NaN,87,80,NaN,85,NaN,88,75,NaN,84,NaN,91,85,80,87,NaN,86,NaN,84,85,NaN,73,NaN,91,89,86,88,NaN,NaN,NaN,NaN,NaN,NaN,94,94,NaN,88,NaN,NaN,NaN,NaN,99,96,85,NaN,NaN,NaN,85,NaN,87,83,NaN,NaN,83,NaN
400335007,80,84,NaN,87,80,NaN,89,80,84,82,80,NaN,87,NaN,80,NaN,NaN,84,82,NaN,84,NaN,79,81,95,NaN,86,85,82,NaN,NaN,85,NaN,85,NaN,94,94,NaN,NaN,84,NaN,NaN,NaN,91,94,84,86,NaN,NaN,NaN,NaN,83,NaN,NaN,79,NaN,NaN
400335008,82,NaN,77,87,74,75,85,NaN,65,69,73,84,88,NaN,65,80,64,NaN,85,NaN,79,NaN,NaN,76,NaN,95,88,76,78,NaN,NaN,NaN,NaN,NaN,NaN,93,93,NaN,80,NaN,NaN,74,NaN,100,94,85,NaN,NaN,NaN,NaN,NaN,85,87,NaN,NaN,89,NaN
400335009,87,83,NaN,86,80,NaN,86,80,87,75,74,87,84,NaN,60,NaN,72,NaN,83,NaN,86,NaN,67,80,83,89,84,87,NaN,NaN,NaN,77,NaN,NaN,NaN,94,94,NaN,NaN,88,NaN,NaN,NaN,90,94,84,85,NaN,94,NaN,88,86,NaN,NaN,NaN,NaN,NaN
400335010,73,NaN,81,85,NaN,NaN,86,NaN,89,NaN,NaN,NaN,87,NaN,51,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400335011,90,86,NaN,87,81,81,94,80,81,90,NaN,84,87,NaN,100,NaN,85,NaN,83,NaN,89,NaN,NaN,85,NaN,91,86,89,88,NaN,NaN,NaN,NaN,NaN,NaN,96,96,90,90,NaN,NaN,NaN,NaN,100,96,85,NaN,NaN,NaN,88,NaN,88,86,NaN,NaN,87,NaN
400335012,87,NaN,82,87,80,NaN,86,NaN,88,76,NaN,NaN,NaN,91,63,80,NaN,78,NaN,93,81,88,60,81,NaN,92,86,87,NaN,NaN,NaN,87,NaN,85,NaN,96,96,NaN,NaN,89,NaN,NaN,NaN,94,90,NaN,87,NaN,94,NaN,NaN,86,82,NaN,NaN,83,NaN
400335013,93,84,NaN,87,80,76,86,80,80,76,68,84,91,NaN,67,NaN,NaN,91,84,NaN,82,89,NaN,79,NaN,89,90,73,NaN,NaN,NaN,NaN,NaN,85,87,95,95,NaN,NaN,91,NaN,78,NaN,94,95,NaN,83,NaN,NaN,NaN,87,NaN,86,NaN,NaN,87,NaN
