id,3351006@基礎寫作@1@1,3351020@媒介寫作（一）@2@1,3351007@美學與藝術概論@1@1,3351019@傳播外文@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351024@傳播概論@1@1,3352016@基礎公共演說@1@1,3352022@流行音樂與社會@1@1,3351005@傳播史@2@1,3351027@基礎資訊製作@2@1,3351029@基礎聲音製作@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352032@國際傳播@2@1,3353015@媒體思辨@2@1,3352028@廣告心理與行銷@1@1,3352036@影音新聞製作@1@1,3352038@進階影像製作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353022@華人電影專題研究@1@1,3351014@電影概論@2@1,3352008@數位整合媒體實務@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353011@資訊編輯企劃@2@1,3351015@文選@1@1,3352007@研究方法@1@1,3354003@資訊製作專題@1@1,3352025@當代社會問題分析@2@1,3354016@畢業製作@2@1
402120038,89,90,84,87,85,81,85,87,NaN,83,80,90,92,87,85,NaN,89,86,85,91,91,86,86,86,91,91,91,87,97,85,86,NaN,-1
402120020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120010,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402120042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
