id,3351013@戲劇概論@1@1,3351005@傳播史@2@1,3352025@當代社會問題分析@2@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351019@傳播外文@1@1,3351024@傳播概論@1@1,3352007@研究方法@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3351014@電影概論@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3352024@傳播理論@2@1,3353010@創意策略與企劃@2@1,3353015@媒體思辨@2@1,3351023@基礎影像製作@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3353022@華人電影專題研究@1@1,3351025@創意短片製作@2@1,3352032@國際傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353023@調查報導@2@1,3352038@進階影像製作@1@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3352021@傳播典範人物@2@1,3352040@整合新聞製作@2@1,3353018@音樂、影像與展演@2@1
402330007,84,75,80,NaN,88,84,77,67,71,NaN,81,32,60,70,NaN,NaN,71,69,85,NaN,74,81,81,NaN,92,72,86,NaN,86,86,79,83,84,88,NaN,-1,NaN
402330003,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330010,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330038,NaN,NaN,78,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402330036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330012,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
