id,3351013@戲劇概論@1@1,3351015@文選@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@2,3352022@流行音樂與社會@1@1,3352032@國際傳播@2@1,3351006@基礎寫作@1@2,3351023@基礎影像製作@1@1,3351024@傳播概論@1@1,3352033@傳播倫理@1@1,3352034@數位整合傳播概論@1@1,3352035@政治學與傳播@1@1,3352038@進階影像製作@1@1,3353017@傳播法規@1@1,3353022@華人電影專題研究@1@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351026@新聞採訪寫作@2@1,3351029@基礎聲音製作@2@1,3352024@傳播理論@2@1,3352030@劇情片製作@2@1,3353015@媒體思辨@2@1,3353023@調查報導@2@1,3352007@研究方法@1@1,3352028@廣告心理與行銷@1@1,3352036@影音新聞製作@1@1,3353002@校內實習（一）@1@1,3353024@數位媒體製作實務(一)@1@1,3351027@基礎資訊製作@2@2,3352025@當代社會問題分析@2@1,3353007@校內實習（二）@2@1,3353021@紀錄片與專題製作@2@1,3353025@數位媒體製作實務(二)@2@1
402510059,87,86,83,NaN,70,67,78,82,80,80,86,83,82,88,77,83,76,80,68,88,84,85,86,70,NaN,NaN,91,91,-1,NaN,-1,-1,-1
402510097,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510109,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402510024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
