id,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3351888@學系服務學習@1@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351025@創意短片製作@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3351888@學系服務學習@2@1,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3352036@影音新聞製作@1@1,3352037@進階聲音製作@1@1,3352038@進階影像製作@1@1,3353022@華人電影專題研究@1@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3352032@國際傳播@2@1,3352039@經濟學與傳播@2@1,3353010@創意策略與企劃@2@1,3353015@媒體思辨@2@1,3353021@紀錄片與專題製作@2@1,3353023@調查報導@2@1,3353002@校內實習（一）@1@1,3353017@傳播法規@1@1,3353024@數位媒體製作實務(一)@1@1,3352021@傳播典範人物@2@1,3353007@校內實習（二）@2@1,3353018@音樂、影像與展演@2@1,3353025@數位媒體製作實務(二)@2@1
403335001,84,NaN,87,NaN,86,NaN,82,80,NaN,80,86,79,80,80,80,80,NaN,90,88,NaN,80,86,83,81,NaN,87,NaN,85,NaN,NaN,82,NaN,88,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,88,84,88,-1,-1,NaN,-1
403335003,87,NaN,83,NaN,82,NaN,75,66,NaN,83,84,81,73,NaN,76,NaN,80,72,81,NaN,81,NaN,NaN,78,84,83,NaN,NaN,NaN,81,84,85,85,NaN,NaN,71,79,78,NaN,NaN,NaN,NaN,89,92,89,-1,-1,NaN,-1
403335005,89,NaN,86,NaN,NaN,87,81,83,NaN,90,85,83,82,79,NaN,87,NaN,100,86,NaN,84,NaN,85,91,NaN,86,86,82,NaN,NaN,84,90,90,93,NaN,86,NaN,90,NaN,NaN,-1,NaN,88,93,88,-1,-1,-1,-1
403335007,82,NaN,83,79,NaN,NaN,NaN,72,NaN,87,85,64,61,82,70,NaN,87,85,72,NaN,60,NaN,NaN,NaN,83,60,65,NaN,79,NaN,75,NaN,76,84,81,78,NaN,NaN,76,81,NaN,NaN,84,80,84,NaN,-1,NaN,-1
403335009,88,NaN,83,NaN,90,NaN,NaN,80,NaN,82,85,69,78,NaN,80,80,NaN,66,83,NaN,81,NaN,NaN,80,NaN,86,84,84,NaN,80,85,86,89,NaN,NaN,NaN,84,82,NaN,NaN,NaN,NaN,94,93,94,-1,-1,NaN,-1
403335011,86,NaN,NaN,NaN,98,78,NaN,83,NaN,81,85,77,80,NaN,78,NaN,86,70,89,NaN,81,NaN,NaN,78,NaN,82,76,83,90,84,NaN,88,91,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,92,90,92,-1,-1,NaN,-1
403335013,86,NaN,NaN,88,85,85,NaN,82,NaN,83,85,75,76,NaN,76,74,NaN,87,76,NaN,79,NaN,84,NaN,83,83,NaN,83,NaN,NaN,84,86,83,90,NaN,82,NaN,81,NaN,NaN,NaN,NaN,90,88,90,-1,-1,NaN,-1
403335015,86,NaN,83,NaN,NaN,NaN,82,78,NaN,82,85,73,77,79,78,80,NaN,85,84,NaN,81,NaN,81,85,NaN,89,NaN,84,85,83,78,88,88,NaN,NaN,NaN,83,NaN,NaN,NaN,-1,NaN,91,NaN,91,NaN,-1,NaN,-1
403335017,85,NaN,NaN,89,92,84,NaN,81,NaN,82,85,76,80,NaN,76,NaN,84,83,86,NaN,81,NaN,81,NaN,92,85,NaN,84,NaN,NaN,NaN,87,91,83,NaN,75,78,77,NaN,NaN,NaN,NaN,91,92,91,-1,-1,NaN,-1
403335019,88,NaN,NaN,NaN,NaN,83,79,81,NaN,85,85,81,82,NaN,81,82,NaN,90,87,NaN,81,NaN,NaN,87,NaN,88,NaN,85,NaN,80,82,NaN,94,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,94,90,-1,-1,NaN,-1
403335023,90,NaN,NaN,NaN,88,90,80,84,NaN,92,86,82,NaN,82,82,83,NaN,98,88,NaN,86,NaN,85,88,98,83,NaN,84,NaN,NaN,NaN,90,94,90,NaN,NaN,NaN,91,NaN,NaN,-1,NaN,93,94,93,-1,-1,NaN,-1
403335025,85,NaN,85,NaN,NaN,NaN,79,81,NaN,86,86,81,NaN,NaN,80,85,NaN,93,89,NaN,83,NaN,NaN,84,NaN,86,NaN,84,90,80,82,87,96,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,91,92,91,-1,-1,NaN,-1
