id,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351013@戲劇概論@1@1,3351015@文選@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3351888@學系服務學習@1@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351025@創意短片製作@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3351888@學系服務學習@2@1,3352032@國際傳播@2@1,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3352036@影音新聞製作@1@1,3352038@進階影像製作@1@1,3353022@華人電影專題研究@1@1,3351026@新聞採訪寫作@2@2,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352039@經濟學與傳播@2@1,3352040@整合新聞製作@2@1,3353018@音樂、影像與展演@2@1
404335003,86,NaN,88,NaN,78,83,NaN,85,82,71,76,82,74,96,NaN,78,83,NaN,NaN,78,NaN,80,79,NaN,86,NaN,83,85,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
404335005,86,NaN,87,84,81,85,NaN,73,82,77,78,82,NaN,NaN,76,71,87,NaN,NaN,74,NaN,66,NaN,76,80,NaN,81,83,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
404335007,75,NaN,NaN,81,NaN,NaN,63,72,65,70,NaN,NaN,NaN,NaN,44,74,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335009,85,NaN,NaN,NaN,85,83,NaN,85,90,84,NaN,NaN,78,NaN,84,81,81,NaN,NaN,84,NaN,NaN,NaN,88,82,86,NaN,80,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335011,89,NaN,91,84,NaN,85,NaN,74,93,80,80,84,NaN,NaN,85,78,84,NaN,NaN,79,NaN,NaN,76,NaN,78,NaN,86,82,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN
404335013,87,NaN,86,85,79,85,NaN,85,85,77,80,82,NaN,86,NaN,69,68,NaN,NaN,81,NaN,NaN,72,NaN,82,NaN,85,85,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335017,84,NaN,81,84,85,83,NaN,80,84,75,NaN,84,84,NaN,85,71,85,NaN,NaN,63,NaN,NaN,NaN,84,75,NaN,85,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404335019,84,NaN,88,83,85,82,NaN,74,90,85,83,84,NaN,NaN,90,80,92,NaN,NaN,75,NaN,85,NaN,78,82,83,77,82,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1
404335021,86,NaN,90,NaN,NaN,85,NaN,74,86,77,80,84,NaN,NaN,87,78,85,NaN,NaN,73,NaN,NaN,64,NaN,76,NaN,86,82,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN
404335023,86,NaN,88,NaN,83,80,NaN,81,84,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335025,86,NaN,NaN,NaN,82,83,NaN,84,90,91,83,81,83,95,NaN,87,87,NaN,NaN,88,NaN,NaN,NaN,84,88,NaN,NaN,81,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335027,86,NaN,87,NaN,82,83,NaN,90,93,75,81,82,81,88,NaN,84,80,NaN,NaN,83,NaN,NaN,85,NaN,88,NaN,84,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN
404335029,87,NaN,85,80,82,78,NaN,71,70,72,78,84,68,NaN,65,64,94,NaN,NaN,65,NaN,78,NaN,81,40,NaN,77,80,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1
404335031,86,NaN,NaN,85,87,83,NaN,86,84,82,NaN,NaN,NaN,86,NaN,NaN,90,NaN,NaN,76,NaN,NaN,75,NaN,84,83,NaN,80,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335033,87,NaN,NaN,86,89,82,NaN,83,85,82,85,NaN,83,93,NaN,NaN,90,NaN,NaN,81,89,NaN,NaN,82,90,NaN,87,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335035,77,NaN,83,NaN,77,85,NaN,66,82,81,73,83,NaN,NaN,78,70,81,NaN,NaN,73,NaN,70,NaN,82,75,NaN,81,81,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
404335039,88,NaN,89,NaN,84,82,NaN,90,80,77,80,87,78,72,NaN,83,80,NaN,NaN,73,86,74,NaN,90,80,NaN,82,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
404335041,86,NaN,91,NaN,NaN,84,NaN,82,86,82,81,84,82,NaN,82,75,82,NaN,NaN,72,NaN,NaN,NaN,80,86,82,NaN,81,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335045,87,NaN,83,NaN,78,85,NaN,76,86,73,80,84,NaN,78,NaN,68,88,NaN,NaN,73,NaN,71,NaN,87,87,NaN,77,82,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
404335047,86,NaN,80,77,82,80,NaN,67,80,86,83,NaN,NaN,75,NaN,94,85,NaN,NaN,68,0,77,NaN,71,80,72,67,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404335049,86,NaN,87,NaN,85,80,NaN,80,84,76,81,84,NaN,NaN,85,88,76,NaN,NaN,82,NaN,85,NaN,86,85,NaN,84,85,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1
404335053,85,NaN,91,NaN,85,83,NaN,88,93,90,83,NaN,84,NaN,89,88,83,NaN,NaN,76,NaN,83,NaN,NaN,87,86,NaN,80,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN
404335002,NaN,81,91,82,79,NaN,86,84,NaN,74,80,85,81,NaN,88,73,80,60,NaN,74,83,80,79,NaN,84,NaN,80,83,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN
404335004,NaN,82,NaN,NaN,85,NaN,85,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404335006,NaN,85,86,NaN,87,NaN,83,91,NaN,83,NaN,83,82,NaN,81,84,80,87,NaN,87,NaN,71,NaN,NaN,88,87,90,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
404335010,NaN,84,NaN,83,86,NaN,87,85,NaN,79,83,84,84,87,NaN,84,82,88,NaN,84,86,NaN,NaN,NaN,86,NaN,83,86,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404335012,NaN,84,89,85,NaN,NaN,86,87,NaN,83,NaN,83,82,93,NaN,78,88,80,NaN,86,NaN,NaN,NaN,84,90,77,NaN,81,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404335014,NaN,82,85,NaN,79,NaN,82,90,NaN,85,78,80,-1,NaN,88,69,82,82,NaN,64,86,74,77,NaN,83,NaN,83,85,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
404335016,NaN,82,88,NaN,60,NaN,85,81,NaN,79,80,NaN,-1,NaN,82,71,76,90,NaN,79,NaN,75,76,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404335018,NaN,84,89,86,87,NaN,87,90,NaN,90,85,NaN,85,NaN,90,98,91,88,NaN,82,88,90,NaN,99,93,NaN,83,86,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN
