id,3351005@傳播史@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351013@戲劇概論@1@1,3351015@文選@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3351888@學系服務學習@1@1,3351014@電影概論@2@1,3351022@社會學與傳播@2@1,3351025@創意短片製作@2@1,3351026@新聞採訪寫作@2@1,3351026@新聞採訪寫作@2@2,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3351888@學系服務學習@2@1
405335001,78,88,NaN,87,NaN,81,NaN,85,87,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN
405335002,80,NaN,81,92,98,NaN,88,86,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,-1,-1
405335003,89,87,NaN,91,NaN,83,NaN,90,87,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN
405335004,83,NaN,80,90,NaN,NaN,90,92,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,-1
405335005,79,85,NaN,88,NaN,80,NaN,88,87,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405335007,89,86,NaN,91,NaN,83,NaN,87,87,-1,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
405335008,83,NaN,80,NaN,92,NaN,80,85,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1
405335009,85,86,NaN,91,92,81,NaN,90,87,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN
405335010,84,NaN,83,91,NaN,NaN,90,85,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,-1
405335011,74,84,NaN,NaN,94,NaN,88,85,87,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405335012,83,NaN,83,NaN,98,NaN,89,85,NaN,-1,-1,-1,-1,NaN,NaN,-1,NaN,-1,-1
