id,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3353004@數位整合媒介專題@1@1,3351016@創意與設計概論@2@1,3351021@媒介與社會@2@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352020@傳播心理與效果@2@1,3352021@傳播典範人物@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3353005@虛擬傳播專題@2@1,3351019@傳播外文@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3353018@音樂、影像與展演@1@1,3354001@傳播倫理@1@1,3354002@推廣製作專題@1@1,3354013@另類媒體研究@1@1,3351014@電影概論@2@1,3352026@科普媒體實習@2@1,3352028@廣告心理與行銷@2@1,3353006@深度報導@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353014@網路文化@2@1,3353015@媒體思辨@2@1,3353019@健康傳播@2@1,3352029@影像寫作@1@1,3354003@資訊製作專題@1@1,3354011@傳播產業經營與管埋@1@1,3354015@畢業製作（一）@1@1,3352031@廣告創意與製作@2@1,3353020@公共關係實務@2@1,3354016@畢業製作@2@1,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351017@廣告概論@1@1,3352011@電腦中介傳播@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351011@音樂概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2
499335017,83,NaN,85,83,NaN,81,NaN,87,NaN,NaN,77,75,84,NaN,83,87,NaN,65,85,80,NaN,NaN,68,75,75,NaN,83,NaN,82,82,NaN,80,80,NaN,NaN,91,91,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,85,NaN,NaN,NaN,71,84,NaN,86,NaN
499335002,88,83,NaN,87,NaN,NaN,86,87,NaN,92,NaN,NaN,NaN,85,91,NaN,86,88,88,87,86,85,69,94,94,NaN,93,NaN,84,84,83,84,NaN,NaN,NaN,94,94,85,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,86,78,NaN,87,86,NaN,NaN,86
499335009,86,82,82,91,NaN,83,NaN,83,92,NaN,NaN,76,NaN,88,63,NaN,90,88,NaN,85,NaN,NaN,72,90,90,NaN,88,NaN,NaN,87,NaN,NaN,NaN,79,NaN,92,92,87,89,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,84,NaN,NaN,NaN,70,87,NaN,87,NaN
499335018,85,82,NaN,NaN,84,NaN,87,89,NaN,85,NaN,NaN,NaN,85,65,NaN,93,72,84,80,NaN,81,64,98,98,NaN,86,NaN,NaN,NaN,NaN,80,NaN,NaN,82,93,93,85,NaN,NaN,NaN,NaN,NaN,91,81,88,NaN,NaN,89,75,NaN,78,75,NaN,78,83,NaN,NaN,78
499335021,86,82,NaN,NaN,87,85,NaN,88,NaN,85,NaN,NaN,NaN,84,78,NaN,90,NaN,87,82,85,82,76,93,93,85,93,NaN,NaN,NaN,NaN,81,NaN,NaN,81,96,96,92,NaN,NaN,85,NaN,93,97,NaN,NaN,NaN,NaN,NaN,81,86,NaN,84,NaN,80,85,NaN,85,NaN
499335033,85,84,NaN,90,NaN,85,NaN,88,89,NaN,NaN,82,NaN,88,76,NaN,91,66,88,84,NaN,NaN,64,95,95,NaN,88,83,NaN,NaN,86,81,NaN,NaN,84,96,96,84,NaN,NaN,NaN,NaN,NaN,93,NaN,90,NaN,NaN,90,78,85,NaN,NaN,NaN,86,80,NaN,88,NaN
499335039,87,82,NaN,91,NaN,86,NaN,84,NaN,86,NaN,86,NaN,NaN,79,93,NaN,93,88,88,84,90,77,94,94,80,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,93,93,92,NaN,93,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,83,85,NaN,NaN,NaN,85,88,NaN,88,NaN
499335046,86,82,80,NaN,84,NaN,89,86,NaN,86,NaN,83,NaN,NaN,85,NaN,90,78,90,82,85,NaN,71,96,96,NaN,92,NaN,NaN,NaN,85,83,NaN,NaN,81,95,95,91,NaN,NaN,NaN,NaN,NaN,97,NaN,87,NaN,NaN,86,83,NaN,83,NaN,NaN,88,82,NaN,NaN,81
499335034,87,NaN,86,NaN,84,NaN,87,84,NaN,90,NaN,80,NaN,85,80,NaN,92,76,86,80,88,NaN,62,94,94,NaN,83,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,96,96,86,NaN,NaN,NaN,NaN,NaN,93,NaN,84,NaN,NaN,86,79,NaN,81,NaN,NaN,85,82,81,NaN,84
499335036,86,NaN,85,NaN,77,NaN,84,78,NaN,86,NaN,69,NaN,60,74,NaN,92,NaN,86,76,85,81,68,93,93,80,75,NaN,NaN,85,NaN,78,NaN,NaN,NaN,91,91,87,NaN,78,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,80,NaN,81,NaN,NaN,74,78,NaN,NaN,80
