id,3415020@社會科學方法論@1@1,3416020@反恐與國家安全專題@1@1,3417018@人類安全專題@1@1,3417020@國際政治@1@1,3418002@國際關係英文選讀@1@1,3415002@兩岸關係與國際現勢@2@1,3415003@WTO 與國際經貿組織研究@2@1,3415004@危機管理@2@1,3415035@亞洲區域主義@2@1,3415045@策略規劃與問題解決@2@1,3415060@戰略研究@2@1,3415120@國際政治經濟@2@1,3418005@美國外交政策與戰略研究@2@1,3418014@國際關係史@2@1,3415000@國際關係理論@1@1,3415007@亞太經貿與中國政經發展@1@1,3415008@比較政治經濟學@1@1,3418008@核戰略與國際關係@1@1,3416000@文化與戰略@2@1,3417019@國際組織與國際公法@2@1,3417021@政治學@2@1,3418007@兩岸關係與國際現勢@2@1
601341001,91,NaN,87,86,NaN,95,NaN,NaN,87,95,86,NaN,NaN,88,92,87,NaN,84,NaN,85,NaN,NaN
601341002,91,NaN,85,96,92,NaN,85,NaN,92,95,92,NaN,92,NaN,92,87,NaN,93,NaN,NaN,NaN,NaN
601341003,88,NaN,87,86,NaN,NaN,85,NaN,NaN,94,88,NaN,NaN,90,92,87,NaN,89,NaN,NaN,86,92
601341005,85,NaN,82,87,87,NaN,NaN,84,NaN,94,88,NaN,NaN,88,91,83,NaN,88,NaN,NaN,NaN,92
601341007,85,NaN,87,77,87,NaN,NaN,NaN,89,94,91,NaN,NaN,90,91,NaN,NaN,90,NaN,85,NaN,NaN
601341008,85,NaN,85,80,NaN,96,NaN,NaN,88,97,83,NaN,NaN,NaN,91,NaN,88,84,NaN,83,89,NaN
601341012,88,88,NaN,94,90,NaN,NaN,NaN,91,94,NaN,90,94,NaN,90,88,NaN,92,NaN,85,NaN,NaN
601341015,95,86,89,92,91,NaN,88,NaN,NaN,94,NaN,90,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,95
601341017,95,88,88,91,90,NaN,NaN,NaN,89,95,95,NaN,NaN,90,91,NaN,NaN,90,NaN,87,NaN,NaN
601341019,90,89,NaN,95,90,NaN,NaN,NaN,91,94,94,NaN,91,NaN,91,NaN,NaN,90,NaN,85,NaN,NaN
601341021,89,NaN,82,88,91,NaN,NaN,85,NaN,92,87,NaN,91,90,93,90,NaN,90,NaN,NaN,NaN,NaN
601341022,88,NaN,87,90,88,NaN,NaN,NaN,93,94,90,NaN,NaN,92,91,NaN,NaN,NaN,NaN,NaN,86,93
601341024,85,NaN,81,89,NaN,NaN,NaN,NaN,90,94,NaN,89,NaN,87,91,85,NaN,NaN,NaN,84,85,93
601341025,96,NaN,88,75,NaN,NaN,NaN,NaN,92,94,88,NaN,NaN,88,91,85,NaN,91,NaN,83,85,NaN
601341026,90,NaN,85,70,NaN,95,NaN,86,87,95,NaN,NaN,NaN,88,91,NaN,84,NaN,NaN,78,86,NaN
601341029,93,NaN,86,76,NaN,95,NaN,81,NaN,94,NaN,NaN,NaN,88,91,90,NaN,82,85,82,NaN,NaN
601341030,92,NaN,84,74,87,NaN,NaN,NaN,86,94,86,NaN,NaN,88,91,NaN,NaN,91,NaN,83,86,NaN
601341009,NaN,NaN,91,92,NaN,96,87,NaN,89,96,NaN,NaN,NaN,88,91,90,NaN,NaN,NaN,89,86,NaN
601341027,NaN,NaN,84,89,NaN,NaN,NaN,NaN,NaN,94,88,89,NaN,88,90,85,NaN,NaN,89,NaN,NaN,93
601341028,NaN,NaN,86,83,NaN,NaN,NaN,NaN,92,94,87,88,NaN,87,91,83,NaN,NaN,85,81,NaN,93
601341010,NaN,NaN,89,95,NaN,NaN,NaN,84,92,92,NaN,NaN,NaN,88,94,NaN,NaN,NaN,88,86,NaN,93
