id,3415035@亞洲區域主義@2@1,3415045@策略規劃與問題解決@2@1,3415060@戰略研究@2@1,3418014@國際關係史@2@1,3415007@亞太經貿與中國政經發展@1@1,3415020@社會科學方法論@1@1,3417018@人類安全專題@1@1,3417020@國際政治@1@1,3418008@核戰略與國際關係@1@1,3415120@國際政治經濟@2@1,3416000@文化與戰略@2@1,3417019@國際組織與國際公法@2@1,3417021@政治學@2@1,3418007@兩岸關係與國際現勢@2@1,3415000@國際關係理論@1@1,3415009@台灣國際關係史@1@1,3415011@東北亞區域安全@1@1,3415012@WTO與區域經濟整合@1@1,3417019@國際組織與國際公法@1@1,3415016@國際恐怖主義研究@2@1,3417006@全球化與全球治理@2@1
602341003,84,92,82,90,86,82,NaN,94,NaN,86,NaN,85,NaN,93,94,NaN,NaN,NaN,NaN,NaN,NaN
602341001,NaN,94,92,NaN,85,87,87,93,89,86,NaN,NaN,NaN,95,93,92,NaN,88,NaN,NaN,NaN
602341002,93,95,NaN,NaN,88,94,91,95,85,88,NaN,NaN,87,96,94,NaN,NaN,87,92,NaN,NaN
602341013,NaN,94,NaN,NaN,85,89,87,94,84,86,NaN,NaN,86,94,94,NaN,NaN,86,87,NaN,NaN
602341014,NaN,95,NaN,NaN,86,91,86,92,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602341016,NaN,94,90,NaN,86,86,88,93,89,NaN,NaN,NaN,86,94,96,NaN,NaN,NaN,86,NaN,NaN
602341019,NaN,94,NaN,NaN,85,89,87,94,NaN,80,NaN,NaN,85,92,94,92,NaN,NaN,86,NaN,82
602341005,93,94,92,NaN,NaN,85,87,94,88,NaN,NaN,NaN,NaN,94,95,92,NaN,NaN,87,NaN,NaN
602341006,93,94,91,NaN,NaN,85,90,93,85,NaN,NaN,NaN,NaN,94,95,92,NaN,NaN,88,NaN,NaN
602341007,NaN,95,90,NaN,85,80,90,95,NaN,86,NaN,NaN,NaN,94,97,NaN,83,NaN,87,82,NaN
602341015,NaN,94,94,NaN,NaN,89,NaN,93,90,89,NaN,NaN,86,NaN,95,NaN,NaN,NaN,86,86,NaN
602341017,NaN,96,NaN,NaN,NaN,88,88,96,84,85,NaN,NaN,85,95,99,NaN,89,86,90,NaN,NaN
602341018,NaN,96,NaN,NaN,90,86,NaN,94,85,87,87,86,84,94,98,NaN,88,NaN,NaN,NaN,NaN
