id,3415007@亞太經貿與中國政經發展@1@1,3415011@東北亞區域安全@1@1,3415020@社會科學方法論@1@1,3415035@亞洲區域主義@1@1,3415060@戰略研究@1@1,3417020@國際政治@1@1,3418009@中西近代外交史@1@1,3415009@台灣國際關係史@2@1,3415045@策略規劃與問題解決@2@1,3415120@國際政治經濟@2@1,3417018@人類安全專題@2@1,3418007@兩岸關係與國際現勢@2@1,3415000@國際關係理論@1@1,3417006@全球化與全球治理@1@1,3417019@國際組織與國際公法@1@1,3415016@國際恐怖主義研究@2@1
604341010,92,92,88,NaN,NaN,94,NaN,NaN,94,93,87,92,91,NaN,83,-1
604341011,88,NaN,81,NaN,85,93,NaN,74,92,90,86,91,92,NaN,85,-1
604341013,86,NaN,80,NaN,83,94,NaN,85,94,-1,90,91,92,NaN,87,-1
604341014,88,NaN,92,NaN,NaN,97,88,NaN,96,93,90,97,95,78,91,NaN
604341017,80,88,84,NaN,NaN,96,NaN,NaN,95,-1,87,94,94,75,86,-1
604341018,89,86,87,NaN,NaN,93,NaN,74,92,-1,84,92,92,NaN,88,-1
604341022,88,NaN,90,95,NaN,97,NaN,NaN,98,-1,91,98,95,89,92,-1
604341004,88,89,80,NaN,91,93,NaN,92,92,NaN,91,91,93,NaN,92,-1
604341019,NaN,88,78,NaN,NaN,95,88,NaN,96,-1,88,96,95,70,89,-1
604341001,NaN,NaN,91,NaN,93,96,88,NaN,97,NaN,89,96,97,90,91,NaN
604341002,85,NaN,79,NaN,NaN,93,89,82,93,87,-1,92,93,NaN,83,-1
604341012,NaN,NaN,70,NaN,NaN,93,83,72,91,90,NaN,91,NaN,NaN,NaN,NaN
604341020,83,NaN,80,94,78,92,NaN,NaN,93,NaN,82,93,91,NaN,75,NaN
604341008,NaN,NaN,85,NaN,NaN,96,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN
