id,3415009@台灣國際關係史@2@1,3415045@策略規劃與問題解決@2@1,3415120@國際政治經濟@2@1,3418007@兩岸關係與國際現勢@2@1,3415007@亞太經貿與中國政經發展@1@1,3415020@社會科學方法論@1@1,3417006@全球化與全球治理@1@1,3417019@國際組織與國際公法@1@1,3417020@國際政治@1@1,3415016@國際恐怖主義研究@2@1,3417018@人類安全專題@2@1
605341005,90,94,95,94,95,97,NaN,91,93,-1,-1
605341001,NaN,-1,NaN,-1,87,88,NaN,82,91,NaN,-1
605341002,NaN,-1,NaN,-1,88,88,NaN,87,94,-1,-1
605341004,NaN,-1,-1,-1,87,78,NaN,85,93,NaN,-1
605341010,NaN,-1,NaN,NaN,87,83,NaN,90,94,-1,-1
605341011,NaN,-1,NaN,-1,87,88,NaN,88,94,-1,-1
605341013,NaN,NaN,-1,NaN,95,95,90,NaN,95,-1,-1
605341017,NaN,-1,NaN,-1,88,88,NaN,86,94,-1,-1
605341003,NaN,-1,-1,-1,NaN,90,NaN,90,95,NaN,-1
605341007,NaN,-1,-1,-1,NaN,88,NaN,90,93,NaN,-1
605341008,NaN,NaN,NaN,NaN,NaN,84,NaN,85,93,NaN,NaN
605341012,NaN,-1,NaN,-1,NaN,90,NaN,89,95,-1,-1
605341016,NaN,-1,NaN,-1,NaN,74,NaN,83,92,NaN,-1
605341018,NaN,-1,-1,-1,NaN,87,NaN,90,95,NaN,-1
605341009,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
